,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,NHNH,12,21,7.8,7.74,5.3553e-05,0.98,2.49,[11],[39],5.0,1.916036640171484,1.9131125317120663,1.927003672917306,1.9043061996501436,1.9032110739919381,1.9339127507562721
1,2,NHCH,12,11,7.8,4.95,2.0238e-05,0.99,2.93,[11],[12],3.0,2.938517218547692,2.939237915523518,2.9369158775488557,2.943569408999134,2.9394477330368,2.93348048269668
2,3,NHCH,12,8'',7.8,4.33,2.1267e-05,0.99,2.9,[11],[18],6.0,2.967516262582391,2.9292939730604357,2.9740263284958885,2.8914504624411945,2.991684797158665,3.0729042934767667
3,4,NHCH,12,10',7.8,2.98,1.1776e-05,0.98,3.2,[11],[15],4.0,3.1999531280384623,3.2009761666603347,3.203941207919881,3.1146111144670097,3.1766228349015613,3.3293017325071794
4,5,NHCH,21,16,7.74,4.91,1.2026e-05,0.99,3.19,[39],[37],3.0,2.9633285802945113,2.965633388642041,2.963317418029427,2.9602160330492793,2.9635782731029874,2.963916005571284
5,6,NHCH,21,15',7.74,4.49,5.459e-05,0.99,2.48,[39],[34],4.0,3.076696725812242,3.0842573906027244,3.0587864814907375,3.0975533461899847,3.09948708747119,3.0460010273915925
6,7,NHCH,21,8'',7.74,4.33,1.659e-05,0.99,3.03,[39],[18],9.0,2.7826239411207707,2.749619500533483,2.786377551917985,2.704883799739851,2.7962058601317157,2.9019410640285397
7,8,CHCH,6,8'',7.43,4.33,2.8211e-05,0.99,2.77,[28],[18],4.0,2.618261434044977,2.6380811408266993,2.606386185238133,2.655910783429852,2.6235085750522744,2.5728733401409096
8,9,CHCH,6,8',7.43,3.97,2.345e-05,0.99,2.86,[28],[19],4.0,2.8441748235545807,2.868920794746301,2.8556939783455855,2.7470448814810045,2.829545492032264,2.9450041322776848
9,10,CHCH,15'',16,5.13,4.91,3.6303e-05,0.99,2.65,[35],[37],3.0,2.441796079048712,2.4384784943041278,2.4429149471713503,2.4428194643824983,2.4443574694993355,2.440441158149044
10,11,CHCH,11,8',4.95,3.97,2.0588e-05,0.99,2.92,[12],[19],5.0,4.092470549831978,4.044645374275262,4.132711735223768,4.151675413429275,4.012746286886074,4.133994496565494
11,12,CHCH,16,15',4.91,4.49,2.9756e-05,0.98,2.74,[37],[34],3.0,2.474847974709858,2.478329352174399,2.4723917496246957,2.4761952205345548,2.47253126979286,2.474828085575017
12,13,CHCH,8'',10'',4.33,3.25,1.8826e-05,0.99,2.96,[18],[14],4.0,2.87163591477771,2.8640976341778663,2.876169258678225,2.912804963535653,2.874558833662993,2.8343938973330776
13,14,CHCH,8',10'',3.97,3.25,8.4757e-06,0.95,3.38,[19],[14],4.0,2.5261592175623306,2.543732073439684,2.5173747029444327,2.5755625278507557,2.5190805029224084,2.4817258671974938
14,15,CHCH,8',10',3.97,2.98,9.9692e-06,0.99,3.29,[19],[15],4.0,2.925462943777723,2.952239665181052,2.9202864974577136,2.8323305939259362,2.90579103960171,3.0446349449947725
