,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,NHNH,12,21,7.8,7.74,5.3553e-05,0.98,2.49,[59],[48],5.0,2.249363496311742,2.2493150427541986,2.2413845574771116,2.2527476253805414,2.265815888413009,2.2382789429189467,mixed
1,2,NHCH,12,11,7.8,4.95,2.0238e-05,0.99,2.93,[59],[36],3.0,2.9379674753080813,2.935763144607712,2.93983050682564,2.9407731619364936,2.937552839704303,2.93594210624165,macrocycle
2,3,NHCH,12,8'',7.8,4.33,2.1267e-05,0.99,2.9,[59],[40],6.0,3.534319078342823,3.533333737470501,3.5238448608050006,3.5495382856833375,3.5434668073031195,3.5219833435858927,macrocycle
3,4,NHCH,12,10',7.8,2.98,1.1776e-05,0.98,3.2,[59],[38],4.0,2.55632017829222,2.5701144654740364,2.557214503005949,2.5396513502417535,2.561203276459576,2.5541015817427652,macrocycle
4,5,NHCH,21,16,7.74,4.91,1.2026e-05,0.99,3.19,[48],[47],3.0,2.9712134418589553,2.971149957475903,2.9736626697751722,2.9693470248765133,2.965470017547741,2.9765207878488797,mixed
5,6,NHCH,21,15',7.74,4.49,5.459e-05,0.99,2.48,[48],[45],4.0,2.7978268013990135,2.7933298414309844,2.803395017167747,2.7919665585322564,2.7831996339531875,2.8181272958950743,mixed
6,7,NHCH,21,8'',7.74,4.33,1.659e-05,0.99,3.03,[48],[40],9.0,4.262737602498908,4.273894254265097,4.257781159225304,4.263877791745843,4.266676977510778,4.251694161721975,mixed
7,8,CHCH,6,8'',7.43,4.33,2.8211e-05,0.99,2.77,[44],[40],4.0,2.6047491162937546,2.6607473827306087,2.5937001863819815,2.5579095823292555,2.602249853971201,2.616577151173129,mixed
8,9,CHCH,6,8',7.43,3.97,2.345e-05,0.99,2.86,[44],[39],4.0,2.5736832117615456,2.5505707048232793,2.5772079826305405,2.5946010689160843,2.575438444350631,2.5719495528864766,mixed
9,10,CHCH,15'',16,5.13,4.91,3.6303e-05,0.99,2.65,[46],[47],3.0,2.432769919877214,2.4308222827764228,2.4311007194061447,2.4313637568117157,2.4362322852711533,2.4343637190260887,macrocycle
10,11,CHCH,11,8',4.95,3.97,2.0588e-05,0.99,2.92,[36],[39],5.0,3.3429251286446733,3.322068428251586,3.3451235602772678,3.3661353830846847,3.370336133321368,3.3136711750035013,macrocycle
11,12,CHCH,16,15',4.91,4.49,2.9756e-05,0.98,2.74,[47],[45],3.0,2.4389711215717185,2.4396942172579483,2.43912851108183,2.439954763494633,2.4393784816484065,2.436709403561196,macrocycle
12,13,CHCH,8'',10'',4.33,3.25,1.8826e-05,0.99,2.96,[40],[37],4.0,3.021792182240375,2.9860378906361316,3.017787837400175,3.054499561346551,3.000711364923566,3.054396890052958,macrocycle
13,14,CHCH,8',10'',3.97,3.25,8.4757e-06,0.95,3.38,[39],[37],4.0,3.0967846561825656,3.0688773244408023,3.1013221105455377,3.1342384583288245,3.0962675435974463,3.085816070816626,macrocycle
14,15,CHCH,8',10',3.97,2.98,9.9692e-06,0.99,3.29,[39],[38],4.0,3.0684073472346935,3.1018980322810066,3.069123988715774,3.023302616081845,3.059252387172301,3.09288343703194,macrocycle
