,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,NHNH,12,21,7.8,7.74,5.3553e-05,0.98,2.49,[59],[48],5.0,2.2063624844205307,2.2103249971287138,2.20571280345351,2.204695672194301,2.207957991171843,2.203171082891836,mixed
1,2,NHCH,12,11,7.8,4.95,2.0238e-05,0.99,2.93,[59],[36],3.0,2.9186092661728065,2.920293577933643,2.9197021252202853,2.9173841277253088,2.9189369550950905,2.916740498339028,macrocycle
2,3,NHCH,12,8'',7.8,4.33,2.1267e-05,0.99,2.9,[59],[40],6.0,2.8332607598134087,2.872851703179064,2.8235957785068355,2.8257885481945637,2.8400948850394063,2.8069586845115597,macrocycle
3,4,NHCH,12,10',7.8,2.98,1.1776e-05,0.98,3.2,[59],[38],4.0,3.819503455892878,3.8132768456092876,3.8279976863883696,3.820595650796304,3.818520968385038,3.8172342405393196,macrocycle
4,5,NHCH,21,16,7.74,4.91,1.2026e-05,0.99,3.19,[48],[47],3.0,2.9638979412984012,2.9631769616941246,2.962769686433977,2.9643101831921523,2.963795613310701,2.965442406726846,mixed
5,6,NHCH,21,15',7.74,4.49,5.459e-05,0.99,2.48,[48],[45],4.0,2.761952200552793,2.7644173600082445,2.7614398013203303,2.765861814605536,2.7594932837056554,2.7585980384983415,mixed
6,7,NHCH,21,8'',7.74,4.33,1.659e-05,0.99,3.03,[48],[40],9.0,3.0222055372916174,3.060497044741946,3.0230129562844006,3.026900058017587,3.017383572683314,2.9864574495984684,mixed
7,8,CHCH,6,8'',7.43,4.33,2.8211e-05,0.99,2.77,[44],[40],4.0,3.4934691627713814,3.5110983192164538,3.4731808829546185,3.525479934569015,3.4829881028333594,3.4767222414741084,mixed
8,9,CHCH,6,8',7.43,3.97,2.345e-05,0.99,2.86,[44],[39],4.0,2.70351967494892,2.6886684794551097,2.707011350488417,2.6957721006341413,2.706030386514896,2.72089212123037,mixed
9,10,CHCH,15'',16,5.13,4.91,3.6303e-05,0.99,2.65,[46],[47],3.0,2.4897689597971033,2.4909652595717384,2.4865861199580395,2.4949864730408837,2.487808205046881,2.4885605666517314,macrocycle
10,11,CHCH,11,8',4.95,3.97,2.0588e-05,0.99,2.92,[36],[39],5.0,4.402524271100978,4.426353340740797,4.400303648229354,4.407961275728434,4.394735244930798,4.384062657021824,macrocycle
11,12,CHCH,16,15',4.91,4.49,2.9756e-05,0.98,2.74,[47],[45],3.0,2.4662017045233027,2.4659725138173187,2.4663083410401843,2.462867155339697,2.468204039943687,2.467681179625135,macrocycle
12,13,CHCH,8'',10'',4.33,3.25,1.8826e-05,0.99,2.96,[40],[37],4.0,2.594049826190417,2.579218438862734,2.5990592680506204,2.586962681206409,2.5998430744016265,2.605798006288702,macrocycle
13,14,CHCH,8',10'',3.97,3.25,8.4757e-06,0.95,3.38,[39],[37],4.0,2.525775278706797,2.5340569309446,2.527064605588391,2.5216697606614846,2.5257528454581184,2.520491134499983,macrocycle
14,15,CHCH,8',10',3.97,2.98,9.9692e-06,0.99,3.29,[39],[38],4.0,3.6019203795401573,3.5989214189247414,3.606613128045915,3.6000436774796363,3.6010472785492373,3.603011802934409,macrocycle
