,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,NHNH,12,21,7.8,7.74,5.3553e-05,0.98,2.49,[59],[48],5.0,2.079780132582439,2.071350360193139,2.0874664680354345,2.08632962750988,2.076741352168591,2.077329523022205,mixed
1,2,NHCH,12,11,7.8,4.95,2.0238e-05,0.99,2.93,[59],[36],3.0,2.9638099633288784,2.9674689816668396,2.9597699623473424,2.96073831771683,2.965005720322294,2.966121091905193,macrocycle
2,3,NHCH,12,8'',7.8,4.33,2.1267e-05,0.99,2.9,[59],[40],6.0,3.692863129685178,3.68423649734675,3.7067980497036395,3.6885621370958805,3.6940080370276487,3.6909862769807567,macrocycle
3,4,NHCH,12,10',7.8,2.98,1.1776e-05,0.98,3.2,[59],[38],4.0,2.7320834495368294,2.6845050726869157,2.781149618616121,2.7751689945701434,2.7052571524791666,2.7236390302758258,macrocycle
4,5,NHCH,21,16,7.74,4.91,1.2026e-05,0.99,3.19,[48],[47],3.0,2.969841331124095,2.972606979965351,2.968715343482464,2.967632783899159,2.965643201991781,2.974672834361551,mixed
5,6,NHCH,21,15',7.74,4.49,5.459e-05,0.99,2.48,[48],[45],4.0,2.9249961544194685,2.949855122773643,2.897866767260579,2.910664528864527,2.9493881043118724,2.9198099354214198,mixed
6,7,NHCH,21,8'',7.74,4.33,1.659e-05,0.99,3.03,[48],[40],9.0,4.255577726752772,4.227396827087715,4.267088483588398,4.28583299186328,4.24202043918588,4.257216424282435,mixed
7,8,CHCH,6,8'',7.43,4.33,2.8211e-05,0.99,2.77,[44],[40],4.0,2.403659601801299,2.3560307609340283,2.4526009480758852,2.451328190700294,2.371430511597573,2.3984494135623766,mixed
8,9,CHCH,6,8',7.43,3.97,2.345e-05,0.99,2.86,[44],[39],4.0,2.8838512208089684,3.0793665356336355,2.753967623745467,2.7575271040819134,3.009478402657998,2.9219598647997067,mixed
9,10,CHCH,15'',16,5.13,4.91,3.6303e-05,0.99,2.65,[46],[47],3.0,2.419541614447939,2.4262043658577412,2.4172498105262603,2.4166446892581512,2.422764861697471,2.4149732060371867,macrocycle
10,11,CHCH,11,8',4.95,3.97,2.0588e-05,0.99,2.92,[36],[39],5.0,4.135557989029877,4.135356593488892,4.145921867013375,4.145093910145976,4.124687407946797,4.127059168447485,macrocycle
11,12,CHCH,16,15',4.91,4.49,2.9756e-05,0.98,2.74,[47],[45],3.0,2.488287912948369,2.481690187492151,2.4895685821492783,2.4908444981431215,2.4862038120214915,2.4932461414847995,macrocycle
12,13,CHCH,8'',10'',4.33,3.25,1.8826e-05,0.99,2.96,[40],[37],4.0,2.886797997533965,3.0884600475983985,2.762557616622044,2.7508942481521186,3.003945114233515,2.9336855837151408,macrocycle
13,14,CHCH,8',10'',3.97,3.25,8.4757e-06,0.95,3.38,[39],[37],4.0,3.3274656902387143,3.5256980640311477,3.1888488472384275,3.2110672453480715,3.456615170035209,3.3452335562711095,macrocycle
14,15,CHCH,8',10',3.97,2.98,9.9692e-06,0.99,3.29,[39],[38],4.0,2.7650714532587326,2.723053802406003,2.8214294126686266,2.8060593488288155,2.738052108282392,2.7463483756639686,macrocycle
