,restraint_number,proton_a,proton_b,distance_ab,upper_lower_bound_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,Ala1 HN,Ala1 HB*,2.8,0.4,[38],"[40, 41, 42]",4.0,3.0735316172168465,3.0851264006562746,3.080803580670202,3.05278680935819,3.0665950249305145,3.0832177659771345,mixed
1,2,Ala1 HA,Ala1 HB*,2.1,0.3,[39],"[40, 41, 42]",3.0,2.5942333320209854,2.5935527724662433,2.593677681074911,2.5965297494741413,2.592779768914162,2.594637903811588,mixed
2,3,Nleu2 HAa,Nleu2 HAb,1.7,0.3,[43],[44],2.0,1.758799613662937,1.758814404959517,1.759560704549261,1.7577452160883265,1.759425415971415,1.7584567072146748,macrocycle
3,4,Nleu2 HAa,Nleu2 HBa,3.6,0.5,[43],[59],4.0,3.8519534072967225,3.804806517575125,3.8770705927863607,3.8476469225469776,3.8544007316596627,3.8791764126284,mixed
4,5,Nleu2 HAa,Nleu2 HBb,4.7,0.7,[43],[60],4.0,3.607379762189013,3.612212216817621,3.6027409198229963,3.6128651113944015,3.6086630252533656,3.6005373913904575,mixed
5,6,Nleu2 HAa,Nleu2 HD*,3.6,0.5,[43],"[64, 62, 63, 65, 66, 67]",6.0,4.217967059969397,4.242143284892369,4.209571485048984,4.230161834381907,4.229218703002393,4.180684370351161,mixed
6,7,Nleu2 HAa,Nleu2 HDa*,3.6,0.5,[43],"[65, 66, 67]",6.0,4.108824477111506,4.147719510118108,4.0823995403470965,4.138642654329016,4.151954285967983,4.032737945600611,mixed
7,8,Nleu2 HAb,Nleu2 HBb,2.6,0.4,[44],[60],4.0,2.400483581525043,2.4137439468992867,2.3904364878371447,2.410884572647052,2.3999824561508727,2.3881529813122766,mixed
8,9,Nleu2 HAb,Nleu2 HG,2.4,0.4,[44],[61],5.0,2.473861176754579,2.4673408335320546,2.4749407393135554,2.472813106193234,2.453739439993294,2.502225338603089,mixed
9,10,Nleu2 HAb,Nleu2 HDa*,2.8,0.4,[44],"[65, 66, 67]",6.0,3.200373184439717,3.2344292644672263,3.1775753348648643,3.2114608657731027,3.242466960884554,3.143467429833144,mixed
10,11,Nleu2 HAb,Nleu2 HDb*,3.4,0.5,[44],"[64, 62, 63]",6.0,3.8306748743785812,3.8101450780853274,3.916139883817533,3.8151935511063644,3.8233487689169503,3.7965912767484373,mixed
11,12,Nleu2 HBa,Nleu2 HBb,1.8,0.3,[59],[60],2.0,1.7229908867538297,1.722616555569959,1.7230698775746587,1.7239193972259181,1.722438934709858,1.7229123468608145,extracyclic
12,13,Nleu2 HBa,Nleu2 HDa*,2.8,0.4,[59],"[65, 66, 67]",4.0,3.092389607502464,3.0916226501209665,3.0905969321695292,3.0933871074690913,3.0753397635770545,3.1117585427200716,extracyclic
13,14,Nleu2 HBa,Nleu2 HDb*,2.5,0.4,[59],"[64, 62, 63]",4.0,2.8904744221651244,2.895870810313646,2.8836575758964447,2.893485871585218,2.8956707380252027,2.883875369901925,extracyclic
14,15,Nleu2 HBb,Nleu2 HDa*,2.5,0.4,[60],"[65, 66, 67]",4.0,2.8718803126146817,2.8779161701958818,2.8656199281472254,2.8745494543843924,2.8657568584857196,2.875723907321041,extracyclic
