,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[93],[89],4.0,2.4867372725806556,2.50833705803377,2.4672518883076764,2.4889890252724034,2.491476549041658,2.478944104353325
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[91],[87],4.0,3.48193008422292,3.3831308975400267,3.633245094514592,3.507302252055176,3.3469278433986243,3.605205533334694
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[91],[81],5.0,2.318592141716654,2.3466997757415617,2.296162299624141,2.32086078441365,2.3218489398896294,2.3094739788303067
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[91],[67],8.0,4.044806266158229,4.086561074560863,4.01013374423084,4.055026079814883,4.049501692725304,4.025767704509845
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[89],[87],3.0,2.3484123461221573,2.359064661425649,2.3382487380089128,2.3426869592822612,2.359310730596779,2.343336129111046
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[89],[81],4.0,3.5270093158519185,3.4148226629084153,3.6373959707464327,3.5774811916860942,3.472595664917331,3.5643755808317037
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[87],[81],3.0,3.0208465982614157,2.9776724483396952,3.0368994775114295,3.035016784835735,3.0293878951510553,3.0281708861603356
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[87],[77],4.0,3.1749502424514544,3.1384988343542393,3.2056373559824576,3.160136412403572,3.195374070033743,3.1783368595657557
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[81],[77],3.0,2.4642655020711928,2.4597349802302197,2.4638001644672385,2.4690219667616584,2.468240612660579,2.4606325247381715
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[81],[71],4.0,3.7537353541410163,3.7578231172742766,3.7554440141945173,3.7464899659975566,3.755204182545588,3.7537849567718067
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[81],[67],5.0,2.2464669819441716,2.251625624773129,2.2448622759365784,2.2480564641469956,2.2421711190926055,2.2456984030239835
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[81],[61],6.0,4.6097572082671405,4.602984333181733,4.626386700506416,4.603004087113255,4.599697450184403,4.617109311299434
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[77],[71],3.0,2.402735425184678,2.4067339385457935,2.3989456386701455,2.406613772886734,2.4025450688005328,2.3989260012531948
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[77],[67],4.0,3.268985574569985,3.265845978164243,3.277786993941794,3.2642051562384022,3.26167548045726,3.2756364158561264
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[71],[67],3.0,3.022366884088605,3.0042437213702855,3.028565870697615,3.0309696960347257,3.031807050472935,3.01690102831052
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[71],[61],4.0,2.779557685961062,2.7788509154020447,2.7694276449246296,2.7897252112291353,2.7905022471758523,2.7698124100713413
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[67],[61],3.0,2.5960724918405607,2.5844949377083895,2.6089447627011424,2.591707039728754,2.594173312702509,2.6015161661054393
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[67],[52],4.0,2.799380779458546,2.8202502911849225,2.782347422900216,2.8112565899117046,2.7969102730328324,2.7874053069447586
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[61],[52],3.0,3.0297850891723415,3.030832287431563,3.0285874635973933,3.031532336512672,3.027657771606236,3.030327609747625
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[61],[46],4.0,3.1040197419316033,3.1217110660058185,3.085267403036905,3.1146416905932313,3.104043891394601,3.0953958117916387
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[52],[46],3.0,2.528429412364382,2.519659840563699,2.536838608820713,2.519465586875448,2.5300170014927015,2.5365773835006706
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[52],[39],4.0,2.9940864094521253,3.02593361478655,2.9759559777969544,3.0046010838476134,2.990327113013457,2.9757037767951537
22,23,17,30,6.49,2.05,5.11e-05,0.99,2.42,[93],"[96, 97, 98]",4.0,2.659232277834195,2.6599212842083144,2.659266791458488,2.659909886481077,2.6583786832816747,2.6586873245113622
23,24,19,30,6.21,2.05,1.8e-06,0.98,4.22,[89],"[96, 97, 98]",6.0,5.133161210489242,5.1309372141144305,5.13933518457081,5.138335280176233,5.125669118072805,5.131616793597434
24,25,18,31,6.95,0.95,7.5e-06,0.99,3.34,[91],"[86, 84, 85]",5.0,3.06782565658229,3.0599965391495343,3.069885944424275,3.0567199625790114,3.094878569912854,3.0587745026713673
25,26,19,31,6.21,0.95,1.17e-05,0.99,3.1,[89],"[86, 84, 85]",4.0,3.253565471564163,3.262479731023453,3.2555484526009835,3.265133067228162,3.2234588480591633,3.2625242776407717
26,27,21,31,3.82,0.95,2.23e-05,0.99,2.78,[81],"[86, 84, 85]",4.0,2.9403360942325585,2.9319914149105686,2.951631695869877,2.930940382587207,2.9487608987022655,2.93878263867306
27,28,24,31,1.39,0.95,2.7e-06,0.99,3.94,[67],"[86, 84, 85]",7.0,4.837261356511088,4.835076005658743,4.8642331622135035,4.8065817470313075,4.824208076805924,4.857850042937226
28,29,18,32,6.95,0.97,1.3e-06,0.95,4.47,[91],"[74, 75, 76]",7.0,5.595721943163276,5.4652738016351705,5.69010316629301,5.6273882054432525,5.57046897045176,5.644524762322485
29,30,19,32,6.21,0.97,3.1e-06,0.96,3.86,[89],"[74, 75, 76]",6.0,4.757259460765214,4.294849177490465,5.051379593725981,4.954113280948333,5.034170245678783,4.790459981870799
30,31,20,32,2.39,0.97,3.54e-05,0.99,2.57,[87],"[74, 75, 76]",5.0,2.6971326465693144,2.705216064246228,2.6983762222843675,2.690210825655707,2.6969532245969696,2.695061242260311
31,32,21,32,3.82,0.97,8.3e-06,0.99,3.28,[81],"[74, 75, 76]",4.0,3.971984303961581,3.9702361330117903,3.972651718021229,3.972589747928495,3.972798535717104,3.971649479133447
32,33,23,32,3.11,0.97,3.3e-05,0.99,2.61,[71],"[74, 75, 76]",4.0,2.7875206017627607,2.7814292553879967,2.790854080811723,2.784764481339243,2.7864398473173067,2.7942435311550806
33,34,24,32,1.39,0.97,2e-06,0.99,4.14,[67],"[74, 75, 76]",5.0,4.77394814622891,4.779147595450249,4.774262331884728,4.759401717785759,4.778894922155425,4.778241775120775
34,35,25,32,5.08,0.97,1.8e-06,0.99,4.25,[61],"[74, 75, 76]",6.0,5.29572504128312,5.2870574962593775,5.287228948421166,5.313542608000308,5.317796966889139,5.273940465805913
35,36,18,33,6.95,0.61,5.8e-06,0.99,3.48,[91],"[64, 65, 66]",9.0,4.37148566680073,4.419470867809687,4.32801866471268,4.385159732486409,4.3674608276228675,4.360914391362468
36,37,20,33,2.39,0.61,7e-07,0.99,4.96,[87],"[64, 65, 66]",7.0,5.288524217251433,5.257876194273656,5.310082398172441,5.289335665600763,5.292378345183803,5.293913539744404
37,38,22,33,1.87,0.61,6.67e-05,0.99,2.32,[77],"[64, 65, 66]",5.0,2.5957010147069477,2.5988416783185855,2.5961243489648105,2.5910596882716685,2.592554839621739,2.60000546636431
38,39,23,33,3.11,0.61,3.21e-05,0.99,2.62,[71],"[64, 65, 66]",4.0,3.0340773682995543,3.0334987937918276,3.038089869962317,3.031709540343941,3.0317398714543664,3.035382418979923
39,40,25,33,5.08,0.61,7.4e-06,0.99,3.34,[61],"[64, 65, 66]",4.0,3.9488657532187417,3.951103847326396,3.9478830108982654,3.945948333065818,3.950754553963112,3.948655066508222
40,41,26,33,1.21,0.61,7.47e-05,0.99,2.27,[52],"[64, 65, 66]",5.0,2.6813169387395503,2.67686732304429,2.692995726176801,2.6762200948316615,2.6789389592399453,2.681806334333598
41,42,27,33,3.46,0.61,5.2e-06,0.98,3.54,[46],"[64, 65, 66]",6.0,4.371792055937882,4.400206897546609,4.306305588453784,4.421481723277385,4.343344168655767,4.394829032122887
42,43,23,36,3.11,2.1,4.7e-06,0.99,3.61,[71],"[59, 57, 58]",7.0,4.076301095714684,4.066502125606599,4.1060949840034935,4.05388791189145,4.067157342639444,4.089348534800471
43,44,25,36,5.08,2.1,2.5e-06,0.98,4.0,[61],"[59, 57, 58]",5.0,4.478505782413708,4.487125474683467,4.485119490685109,4.488419131198052,4.444632004766077,4.488392047320293
44,45,27,36,3.46,2.1,9.1e-06,0.99,3.23,[46],"[59, 57, 58]",7.0,3.6450205835830807,3.6758487042181276,3.619419718104872,3.6653664327395385,3.6351512297792796,3.631513285780338
45,46,29,36,6.36,2.1,1e-06,0.99,4.68,[37],"[59, 57, 58]",9.0,4.9657072921785925,4.983724974654222,4.949667014578269,5.000336686754004,4.949205425700517,4.947277107240003
46,47,25,37,5.08,3.04,5.2e-06,0.98,3.54,[61],"[45, 43, 44]",6.0,3.3046097461863333,3.2844843965385246,3.289975429916442,3.3426838077336662,3.302434912835617,3.3056312484455646
47,48,26,37,1.21,3.04,1.2e-06,0.98,4.56,[52],"[45, 43, 44]",5.0,4.281625665297446,4.105048464540191,4.778770251559689,4.108246430318859,4.219355228487487,4.4239624394765285
48,49,27,37,3.46,3.04,5.47e-05,0.99,2.39,[46],"[45, 43, 44]",4.0,2.659571570670442,2.661004333570449,2.659087969925726,2.6590491396209486,2.661155671523515,2.6575726695109525
49,50,28,37,5.13,3.04,8.9e-06,0.98,3.24,[39],"[45, 43, 44]",5.0,3.548205791360288,3.5590212189743333,3.5341534681733626,3.5533165985271586,3.555406545440265,3.539592631726104
