,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.543060218683037,2.473862076374741,2.6419511405515115,2.571146132520931,2.57409498975246,2.4814433416384247,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,2.5941194683058106,2.527223772331232,2.696869150368808,2.659755039942717,2.5765954875453345,2.539604913148427,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,3.0322999827754016,2.9425301086483238,3.019306911310084,2.961665025567182,3.203153745009537,3.0833505620063306,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,4.50992885072325,4.817565150068491,4.600223634106044,4.312629432316167,4.521704173887789,4.4081795453383394,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.8995709180405655,2.879004161389767,2.9159982518933303,2.872894907118522,2.939139240847682,2.894395418169453,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,2.7842354583946056,2.657093067307978,2.708483948417006,2.794800523366287,2.8332751383094386,3.0165832670750694,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.695604538614414,2.7400357386590724,2.7005416031319425,2.663926937519481,2.7013660184736854,2.6765087613521024,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,2.8422628322699603,3.06756786703758,2.911496514339827,2.8471866485305943,2.70602325528069,2.769127795869638,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.4779357028064415,2.4597217364396693,2.4846012093853296,2.502816081881336,2.504421385141873,2.4423341857370264,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.3926313891798388,3.5307738869825975,3.2849629440035177,3.329739889528167,3.3423652326543323,3.5308467424355854,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.4445317100871216,2.2896843222820187,2.444365495655193,2.4119580600642303,2.514113120613073,2.6693283902833254,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.047239168561266,4.428191323477235,4.323251422341551,4.393561793022627,3.8654832665376864,3.664306066931618,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.5610772875170817,2.4755751245376385,2.587129749351502,2.5578367221824894,2.5903615833586944,2.6106864348707592,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.18075479648959,3.1792440002299545,3.135093766261546,3.1764777453036226,3.1843726511277253,3.2339924132886195,macrocycle
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,2.658405810128949,2.8879698920165913,2.659946840068106,2.699399639841888,2.605140939326941,2.5275557032991633,macrocycle
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.896944996068344,2.799793937497265,2.930359746087538,2.8679247461610236,2.9182866546229707,2.9942447866191904,macrocycle
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.5884998178435086,2.590443169253433,2.5717673269146744,2.549260953574511,2.588429274079754,2.649957917415284,macrocycle
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[90],[82],4.0,3.040225343447798,3.2439023806275076,3.0146747903027746,3.0316517176295017,2.9737156978069175,2.9871941009843206,macrocycle
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[86],[82],3.0,2.6506563176564484,2.577983441331778,2.713900456686798,2.7419059523695424,2.671123498167466,2.5787920608688006,macrocycle
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[86],[78],4.0,3.081912667245101,2.9743778787840354,3.096013251980164,3.092646663526206,3.075731348358855,3.1999944264759197,macrocycle
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[82],[78],3.0,2.652122392238143,2.7448921806569198,2.650912942385349,2.6416946888256367,2.670124545837817,2.572916422563795,macrocycle
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[82],[77],4.0,2.8921499641158204,2.753296602388269,2.9297200756290076,2.908138867873871,2.917233647659475,2.992980102168556,macrocycle
22,23,17,30,6.49,2.05,5.11e-05,0.99,2.42,[108],"[109, 110, 111]",4.0,3.1043511214098096,2.780320501654133,3.1206778580180856,3.2268690741581074,3.221476935806455,3.4846063140666637,mixed
23,24,19,30,6.21,2.05,1.8e-06,0.98,4.22,[106],"[109, 110, 111]",6.0,5.059586544860344,5.127331467764221,5.039154672896676,4.9952182139898635,5.075359304722362,5.06740469940786,mixed
