,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.5126542138044416,2.4629598062759257,2.6072670828882187,2.6114591106454266,2.4437570733877996,2.4743228818250564
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,2.814689816072087,2.7144889317803496,2.813309379831381,2.803136026560646,2.864967479595493,2.90353290521276
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,2.477281849522673,2.5009871644737593,2.6913816093621197,2.6142106563676526,2.3541547163992997,2.351953118812248
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,4.174022486657359,4.106620129296724,3.9512736203754057,4.371452660661939,4.243306793701873,4.293727877185149
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.59609203272459,2.631417102260815,2.7262924827345714,2.72318965846698,2.4797709161081376,2.4963286992517113
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,3.07873484332144,3.100332025997732,3.057794294360897,2.766370251790937,3.435196159100382,3.3703949757608043
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.6949185806243827,2.7088829669221335,2.6288079073095134,2.762712585767122,2.763602817165254,2.633450527735868
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,2.9765954882323307,2.9014546821181226,2.95583680043848,3.020478489782392,2.9416880643841523,3.0880726375872607
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.487933661610881,2.4746901257778546,2.5546236138229443,2.469097270645066,2.4773312484352217,2.471087368659818
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.5481983306461267,3.6550877688343624,3.4457016452610345,3.377086062618808,3.6942777362359704,3.652374161288945
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.3590395300894387,2.2767831270224805,2.3602292620979655,2.3755134690628315,2.4113624337876787,2.3877769476801456
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.236497760541912,4.061485070192194,4.281309719040223,4.210916283782878,4.155475717486159,4.596177075068865
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.486755691129145,2.4490873433374434,2.4919225930157656,2.5330181897465938,2.4990666358298426,2.4664728434874013
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.23604954001562,3.216057181286123,3.1690235780156986,3.167524713070349,3.3194712196779848,3.3361753712966324
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,2.782577012951364,2.850602812917082,2.9028320790751367,2.709590633318255,2.691552457279064,2.7989831235640423
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.7332572422544836,2.8216787098959455,2.864070993720885,2.923543703455876,2.608944800509886,2.5755249291672895
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.521350893453931,2.55163526946975,2.5153594876759517,2.547685402108692,2.5091792364413283,2.4870207479259014
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[90],[82],4.0,3.067707219716942,3.099246571735538,3.0956037146323467,3.0489583014562798,3.0730163436711173,3.0261644651671924
