,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.540328407639842,2.5753594559329174,2.5225356803727332,2.5321567228052873,2.5422378442653897,2.5316302704067484,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,2.334543489477729,2.371990879809107,2.3465407182718603,2.347452054709137,2.3021497592680467,2.3096482127714615,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,3.772187623618009,3.365980929879827,3.650448175304675,4.223532249652446,4.1529497374400295,3.973272972602064,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,4.197986718552841,4.0275148506099425,3.854204675774384,4.606950155427172,4.515658104835474,4.3305037586397,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.919793678216363,2.8172214685968022,2.9246808627107606,2.886707954722291,2.9844364175299187,3.0161404538161323,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,3.7127333856844444,3.746145776257039,3.6190375792904557,3.7224670194959493,3.717663022789633,3.771479693096433,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.3650490078124906,2.39619415515701,2.3662487820902243,2.3829085894558957,2.344218742836955,2.3392018627223568,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,2.638854474533337,2.7174941453383616,2.7143886239020936,2.5745963314364886,2.5702203399924715,2.6447966788842225,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.7405265096629265,2.7510096238992805,2.7491867626034745,2.6854013377711645,2.738698374911492,2.7851053475518084,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.4433872902130935,3.2702797473583467,3.5102493590786747,3.330718356342964,3.588282017715554,3.6169920426303075,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.474864169399835,2.4400984771233625,2.507758142995216,2.5894690736646946,2.440498144070232,2.4221481389004955,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.1977138643525445,4.208105926047097,4.322675402793133,3.974295236643754,4.309185981383651,4.246346127493711,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.470028526159233,2.4469389938661017,2.481227964718741,2.5013176852872867,2.4620301737544197,2.4611246368245125,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.2041089845953046,3.11934455700975,3.1703540913244312,3.295602066664185,3.2854821073284137,3.175645781823651,macrocycle
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,2.780077738673265,2.9215863643858144,2.7731472971352495,2.626513820044371,2.777564934493319,2.8672882113897975,macrocycle
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.775891252434146,3.024397862205234,2.7393416943259234,2.6804089375066438,2.7073388154801465,2.812792909011913,macrocycle
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.501207837691334,2.475034247038518,2.4939419015530095,2.5637611201263626,2.499318714891926,2.480775650497024,macrocycle
