,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.438871337386122,2.440654639424244,2.437085558564869,2.4383895120413652,2.439321817151378,2.438914927299736
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,3.4891768738937796,3.331695979916505,3.478741690318215,3.5640461702174697,3.555598540652017,3.558178358576163
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,2.153778991381161,2.1798130603745034,2.1461234198805483,2.1559867116656797,2.1439509306132107,2.1444924064251207
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,3.6556043003394896,3.702007368507514,3.644580428564457,3.6621847539322867,3.6362642039947306,3.6358782628900537
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.4348387477044184,2.441211776918902,2.438401715157413,2.4267100559538077,2.4346573467077492,2.4333879107899543
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,3.672839664078405,3.5126959804352427,3.680577803936589,3.730971719797341,3.7415405170579734,3.7371959082295514
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.9844052761554813,2.9701870512356705,2.9721631958045904,2.98787379270025,2.9895467598225336,3.003122415300878
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,3.2062296891778166,3.1970915907318735,3.209696168811453,3.2076798856705624,3.209288979782887,3.2075110281054586
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.4848349559998506,2.4865404554571175,2.48405341432973,2.4848507934869244,2.4840335776620086,2.484702420174952
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.770007794704785,3.7740279261745977,3.7690137611853225,3.7719361804415774,3.7675441652933155,3.767547541201646
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.134319659130364,2.1412476223586903,2.1327634530375073,2.1341160769814636,2.1315384443094803,2.132036082617697
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.471648082378794,4.472447797467071,4.47213845738157,4.472901325214456,4.46788798953635,4.472879035375986
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.4219710574813855,2.4254020265499125,2.4216079067382528,2.4223515838035024,2.42105149948266,2.4194699060794287
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.2256247384688153,3.2226914351424996,3.22612912512331,3.224246179899909,3.2274866785967364,3.2275899123223315
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,3.0414408746901334,3.041006781485061,3.0409641186506753,3.0420200789481253,3.041247560886333,3.0419670594266894
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.851493982928699,2.840058931808314,2.8475793099146007,2.8545343351768278,2.8644181962808246,2.851274194960477
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.5286138865732726,2.5290463016961313,2.5287241397620375,2.5298310539091466,2.5247327362808756,2.530764849890744
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[90],[82],4.0,2.8853625439737995,2.90512396625225,2.8816501973661475,2.8715018980617475,2.8933446828322924,2.876091864570523
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[86],[82],3.0,3.0248901159987933,2.99673297398805,3.0199436958184886,3.034661303866218,3.03803644737638,3.036506966839651
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[86],[78],4.0,3.0720620698897037,3.074540591894135,3.0715524195580564,3.076802784188064,3.0634369931065892,3.0741004593601327
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[82],[78],3.0,2.4755849909147845,2.477161974610571,2.47944891511515,2.475021175781,2.4720690203034703,2.474268845426773
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[82],[77],4.0,2.950667406305698,2.9141471654490783,2.9544534876310613,2.967362147025894,2.9517298331971986,2.96797388750689
22,23,17,30,6.49,2.05,5.11e-05,0.99,2.42,[108],"[109, 110, 111]",4.0,2.720765051134228,2.718583908729801,2.722010394659054,2.720972306518549,2.7217252883167298,2.72054278691751
23,24,19,30,6.21,2.05,1.8e-06,0.98,4.22,[106],"[109, 110, 111]",6.0,5.171331470554405,5.161974764223109,5.175998664973277,5.175476250724671,5.17280007884458,5.17049537574451
24,25,18,31,6.95,0.95,7.5e-06,0.99,3.34,[107],"[103, 104, 105]",5.0,3.607060507025108,3.5084663073216245,3.681245440898544,3.532860488883815,3.6455100837208585,3.6968147440533006
25,26,19,31,6.21,0.95,1.17e-05,0.99,3.1,[106],"[103, 104, 105]",4.0,2.956345473841144,2.9779118565208256,2.945107086950922,2.969324294464556,2.948984252246714,2.941613139742629
26,27,21,31,3.82,0.95,2.23e-05,0.99,2.78,[100],"[103, 104, 105]",4.0,2.95754161229783,2.953402675973687,2.9594532927270882,2.9580469499664606,2.9600146269475935,2.9568233164553153
27,28,24,31,1.39,0.95,2.7e-06,0.99,3.94,[90],"[103, 104, 105]",7.0,4.7800446439356135,4.77297655086682,4.779611164310456,4.7798104003635435,4.784571310290292,4.783313471411954
28,29,18,32,6.95,0.97,1.3e-06,0.95,4.47,[107],"[97, 98, 99]",7.0,5.4856010586446855,5.453915574769147,5.470188295589003,5.508161445749073,5.4956282254640945,5.501459302356785
29,30,19,32,6.21,0.97,3.1e-06,0.96,3.86,[106],"[97, 98, 99]",6.0,4.903311292594484,4.869676279853227,4.846970024158017,4.887930697252181,4.937686448294319,4.982769722382881
30,31,20,32,2.39,0.97,3.54e-05,0.99,2.57,[102],"[97, 98, 99]",5.0,2.662926128048425,2.6599528248839532,2.6672907770875147,2.662506827740817,2.662538352636937,2.662379263669745
31,32,21,32,3.82,0.97,8.3e-06,0.99,3.28,[100],"[97, 98, 99]",4.0,3.9940284192002053,3.995533704736431,3.9943340105389575,3.9947129141273123,3.99328384559254,3.9922832548893212
32,33,23,32,3.11,0.97,3.3e-05,0.99,2.61,[94],"[97, 98, 99]",4.0,2.850687587304182,2.8432221217123317,2.8524841032535795,2.8509405963578627,2.8533149152475863,2.853567754730231
33,34,24,32,1.39,0.97,2e-06,0.99,4.14,[90],"[97, 98, 99]",5.0,4.739297831694082,4.745802974319583,4.741608224471998,4.7411707005232,4.739397247813265,4.72863219657258
34,35,25,32,5.08,0.97,1.8e-06,0.99,4.25,[86],"[97, 98, 99]",6.0,5.342040552963407,5.3387670462646835,5.342426950266827,5.343225611627785,5.34735523457064,5.338462830263007
35,36,18,33,6.95,0.61,5.8e-06,0.99,3.48,[107],"[91, 92, 93]",9.0,4.345132894473126,4.293360479899969,4.282434117781816,4.354103766033287,4.374660788129671,4.433321977421466
36,37,20,33,2.39,0.61,7e-07,0.99,4.96,[102],"[91, 92, 93]",7.0,5.305263493430077,5.304269696396162,5.297436076603486,5.3104246211433885,5.312201216982041,5.302082943033726
37,38,22,33,1.87,0.61,6.67e-05,0.99,2.32,[96],"[91, 92, 93]",5.0,2.5653240906577492,2.564217508067821,2.563205508052397,2.565470426260432,2.5667319313708155,2.5670094875552847
38,39,23,33,3.11,0.61,3.21e-05,0.99,2.62,[94],"[91, 92, 93]",4.0,3.030474715396619,3.0265255286624093,3.032650747659958,3.028678556546333,3.032808379263043,3.0317457709754745
39,40,25,33,5.08,0.61,7.4e-06,0.99,3.34,[86],"[91, 92, 93]",4.0,3.9667426617846484,3.964117679615828,3.9665488044473287,3.9678005536525744,3.96817648419592,3.9670788093128295
40,41,26,33,1.21,0.61,7.47e-05,0.99,2.27,[82],"[91, 92, 93]",5.0,2.604692107183009,2.6179130456095616,2.604165032161484,2.6012991244132575,2.599437930709547,2.600949224179423
