,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[93],[89],4.0,2.50047960989852,2.4976579929645113,2.5029372520809363,2.4995618420321906,2.4992959632378895,2.502976455816671,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[91],[87],4.0,3.67484013818836,3.7061941092486355,3.7030171038193926,3.6718504505493166,3.630461628955411,3.666349226027168,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[91],[81],5.0,2.3994533477488957,2.396658094651482,2.402200005855831,2.3985763855967006,2.398897492258315,2.400962052446023,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[91],[67],8.0,4.255138488374541,4.254843187872819,4.256975397846537,4.250879327523896,4.255193200403691,4.257825062548447,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[89],[87],3.0,2.317163818128966,2.3165734486727665,2.315270098123636,2.3167732556769467,2.319899173366247,2.317320603962539,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[89],[81],4.0,3.6206417522594987,3.6240654186945385,3.626038902791087,3.633859713681862,3.6145406032988348,3.6051806188366466,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[87],[81],3.0,3.022902359880752,3.0316102152200526,3.032416654354942,3.0172831655504053,3.013794354334323,3.0197436202553107,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[87],[77],4.0,3.235771094590041,3.2333720929282035,3.2315956408726687,3.2364058471463575,3.2395752575141303,3.237952975289625,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[81],[77],3.0,2.4555936347065783,2.4562058820478665,2.456133891612129,2.456069664019351,2.4545848848708567,2.4549771175688053,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[81],[71],4.0,3.7671186590213184,3.765887690408785,3.768174574978201,3.7659517775762597,3.768333762109728,3.767250587105419,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[81],[67],5.0,2.2745689867404923,2.27786134153519,2.270242827926615,2.2733290466447613,2.2749853486474536,2.2764801734588365,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[81],[61],6.0,4.664692830982222,4.670592177680934,4.666797201410642,4.668535879919649,4.651324940013826,4.666391633342998,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[77],[71],3.0,2.3976342757000007,2.39610002362048,2.4002525832820045,2.396076002189014,2.397137652714944,2.398623876234803,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[77],[67],4.0,3.2868935777556567,3.291537752940546,3.283475406787091,3.285053659208246,3.2899303584664352,3.2845254569354503,macrocycle
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[71],[67],3.0,3.0208532477853267,3.024904071491967,3.0301657196957765,3.029868032573277,2.9932967154136074,3.0271916580385305,macrocycle
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[71],[61],4.0,2.72763487973066,2.725890468987666,2.728047909089559,2.7247761565787116,2.724246955700898,2.735317501726591,macrocycle
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[67],[61],3.0,2.6260057450165513,2.6295533509725284,2.629649989630947,2.628444249461059,2.61811404775456,2.6243964760925027,macrocycle
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[67],[52],4.0,2.7657005908100234,2.764892747485454,2.7659290447024762,2.7591154017366653,2.7728615939625776,2.7658247561175084,macrocycle
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[61],[52],3.0,3.0273052006554826,3.0298444827576665,3.0286697805163687,3.0256606518301528,3.0283399737131034,3.024037452149886,macrocycle
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[61],[46],4.0,3.090379100576497,3.0932147365000056,3.086773665081455,3.0951653938670702,3.085725072976719,3.0910915294878905,macrocycle
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[52],[46],3.0,2.533570825981048,2.5323947493251966,2.535561897409565,2.531993333560316,2.533985411328143,2.533929975417082,macrocycle
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[52],[39],4.0,2.9776004545846355,2.9782384050700257,2.981256805857803,2.9789040224201195,2.967693361152948,2.982067579046284,macrocycle
22,23,17,30,6.49,2.05,5.11e-05,0.99,2.42,[93],"[96, 97, 98]",4.0,2.662648674961279,2.6625087258003965,2.6624482567954297,2.662752899806722,2.661551499981883,2.6639860171433547,mixed
23,24,19,30,6.21,2.05,1.8e-06,0.98,4.22,[89],"[96, 97, 98]",6.0,5.16745785344286,5.1642571917157065,5.168823582219197,5.169095162826725,5.165870378388247,5.169256877149836,mixed
24,25,18,31,6.95,0.95,7.5e-06,0.99,3.34,[91],"[86, 84, 85]",5.0,2.883146982313687,2.881780317630061,2.879669934362985,2.887977727612842,2.88610754551682,2.8802653021346902,mixed
25,26,19,31,6.21,0.95,1.17e-05,0.99,3.1,[89],"[86, 84, 85]",4.0,3.4800361698535,3.4850737296550873,3.4926645210862866,3.4751689325438417,3.464793102995218,3.4829336183730253,mixed
26,27,21,31,3.82,0.95,2.23e-05,0.99,2.78,[81],"[86, 84, 85]",4.0,2.969441986225676,2.9690155944351044,2.9678824853182877,2.9700252333990536,2.970332518844183,2.969958833569413,mixed
27,28,24,31,1.39,0.95,2.7e-06,0.99,3.94,[67],"[86, 84, 85]",7.0,4.948299864913123,4.95035070830545,4.938660769311701,4.950016649369342,4.955964669519167,4.9466210218621764,mixed
28,29,18,32,6.95,0.97,1.3e-06,0.95,4.47,[91],"[74, 75, 76]",7.0,5.782240836486152,5.774305816168116,5.790098102850079,5.787564916791642,5.774718084284078,5.784647741855798,mixed
29,30,19,32,6.21,0.97,3.1e-06,0.96,3.86,[89],"[74, 75, 76]",6.0,4.897823543337445,4.919038533724583,4.947476882853548,4.871578862906854,4.862339255122782,4.892157178612107,mixed
