,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.438741247567141,2.464233149857355,2.401137445993533,2.399786383743804,2.512655900641065,2.4285879358446967,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,2.4280640291027304,2.4394833169982775,2.380416000712674,2.4142614348842324,2.5094466059988645,2.40986994137884,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,4.002243294177027,4.341587001118777,4.18146882583648,4.346450245351328,3.860340390961195,3.640283589382575,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,5.701193762757083,6.527524974087852,5.948601539409099,5.102628296918525,5.749845985493691,5.818158846848885,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,3.049536264598225,3.0748591601493915,3.0637016634264764,3.0507697032005128,3.0431185619403567,3.017444916868576,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,2.5180609299737453,2.502401992083687,2.4967384422131684,2.5973164285580026,2.501033322053604,2.5026024816345345,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.956505385932982,2.983523184163197,3.0051517859928243,2.8323919324165763,2.9920579112211634,2.996712373145716,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,3.2709150844561874,3.2560543718048427,3.2680018621091937,3.3209041941530226,3.2770907848502735,3.236672270542856,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.426201049999243,2.4258391668581254,2.430737698153294,2.4157349463970257,2.4284781357257113,2.430438129460915,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.6523185170342316,3.5717404464827056,3.7866486886213115,3.7912828887901378,3.4782180844268575,3.7089398467394776,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.3034301117308336,2.3220895214075035,2.2571009380972753,2.3434375516579755,2.358978993720045,2.2507246248006014,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.520141218787745,4.462028824850954,4.699432255118284,4.6407173046727825,4.301260818804866,4.577914246227421,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.476197210600075,2.4875912046307365,2.432078845154095,2.506533449637919,2.5244528974950664,2.439740193591355,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.184474623917671,3.1664754958904258,3.2327274470803706,3.208895288788721,3.1217509925136477,3.200838728179216,macrocycle
