,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.413593791635197,2.393541498521645,2.421953701964706,2.422943228572816,2.4151589766376937,2.415200963750203,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,2.4186513424774994,2.3824218456568342,2.4263780833278736,2.4515832599735603,2.4263874508775576,2.410252654171974,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,3.338174973892799,3.893785303181781,3.4512514314682,2.9906162313368796,3.3315686066313868,3.4379468943560445,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,4.612132943193849,5.503605609499553,5.12333176004332,4.154649226645564,4.296609851305658,4.871716502005839,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.9544211598992494,3.0464554197392992,2.9867526998531515,2.8474630006055013,2.952351549007512,2.964645759817672,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,2.551981149631927,2.5232059023162297,2.5423452665559214,2.6085000040784485,2.5498959021616048,2.5415494593320624,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.919478746044653,2.961086722008195,2.920651555547935,2.8598307153471287,2.924523754254226,2.938256499759725,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,3.16636531386308,3.196041431116176,3.137907736729063,3.121804967496083,3.2109474432077083,3.1714167211289315,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.446597543874602,2.4334999084685585,2.436875220417016,2.469044192714887,2.454054533702082,2.440731449315639,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.730946305986305,3.777135534792232,3.720667621694539,3.7105937592878675,3.71990998762673,3.7289747065284518,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.262557426980524,2.213865968856135,2.2556359995276214,2.3032716036853436,2.274039899244401,2.272742842571803,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.573832763490257,4.552383066245149,4.568681700345626,4.540149069033813,4.606376501795447,4.604330501188189,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.441587263504569,2.4392261668939423,2.441493962750636,2.450648432669155,2.448789658088741,2.4282357551543594,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.184399507255693,3.1818753384426204,3.152014911025347,3.2075310169453237,3.165612373448413,3.218358959329491,macrocycle
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,2.9992554167174186,3.028233640894718,3.0056623520610786,2.9753328885548425,2.991976384357968,2.996826108337169,macrocycle
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.631995485858132,2.688312508945465,2.660954855729557,2.5628484496008412,2.6381656971933,2.6217888878137323,macrocycle
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.6824785698730085,2.660962231674908,2.671164757802902,2.746540074141877,2.675706353371617,2.6643342753328563,macrocycle
