,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,3.778371163105762,3.8057622214875284,3.8472253982858606,3.751256201618131,3.741200728818276,3.7538547216070146,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,3.4400140457427657,3.4475026467716665,3.5209219017264672,3.4586117648006343,3.4173130799462363,3.3684376234859865,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,4.438355763411036,4.471570868217584,4.3996005439206325,4.375067804918411,4.492686425016044,4.460848714892643,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,8.013448943021995,8.073250401347106,7.806267521698561,7.951261188067241,8.204360145883143,8.071904294368412,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.2120391442126266,2.1949436939441065,2.1821605573051657,2.2076001868886492,2.2272441877256104,2.253117838583286,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,3.352314269273042,3.304765141496158,3.403519686471581,3.2595468235516996,3.3982699302221704,3.416455979299206,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,2.5173633898775667,2.563103892104513,2.4652672685222203,2.511341920606503,2.552365784331373,2.503468646305364,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,2.4352293198044745,2.468328547955659,2.4403625729126897,2.4303126976096614,2.414322474459616,2.4252011147565082,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.204962933923452,2.206554072222163,2.220935309534834,2.2071508479772914,2.191898116645463,2.1990169739750427,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.2393778205673107,3.1558964695425145,3.031573987869921,3.2896082684154604,3.434518002247689,3.4169068040220085,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,3.6001090165421026,3.8158663048637,3.3191489221432997,3.531052426581019,3.6270343029165812,3.9344232269786024,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,3.320134728407598,3.196005322549861,3.5707048022775236,3.3119672635039437,3.2187516036026356,3.3932569140004434,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.4236398075442454,2.46194498108274,2.371923728791046,2.4552627882365154,2.4279940614738567,2.408939086733164,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.240905469114767,3.122718425681853,3.5009002973103414,3.055015103049587,3.1881779598813385,3.536659318050597,macrocycle
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,2.165820556810496,2.1780975358088797,2.167872022750281,2.170295771570558,2.1583051513231966,2.1550918341236516,macrocycle
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.3075602229271746,2.330641555837535,2.308536836243496,2.340932360816671,2.2994606602490206,2.263802269001746,macrocycle
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.506232051060956,2.4956461146999396,2.531046752194684,2.4812139629623657,2.507292786598341,2.5180486714513832,macrocycle
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[90],[82],4.0,3.3461936012561573,3.4139930471474083,3.2724385079205467,3.372525387811916,3.277291637912257,3.4161255833457145,macrocycle
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[86],[82],3.0,2.2534646906257603,2.2521567189228278,2.2614954424172082,2.2365816098716302,2.2556938428264117,2.2620710085000812,macrocycle
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[86],[78],4.0,2.958083675070649,3.1407573945561533,2.9713584659408605,2.7758739999007065,2.9735863621073517,3.0133016893834483,macrocycle
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[82],[78],3.0,2.161591885214635,2.1433647992746527,2.164443475575327,2.187923609399907,2.1650777670545005,2.149077474326128,macrocycle
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[82],[77],4.0,3.3390146460113774,3.481976614413576,3.353870144234792,3.181776877782388,3.3221572570477913,3.409495013697874,macrocycle
22,23,17,30,6.49,2.05,5.11e-05,0.99,2.42,[108],"[109, 110, 111]",4.0,3.479094860168745,3.4886364358272504,3.4996278362889024,3.4877495388137074,3.4813847995139287,3.4402302481009346,mixed
23,24,19,30,6.21,2.05,1.8e-06,0.98,4.22,[106],"[109, 110, 111]",6.0,4.496383962978796,4.427481677474379,4.488719739004931,4.441074437681316,4.4887218523498795,4.661668614645513,mixed
24,25,18,31,6.95,0.95,7.5e-06,0.99,3.34,[107],"[103, 104, 105]",5.0,3.308226727128009,3.3385940903360845,3.287118017408248,3.295439193192396,3.309175786166127,3.312432733801453,mixed
25,26,19,31,6.21,0.95,1.17e-05,0.99,3.1,[106],"[103, 104, 105]",4.0,3.627355583651078,3.617772096894014,3.6882551957373186,3.6168603811806084,3.652667246282814,3.5688950763013527,mixed
26,27,21,31,3.82,0.95,2.23e-05,0.99,2.78,[100],"[103, 104, 105]",4.0,2.735107775798788,2.7310908782403516,2.765952445230731,2.7480729685976217,2.707705386059201,2.7252449300769017,mixed
27,28,24,31,1.39,0.95,2.7e-06,0.99,3.94,[90],"[103, 104, 105]",7.0,5.883682218451723,5.879170374830781,5.9574401189407045,5.784161673969316,5.761608960205469,6.07466881644155,mixed
28,29,18,32,6.95,0.97,1.3e-06,0.95,4.47,[107],"[97, 98, 99]",7.0,5.232287631931191,5.20288229923533,5.410163266498023,5.231441818013183,5.414652594428925,4.988045594356223,mixed
29,30,19,32,6.21,0.97,3.1e-06,0.96,3.86,[106],"[97, 98, 99]",6.0,3.297145318170704,3.3640006774225366,3.2548134986269304,3.3191031891898715,3.22495664098631,3.337357683901282,mixed
30,31,20,32,2.39,0.97,3.54e-05,0.99,2.57,[102],"[97, 98, 99]",5.0,2.8958996042159706,2.838436709395809,2.9673222705418336,2.906684165395152,2.8706847803784545,2.9074484625666535,mixed
