,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[108],[106],4.0,2.4503017046790236,2.456292253690575,2.4491174383453442,2.45240077774131,2.444130676754056,2.4496819021355343,macrocycle
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[107],[102],4.0,3.558619556163469,3.565539833156044,3.5154922459226774,3.555480633055412,3.5936091205754233,3.56615131388112,macrocycle
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[107],[100],5.0,2.1841925800464463,2.182676528730631,2.1941838140568795,2.181861143020586,2.1690702515173226,2.1938630435251874,macrocycle
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[107],[90],8.0,3.726821382200489,3.719143699421598,3.752520255085555,3.7211546077931628,3.6993239991944566,3.7436462759707725,macrocycle
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[106],[102],3.0,2.4089518325387758,2.416610583119338,2.4011105588074404,2.4084203788945526,2.412576592321284,2.4062457646452393,macrocycle
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[106],[100],4.0,3.638659878039066,3.6311890976354393,3.624368903313498,3.611165193028093,3.680096825924441,3.649182308281878,macrocycle
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[102],[100],3.0,3.003287915761807,2.9823625236914406,2.989047542789731,3.0331824048064364,3.0276733692183395,2.9869416877324366,macrocycle
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[102],[96],4.0,3.190015458978971,3.182583877902841,3.195303830940271,3.1896216739396257,3.190639456938106,3.1920249984964686,macrocycle
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[100],[96],3.0,2.4855488388878304,2.4854783705921832,2.485287086693388,2.4858164010921207,2.485368220993683,2.4857944502145695,macrocycle
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[100],[94],4.0,3.7727913402033044,3.771015883860791,3.775526308594643,3.772447608156254,3.771560440765558,3.7734181942455853,macrocycle
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[100],[90],5.0,2.1350814007587235,2.130614229069489,2.140557870354327,2.1326844119726958,2.13358208483171,2.138077937720234,macrocycle
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[100],[86],6.0,4.4747220872012115,4.468472624688694,4.482995416964103,4.4696119341065375,4.469842870746449,4.482862268385435,macrocycle
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[96],[94],3.0,2.427797510451322,2.430856826776258,2.4268967251112956,2.4280918635091933,2.426502440458547,2.426658733088886,macrocycle
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[96],[90],4.0,3.21987613723729,3.214545571811982,3.221639063872396,3.218273277696559,3.22142121084814,3.223556022075316,macrocycle
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[94],[90],3.0,3.040146600616636,3.0390858463556496,3.040234412296925,3.039529840450717,3.0403008508265583,3.041586207129762,macrocycle
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[94],[86],4.0,2.8424905845790462,2.8429047955245315,2.835570381947993,2.846157255285271,2.84793910519861,2.8400014593012575,macrocycle
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[90],[86],3.0,2.535124859725304,2.5358516950173806,2.537461977346946,2.533110808023058,2.5301913444909685,2.5390775970038977,macrocycle
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[90],[82],4.0,2.87939648856233,2.899216546224822,2.8658436673818253,2.873795208313836,2.8839630832024525,2.8749466552239733,macrocycle
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[86],[82],3.0,3.0268375319873058,3.007199142251775,3.036273148489141,3.0300225679076194,3.0364399423598143,3.024930376865009,macrocycle
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[86],[78],4.0,3.0531726126528587,3.041618758968776,3.0583790315164547,3.0541050011900115,3.0533632074677666,3.05861744380499,macrocycle
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[82],[78],3.0,2.4873556762744773,2.4921117714334255,2.486758893802806,2.4865417365301976,2.4845121176800995,2.4868986709190817,macrocycle
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[82],[77],4.0,2.928886534100381,2.9168239385442636,2.9396784224568155,2.924889011192784,2.923356221425057,2.9402061552976253,macrocycle
