,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.39,5.93,1.76e-05,0.99,2.66,[107],[105],4.0,2.4021567502883885,2.3937532348240445,2.399762719723921,2.420500212863717,2.3970938566430244,2.4003089540266282
1,2,18,21,6.58,3.77,2.5e-05,0.99,2.51,[106],[99],5.0,2.401619260801226,2.3941822193616007,2.3904458194727645,2.4054362624137298,2.405452052195726,2.4130768193000236
2,3,20,22,2.83,1.71,1.2e-06,0.95,4.14,[101],[95],4.0,3.150638536964521,3.2162190527954104,3.172507529679935,3.067510656420294,3.1793942041665124,3.1321405376558764
3,4,21,22,3.77,1.71,1.45e-05,0.99,2.74,[99],[95],3.0,2.4575662662756894,2.456730593929533,2.4573155620676683,2.452754995503688,2.4558610523596713,2.4652917939463
4,5,21,24,3.77,1.54,1.68e-05,0.99,2.68,[99],[89],5.0,2.1874570421099726,2.1853149673034,2.190956774738309,2.184396175250342,2.190101266047405,2.1865703595228965
5,6,23,24,3.02,1.54,5.1e-06,0.98,3.27,[93],[89],3.0,3.019051493565419,3.0170035101535615,3.026272371588628,3.0187094157298864,3.0185777227371364,3.014781001128089
6,7,23,25,3.02,4.94,2.8e-06,0.99,3.61,[93],[85],4.0,3.1204357834245116,3.1428270710905286,3.1246131096468917,3.149751863201777,3.108252783521582,3.080285888206759
7,8,26,27,1.36,3.48,7.3e-06,0.99,3.08,[81],[77],3.0,2.463513781418494,2.458907300104038,2.4503467298707267,2.465040695638874,2.467123428763768,2.4766960695680544
8,9,17,30,6.39,2.08,8.6e-06,0.99,2.99,[107],"[108, 109, 110]",4.0,2.6734906986198173,2.6721392090183227,2.6739485378630485,2.6733299559479216,2.6734594333793393,2.674580614188043
9,10,18,31,6.58,0.88,1.3e-06,0.99,4.1,[106],"[104, 102, 103]",5.0,3.9255636952225332,4.101385620438319,3.7972964901380446,3.807561622057991,3.9571780216160723,4.028136170651628
10,11,20,31,2.83,0.88,2.15e-05,0.99,2.57,[101],"[104, 102, 103]",3.0,2.5698439061663376,2.5701259030923262,2.5708326195077764,2.571566436062427,2.5671972168603774,2.569512543713211
11,12,20,32,2.83,1.02,1.19e-05,0.99,2.84,[101],"[96, 97, 98]",5.0,2.8937831982986353,2.904830602827368,2.8655081336336834,2.892452465485177,2.9201052892597525,2.8880189697250405
12,13,21,32,3.77,1.02,7e-07,0.99,4.5,[99],"[96, 97, 98]",4.0,3.918878004106483,3.920778326175134,3.9200394616207177,3.9241408330901537,3.9129302636341725,3.9165667107871127
13,14,21,33,3.77,0.6,7.1e-06,0.99,3.09,[99],"[90, 91, 92]",6.0,3.0410382285111397,3.0578304794880036,3.030150449668107,3.03305703950683,3.0300871057636702,3.0549571054743807
14,15,22,32,1.71,1.02,1.69e-05,0.99,2.68,[95],"[96, 97, 98]",3.0,2.5551303625439585,2.555519161558943,2.554881169320395,2.5563342731776064,2.5539553090971925,2.5549661051444357
15,16,22,33,1.71,0.6,1.53e-05,0.99,2.72,[95],"[90, 91, 92]",5.0,2.5551503797369324,2.5570593742623906,2.552278065005958,2.5588817272885027,2.555369624882569,2.552210363715081
16,17,23,32,3.02,1.02,9.3e-06,0.99,2.96,[93],"[96, 97, 98]",4.0,2.71984696187746,2.7238451370684995,2.7189207162745914,2.7181577242852626,2.7197658904127904,2.718572715233296
17,18,23,33,3.02,0.6,5.9e-06,0.99,3.19,[93],"[90, 91, 92]",4.0,2.8618485319450215,2.855757305594296,2.865585831274778,2.8711798301669167,2.85869303331463,2.8582232286185256
18,19,24,33,1.54,0.6,1.29e-05,0.98,2.8,[89],"[90, 91, 92]",3.0,2.593242735992269,2.5945613407718326,2.593519274084067,2.589554669171223,2.5940702237786932,2.5945322111123486
19,20,26,33,1.36,0.6,1.16e-05,0.99,2.85,[81],"[90, 91, 92]",5.0,2.607019281551022,2.6042842430552255,2.595504529977882,2.6198392387430642,2.5979021606520436,2.6182543919975902
20,21,27,37,3.48,3.04,6.2e-06,0.98,3.16,[77],"[80, 78, 79]",4.0,2.609638055850843,2.6118144054133245,2.611003084263836,2.6087645817760423,2.607890683878615,2.6087325850414396
21,22,29,37,5.2,3.04,2.1e-06,0.99,3.8,[75],"[80, 78, 79]",6.0,3.578514750350081,3.568633208598441,3.6290199746564418,3.5588302870358586,3.619802425291664,3.523837171999018
22,23,38,33,8.28,0.6,1.5e-06,0.99,3.99,[70],"[90, 91, 92]",16.0,4.385327957994926,4.4429872033281645,4.179516021673006,4.542366136812365,4.280190814103979,4.57598670497063
