,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.39,5.93,1.76e-05,0.99,2.66,[92],[88],4.0,2.443122485532538,2.433282243912342,2.4536397681167994,2.4388862996330345,2.444649956168427,2.4454882055038034
1,2,18,21,6.58,3.77,2.5e-05,0.99,2.51,[90],[80],5.0,2.265021611798211,2.2563332690856237,2.295936754309145,2.248827310434308,2.259206500287766,2.2668174696842938
2,3,20,22,2.83,1.71,1.2e-06,0.95,4.14,[86],[76],4.0,3.1511415713121305,3.139032062323355,3.063331440585157,3.235439288196659,3.2047176527007952,3.133362220157159
3,4,21,22,3.77,1.71,1.45e-05,0.99,2.74,[80],[76],3.0,2.4617121451045967,2.461141377127169,2.4530740131267375,2.4648673886595023,2.4713338064734636,2.4584116061171506
4,5,21,24,3.77,1.54,1.68e-05,0.99,2.68,[80],[66],5.0,2.1723024845489545,2.1697406684236795,2.1754694799661713,2.1684650599835487,2.1735184129751985,2.1743786505451403
5,6,23,24,3.02,1.54,5.1e-06,0.98,3.27,[70],[66],3.0,3.032944999725251,3.0334902060193123,3.033754652922489,3.0320143084547317,3.033625636213377,3.0318442281506646
6,7,23,25,3.02,4.94,2.8e-06,0.99,3.61,[70],[60],4.0,3.0223619215198303,3.0292788822759666,3.029681804894868,3.0099446660773284,3.014333628936136,3.0289936792756667
7,8,26,27,1.36,3.48,7.3e-06,0.99,3.08,[51],[45],3.0,2.5249695395057516,2.5218776416928392,2.514007750523457,2.5330713901135478,2.5304430358636596,2.5257620562873466
8,9,17,30,6.39,2.08,8.6e-06,0.99,2.99,[92],"[96, 97, 95]",4.0,2.6462791428056187,2.6423782645944716,2.6451592173766993,2.640455543089044,2.6531263546337525,2.6504275714196486
9,10,18,31,6.58,0.88,1.3e-06,0.99,4.1,[90],"[83, 84, 85]",5.0,3.219729050674851,3.212804000558856,3.1621536770711374,3.2536329233993015,3.262766871953354,3.214313796251373
10,11,20,31,2.83,0.88,2.15e-05,0.99,2.57,[86],"[83, 84, 85]",3.0,2.5849648731379347,2.584442623137893,2.5866006824763685,2.58432669706738,2.584117653643192,2.5853424132668614
11,12,20,32,2.83,1.02,1.19e-05,0.99,2.84,[86],"[73, 74, 75]",5.0,2.7352667442926064,2.723015139532985,2.748357538199904,2.738975608555281,2.7351659014239784,2.731268517098777
12,13,21,32,3.77,1.02,7e-07,0.99,4.5,[80],"[73, 74, 75]",4.0,3.968845050243405,3.9699812405238837,3.9685019671031467,3.9678567561223166,3.9703246045203726,3.9675661584063375
13,14,21,33,3.77,0.6,7.1e-06,0.99,3.09,[80],"[64, 65, 63]",6.0,2.8905500972508773,2.882230016736591,2.898049517971713,2.883551920956129,2.905533914099835,2.8839186129235173
14,15,22,32,1.71,1.02,1.69e-05,0.99,2.68,[76],"[73, 74, 75]",3.0,2.56363811875799,2.563307054701976,2.564377537616964,2.5641337137812785,2.563074370326573,2.5632997385883574
15,16,22,33,1.71,0.6,1.53e-05,0.99,2.72,[76],"[64, 65, 63]",5.0,2.583381500159856,2.584173271594705,2.587711367941263,2.5814989609497263,2.5797351286981556,2.583838081564745
16,17,23,32,3.02,1.02,9.3e-06,0.99,2.96,[70],"[73, 74, 75]",4.0,2.7962142671298555,2.8025066792204285,2.7920814322410954,2.798210029027376,2.7911391610582093,2.797243458902639
17,18,23,33,3.02,0.6,5.9e-06,0.99,3.19,[70],"[64, 65, 63]",4.0,2.9449113389051593,2.9461942527732,2.9415085256377216,2.9486908922182353,2.942600037664514,2.9456025938647774
18,19,24,33,1.54,0.6,1.29e-05,0.98,2.8,[66],"[64, 65, 63]",3.0,2.5947609323189442,2.5949551695387734,2.594077548108901,2.595703296026284,2.595064260769742,2.594007156184111
19,20,26,33,1.36,0.6,1.16e-05,0.99,2.85,[51],"[64, 65, 63]",5.0,2.5915816134048484,2.5854481859825946,2.5962630161067732,2.5937840073970704,2.59307022860996,2.589438950257461
20,21,27,37,3.48,3.04,6.2e-06,0.98,3.16,[45],"[42, 43, 44]",4.0,2.6761612922579476,2.6764960953086274,2.6762125638571805,2.680222596136411,2.67480693446562,2.6731045657774004
21,22,29,37,5.2,3.04,2.1e-06,0.99,3.8,[36],"[42, 43, 44]",6.0,3.880626858432602,3.914319489357414,3.8315229911624145,3.8951351812038295,3.88021031303634,3.885405787505323
22,23,38,33,8.28,0.6,1.5e-06,0.99,3.99,[20],"[64, 65, 63]",16.0,3.0599835975595036,3.0682843107177553,3.118547358543294,3.0259462030518316,3.034418671947777,3.058662645457541
