,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.39,5.93,1.76e-05,0.99,2.66,[107],[105],4.0,2.392268644927478,2.389138000319757,2.4011553373454673,2.3895139303343136,2.392813047404177,2.388880137302092,macrocycle
1,2,18,21,6.58,3.77,2.5e-05,0.99,2.51,[106],[99],5.0,2.3239851294785185,2.3178334521568296,2.3350124866513005,2.319970957615359,2.327480953397429,2.3199335881847505,macrocycle
2,3,20,22,2.83,1.71,1.2e-06,0.95,4.14,[101],[95],4.0,3.074395234164506,3.0932792528950714,3.0712681458395212,3.0461894573821424,3.0870082236520724,3.075751230447695,macrocycle
3,4,21,22,3.77,1.71,1.45e-05,0.99,2.74,[99],[95],3.0,2.4841552047807576,2.4856148174740382,2.4722231349924177,2.4933940516720248,2.4850424694400033,2.4848285647699506,macrocycle
4,5,21,24,3.77,1.54,1.68e-05,0.99,2.68,[99],[89],5.0,2.1644888158759477,2.1566756548757846,2.1670155668644124,2.163993877929699,2.1669050666940763,2.1679934581929103,macrocycle
5,6,23,24,3.02,1.54,5.1e-06,0.98,3.27,[93],[89],3.0,3.0081701791036957,3.0077169773670804,3.01474840212181,3.013085414364822,3.0062809193709867,2.999196076857358,macrocycle
6,7,23,25,3.02,4.94,2.8e-06,0.99,3.61,[93],[85],4.0,3.1676738415851875,3.184455762644104,3.193365853959719,3.1788760347517004,3.1361686898380396,3.1482127744560984,macrocycle
7,8,26,27,1.36,3.48,7.3e-06,0.99,3.08,[81],[77],3.0,2.443787826394436,2.4429386833883853,2.444339816471306,2.448023476507522,2.4418109006906903,2.44186422128678,macrocycle
8,9,17,30,6.39,2.08,8.6e-06,0.99,2.99,[107],"[108, 109, 110]",4.0,2.6729670905995433,2.6774450875169165,2.669005784611787,2.6672009881231666,2.6727920377683905,2.6785223367465387,mixed
9,10,18,31,6.58,0.88,1.3e-06,0.99,4.1,[106],"[104, 102, 103]",5.0,3.797547987831485,3.7485384913949904,3.7527635041625818,3.854822691976092,3.8096214174217153,3.8301933557183423,mixed
10,11,20,31,2.83,0.88,2.15e-05,0.99,2.57,[101],"[104, 102, 103]",3.0,2.5803005249491133,2.5811036482715592,2.5775652323304947,2.5802731197354882,2.5817661943108323,2.580808742257357,mixed
11,12,20,32,2.83,1.02,1.19e-05,0.99,2.84,[101],"[96, 97, 98]",5.0,2.726774792761182,2.717569651611024,2.757759551982741,2.7332493908911726,2.7106393418681582,2.716491760885254,mixed
12,13,21,32,3.77,1.02,7e-07,0.99,4.5,[99],"[96, 97, 98]",4.0,3.9232263026137657,3.9264292717446,3.926399471264577,3.91578318057591,3.926321114191087,3.9212781629306086,mixed
13,14,21,33,3.77,0.6,7.1e-06,0.99,3.09,[99],"[90, 91, 92]",6.0,3.188640447854523,3.2143336305411987,3.1598118116648957,3.2206685150125836,3.169656150143597,3.181924355577123,mixed
14,15,22,32,1.71,1.02,1.69e-05,0.99,2.68,[95],"[96, 97, 98]",3.0,2.557943158260256,2.558089412001061,2.5581601545824757,2.5577129608360027,2.5582893751481226,2.557464532494907,mixed
15,16,22,33,1.71,0.6,1.53e-05,0.99,2.72,[95],"[90, 91, 92]",5.0,2.542684670241199,2.5427842332521684,2.5453650876581957,2.5361239636620847,2.545606004604153,2.5436265273205025,mixed
16,17,23,32,3.02,1.02,9.3e-06,0.99,2.96,[93],"[96, 97, 98]",4.0,2.7138160588847926,2.7118400359281503,2.708780896317195,2.711730178137236,2.7181422326423594,2.7186849432035496,mixed
17,18,23,33,3.02,0.6,5.9e-06,0.99,3.19,[93],"[90, 91, 92]",4.0,2.8381031427873222,2.836190219581024,2.8396904759391894,2.8353266101851116,2.839940304085845,2.839391458977261,mixed
18,19,24,33,1.54,0.6,1.29e-05,0.98,2.8,[89],"[90, 91, 92]",3.0,2.592571564136029,2.591856152444863,2.588789592120615,2.5940569641333817,2.594247109119055,2.5939373517646533,mixed
19,20,26,33,1.36,0.6,1.16e-05,0.99,2.85,[81],"[90, 91, 92]",5.0,2.5979221258676355,2.5948376172764127,2.6088359062658943,2.5859746537370794,2.6045977104842635,2.595796705688971,mixed
20,21,27,37,3.48,3.04,6.2e-06,0.98,3.16,[77],"[80, 78, 79]",4.0,2.6071738313427777,2.608158177458226,2.605106967593594,2.6079201633798705,2.6081496419399084,2.606543810176298,mixed
21,22,29,37,5.2,3.04,2.1e-06,0.99,3.8,[75],"[80, 78, 79]",6.0,3.3025719948626238,3.290010450863037,3.3321400618334933,3.281053292969295,3.3026302683277646,3.3086378851459015,mixed
22,23,38,33,8.28,0.6,1.5e-06,0.99,3.99,[70],"[90, 91, 92]",16.0,4.835589771694864,4.910725151401331,4.791948601929682,4.892062818932561,4.961461170389124,4.663643571799713,mixed
