,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.39,5.93,1.76e-05,0.99,2.66,[107],[105],4.0,2.4715564217900816,2.561505059977482,2.6965887430960804,2.425726372154896,2.3906739484838107,2.3780418461459294
1,2,18,21,6.58,3.77,2.5e-05,0.99,2.51,[106],[99],5.0,2.4402978681705942,2.545648864412086,2.7280635038101035,2.4541183211504864,2.332656839376061,2.2979652508056962
2,3,20,22,2.83,1.71,1.2e-06,0.95,4.14,[101],[95],4.0,2.9228283493763554,2.820738855619192,2.6788675352961677,3.0330487383242763,3.1235285422422123,3.1798826300008995
3,4,21,22,3.77,1.71,1.45e-05,0.99,2.74,[99],[95],3.0,2.447534326768811,2.420862135496002,2.4169249738716174,2.4638676505359776,2.4684956198745986,2.471761386592454
4,5,21,24,3.77,1.54,1.68e-05,0.99,2.68,[99],[89],5.0,2.186014064277898,2.19077762947156,2.2154423582965785,2.1956976288331163,2.171253634092047,2.159904269326857
5,6,23,24,3.02,1.54,5.1e-06,0.98,3.27,[93],[89],3.0,3.0088525905824475,3.0299271113544766,3.0101144751092934,2.964561783937705,3.0244680330277567,3.0184613062174845
6,7,23,25,3.02,4.94,2.8e-06,0.99,3.61,[93],[85],4.0,3.139308037832924,3.1422424716018886,3.114829148320302,3.158692932786977,3.1553001712729145,3.1270305166171672
7,8,26,27,1.36,3.48,7.3e-06,0.99,3.08,[81],[77],3.0,2.4370795682995245,2.4230125375511293,2.4173989346102207,2.484132605101376,2.4384952615210573,2.4264067235971765
8,9,17,30,6.39,2.08,8.6e-06,0.99,2.99,[107],"[108, 109, 110]",4.0,2.673720063201859,2.672871071964415,2.673205359114687,2.6748442236850236,2.67255700091248,2.6751299753909397
9,10,18,31,6.58,0.88,1.3e-06,0.99,4.1,[106],"[104, 102, 103]",5.0,3.6661411328291815,3.6015812545263906,3.419447345605942,3.835740016307316,3.7704779464920533,3.836675177649043
10,11,20,31,2.83,0.88,2.15e-05,0.99,2.57,[101],"[104, 102, 103]",3.0,2.577334758081917,2.5727920966861273,2.577081108372422,2.573957665593598,2.5794271626229355,2.583517047663232
11,12,20,32,2.83,1.02,1.19e-05,0.99,2.84,[101],"[96, 97, 98]",5.0,2.7946464724101974,2.880955829250427,2.8719409190480434,2.85243252496038,2.7308350213840344,2.68035375145121
12,13,21,32,3.77,1.02,7e-07,0.99,4.5,[99],"[96, 97, 98]",4.0,3.925979595844391,3.925617663160097,3.9200925657608545,3.9223425165630905,3.9307584675645026,3.9311739891858366
13,14,21,33,3.77,0.6,7.1e-06,0.99,3.09,[99],"[90, 91, 92]",6.0,3.0750395396905086,3.051337480064152,3.0480090225947865,3.080629802195627,3.0956293188840194,3.1024404841246462
14,15,22,32,1.71,1.02,1.69e-05,0.99,2.68,[95],"[96, 97, 98]",3.0,2.556599729051851,2.5540742462796953,2.555762999063126,2.558642685832676,2.556279232685738,2.558258799351033
15,16,22,33,1.71,0.6,1.53e-05,0.99,2.72,[95],"[90, 91, 92]",5.0,2.561328365247053,2.568287984193327,2.57940232618107,2.572720982481452,2.5473445058667386,2.540445397598372
16,17,23,32,3.02,1.02,9.3e-06,0.99,2.96,[93],"[96, 97, 98]",4.0,2.720336415578519,2.718913394579138,2.711133977680519,2.7255965734034913,2.718811771490156,2.727441835109574
17,18,23,33,3.02,0.6,5.9e-06,0.99,3.19,[93],"[90, 91, 92]",4.0,2.848651962677378,2.8422078614108504,2.841760200540456,2.8491988859755555,2.855855155277304,2.854452582995018
18,19,24,33,1.54,0.6,1.29e-05,0.98,2.8,[89],"[90, 91, 92]",3.0,2.593252895192661,2.5965679932367958,2.595033223205387,2.588945495691926,2.592083424307236,2.593680639027624
19,20,26,33,1.36,0.6,1.16e-05,0.99,2.85,[81],"[90, 91, 92]",5.0,2.62961699327227,2.6349377600139974,2.669636906859512,2.6643257206750492,2.596512186348999,2.589992358668842
20,21,27,37,3.48,3.04,6.2e-06,0.98,3.16,[77],"[80, 78, 79]",4.0,2.6077770403601788,2.6055986619287124,2.6039605325692863,2.6095496369256233,2.6108233374337724,2.6089976647921445
21,22,29,37,5.2,3.04,2.1e-06,0.99,3.8,[75],"[80, 78, 79]",6.0,3.468963930907931,3.573397362148383,3.6661745017718728,3.534827157540743,3.372578237609602,3.2924956725963437
22,23,38,33,8.28,0.6,1.5e-06,0.99,3.99,[70],"[90, 91, 92]",16.0,4.785078187468646,4.989206209131559,5.109772052109092,4.637281193869162,4.589604376200959,4.741958972654584
