,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,17,19,6.39,5.93,1.76e-05,0.99,2.66,[107],[105],4.0,2.3955689685586856,2.390297811590951,2.3947702622258387,2.400258076019116,2.398303571959313,2.3943020866751428,macrocycle
1,2,18,21,6.58,3.77,2.5e-05,0.99,2.51,[106],[99],5.0,2.206877268122628,2.1962290498827475,2.2020989451397286,2.2124073663188195,2.2233712980318967,2.201024168509427,macrocycle
2,3,20,22,2.83,1.71,1.2e-06,0.95,4.14,[101],[95],4.0,3.114764240923658,3.1279766977615555,3.117594388060958,3.1170045710932963,3.0946245300131108,3.1173005482788936,macrocycle
3,4,21,22,3.77,1.71,1.45e-05,0.99,2.74,[99],[95],3.0,2.5125410242692716,2.5105540357613654,2.51105044331105,2.5121337609894843,2.5177107199103994,2.5113041636996503,macrocycle
4,5,21,24,3.77,1.54,1.68e-05,0.99,2.68,[99],[89],5.0,2.1386861906013936,2.1399862970341736,2.1414303902908634,2.1380482617391925,2.1362564327983087,2.137736450125494,macrocycle
5,6,23,24,3.02,1.54,5.1e-06,0.98,3.27,[93],[89],3.0,3.0375069494287965,3.0370747822180864,3.0379718575752857,3.0384073088268737,3.036529236597405,3.0375540644761596,macrocycle
6,7,23,25,3.02,4.94,2.8e-06,0.99,3.61,[93],[85],4.0,2.838393512571338,2.8170953593657213,2.829345789512008,2.850241327638505,2.8684236683462934,2.8288986720419014,macrocycle
7,8,26,27,1.36,3.48,7.3e-06,0.99,3.08,[81],[77],3.0,2.4881583027582597,2.4933248568461126,2.491468226794612,2.4882910654063126,2.481177419645238,2.4866549187895535,macrocycle
8,9,17,30,6.39,2.08,8.6e-06,0.99,2.99,[107],"[108, 109, 110]",4.0,2.706686280836101,2.703134949133621,2.707006409640524,2.7087301180029666,2.706143465701056,2.7084427141902117,mixed
9,10,18,31,6.58,0.88,1.3e-06,0.99,4.1,[106],"[104, 102, 103]",5.0,3.8104884749855965,3.809438342041676,3.803165506991175,3.8160995556487496,3.8126548090067276,3.811168218622421,mixed
10,11,20,31,2.83,0.88,2.15e-05,0.99,2.57,[101],"[104, 102, 103]",3.0,2.5981782233589357,2.597773814134745,2.59940846582614,2.599706309753712,2.5962714129523103,2.5977416757856506,mixed
11,12,20,32,2.83,1.02,1.19e-05,0.99,2.84,[101],"[96, 97, 98]",5.0,2.6314106164831768,2.630213534280859,2.6286138444221345,2.6333198937429696,2.633125322884106,2.6318017754451373,mixed
12,13,21,32,3.77,1.02,7e-07,0.99,4.5,[99],"[96, 97, 98]",4.0,3.993094204751479,3.993469479708049,3.992885027590603,3.9920523370671877,3.9940735944699073,3.992992548059919,mixed
13,14,21,33,3.77,0.6,7.1e-06,0.99,3.09,[99],"[90, 91, 92]",6.0,2.8875428681909594,2.86295717726445,2.877788709944742,2.893653346947061,2.9301428602107964,2.8763525367342195,mixed
14,15,22,32,1.71,1.02,1.69e-05,0.99,2.68,[95],"[96, 97, 98]",3.0,2.584536852753767,2.5845355906053773,2.584060955544658,2.5845097427129082,2.5843588034748737,2.58522015405102,mixed
15,16,22,33,1.71,0.6,1.53e-05,0.99,2.72,[95],"[90, 91, 92]",5.0,2.5410531109271925,2.541153426274789,2.5409095070933736,2.5426639479160906,2.5386640127027444,2.5418871096721416,mixed
16,17,23,32,3.02,1.02,9.3e-06,0.99,2.96,[93],"[96, 97, 98]",4.0,2.815824476881672,2.819642693273083,2.8174809276912267,2.8161935947991035,2.8071189339065676,2.8188139245546417,mixed
17,18,23,33,3.02,0.6,5.9e-06,0.99,3.19,[93],"[90, 91, 92]",4.0,3.022269904984967,3.0348495852709596,3.0264727388719144,3.0183771137357795,3.0053554411427785,3.0268746698964453,mixed
18,19,24,33,1.54,0.6,1.29e-05,0.98,2.8,[89],"[90, 91, 92]",3.0,2.6436489264806284,2.6432155705990295,2.6435082855252863,2.6446157720051344,2.6436894186184148,2.6432173458488832,mixed
19,20,26,33,1.36,0.6,1.16e-05,0.99,2.85,[81],"[90, 91, 92]",5.0,2.5818282215664596,2.5822081254867517,2.583769153417907,2.578480043284559,2.5812670416952486,2.583441234344061,mixed
20,21,27,37,3.48,3.04,6.2e-06,0.98,3.16,[77],"[80, 78, 79]",4.0,2.607072612941681,2.611126972951101,2.6113487714517536,2.605082684033404,2.6032242237835446,2.6046599524501755,mixed
21,22,29,37,5.2,3.04,2.1e-06,0.99,3.8,[75],"[80, 78, 79]",6.0,3.344495397543791,3.365806831871503,3.3576126993801743,3.343932093841806,3.3103369866045402,3.3466943733632784,mixed
22,23,38,33,8.28,0.6,1.5e-06,0.99,3.99,[70],"[90, 91, 92]",16.0,3.1993116936671577,3.1555129050286563,3.1909309582226197,3.1999855515057885,3.2844167331558136,3.1759691943338404,mixed
