,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[107],[105],4.0,2.4988627580944875,2.6678837594095244,2.4986488792215806,2.49072371083509,2.4610029542163576,2.421202061084831
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[106],[101],4.0,2.5952148071321752,2.817707806972338,2.852297845033343,2.556803786843118,2.484875505046404,2.4448152102075427
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[106],[99],5.0,2.7070351260445085,2.797368982915986,2.406435133187404,2.7674957667375413,2.8869194017936204,2.9502554356944466
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[106],[89],8.0,4.2544502553753025,4.5100870665458395,4.17264854036269,4.4413113459155955,3.944299611817476,4.3936737631848235
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[105],[101],3.0,2.7828630011593547,2.861867684836121,2.5333361057049277,2.8267766949304236,2.9759836379797755,2.877272171208399
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[105],[99],4.0,2.9199409264024982,2.7902785623139676,3.3811026968890925,2.8911097800344585,3.0599609459423576,2.742866976989138
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[101],[99],3.0,2.5885718915136313,2.6285906471434646,2.6188794534272306,2.608419389197247,2.445867538945584,2.689515114591932
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[101],[95],4.0,2.9795528837585596,3.018437824854429,3.0220353255143495,2.889116326937131,2.896510894417249,3.1133498875881136
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[99],[95],3.0,2.476622270598239,2.46022533616601,2.4762640867861934,2.4821522955791164,2.5090064236255194,2.457834131410743
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[99],[93],4.0,3.5884512420296213,3.535615233981926,3.724788861461477,3.441635357002543,3.6083610337974257,3.683236445951295
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[99],[89],5.0,2.3237012569201894,2.3290136514857913,2.3652065153662645,2.3464251171114565,2.29269478510394,2.2915588913285343
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[99],[85],6.0,4.270880186011633,4.3705832547336305,4.174981907437712,4.29985183204194,4.247610763966469,4.278219393575181
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[95],[93],3.0,2.482725233788133,2.5083671780585504,2.4512062078717864,2.492628051626638,2.4768744970543404,2.48711388958953
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[95],[89],4.0,3.178261116353368,3.144133673956272,3.310143913896138,3.2290306854860376,3.0939358338753893,3.1449935699536313
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[93],[89],3.0,2.841226404922929,2.813192246310698,2.817838060218771,2.8004370625507917,2.9689904178675093,2.8276391925344324
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[93],[85],4.0,2.8329105237224543,2.8873375038827778,2.691146115552734,2.8718381513702025,2.893264670200066,2.8599461245716884
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[89],[85],3.0,2.536405494156237,2.5495812638734923,2.51499384126385,2.5375971442452814,2.5288531895308823,2.5523100415905517
