,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[92],[88],4.0,2.5043493378544515,2.495484141549609,2.4964295609885925,2.4989655067768726,2.499592723649362,2.532631636427039
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[90],[86],4.0,3.5916614704174625,3.640443843520976,3.6068094031962996,3.6122146679477685,3.6120901410790647,3.4989931905663143
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[90],[80],5.0,2.3752675031443906,2.360081835426917,2.36198752599008,2.3648707174360823,2.36495391862737,2.4294480743665026
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[90],[66],8.0,4.1696376013633465,4.1441115697104545,4.150306215722418,4.153776205524852,4.154363076485923,4.252370127116238
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[88],[86],3.0,2.327990797018315,2.325023405048422,2.326804303023819,2.327557868046444,2.3283905186373746,2.33222058374457
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[88],[80],4.0,3.604502501851152,3.620168601359426,3.6200171310606577,3.6049054837592873,3.6029227637665513,3.575785818382477
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[86],[80],3.0,3.002158345441279,3.0333339880985832,3.0348499118321537,3.036072572826225,3.021674262390532,2.9017882347523516
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[86],[76],4.0,3.159474000594381,3.2081957419990097,3.212856283400314,3.194145773597346,3.190251766035867,3.0230319812624535
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[80],[76],3.0,2.4595565421494,2.4625675925329507,2.4632340044796597,2.4629425386384094,2.462548039661488,2.4467868089398985
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[80],[70],4.0,3.7606871728059197,3.7606518034539,3.761398954234869,3.7606883294152924,3.76075698760519,3.7599407850494915
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[80],[66],5.0,2.256073032403528,2.2534565143317615,2.255917356263926,2.253374521835274,2.2568527304653947,2.260821795037712
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[80],[60],6.0,4.629983091593603,4.634367379025045,4.638596039791672,4.628484476450611,4.637969045475964,4.6108969323661
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[76],[70],3.0,2.402322741727723,2.399873706826094,2.4017882589797828,2.4032392654891983,2.4009164189951857,2.4058271685312373
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[76],[66],4.0,3.2755843919491094,3.27729545220026,3.282032830483219,3.2757530951044083,3.2783872040855955,3.2646382818185837
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[70],[66],3.0,3.0277147735474714,3.0287634492764015,3.026624260999859,3.026569897023339,3.0282783421016775,3.028342904009336
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[70],[60],4.0,2.768892499340145,2.7615362176514084,2.755802704152585,2.7665049356218043,2.760576253526322,2.801748470538512
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[66],[60],3.0,2.604225682067182,2.6123061330246826,2.6149419756274375,2.6046668722324364,2.6108200803307344,2.5795320483820197
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[66],[51],4.0,2.7988921314064834,2.784455512613558,2.781310689505594,2.797399896039951,2.789417535947931,2.845220165029994
