,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[107],[105],4.0,2.4560273580114838,2.4656747924209204,2.4538456486608426,2.4529269787716785,2.4407572523454157,2.4676106226020993
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[106],[101],4.0,2.6225584997287887,2.763312974753687,2.509709491071455,2.545319792585987,2.6287575983688316,2.730612057627631
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[106],[99],5.0,2.546807150461581,2.4206983612733914,2.734355295275748,2.664050162382586,2.561861964537733,2.449837461669397
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[106],[89],8.0,4.301043574527748,4.37493521170076,4.64398475426055,4.222893374309688,4.090073272885935,4.302836631498258
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[105],[101],3.0,2.6491468273618786,2.5239533508631427,2.7656374554714476,2.8202186501193935,2.663645138133356,2.557314298650838
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[105],[99],4.0,3.135502722889308,2.949789299249211,2.9446772129789545,3.3652417440430007,3.313720359206707,3.3058109448772233
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[101],[99],3.0,2.6090835619878243,2.8356177509866765,2.6299375119241764,2.451626381471858,2.5338600459479887,2.7106717041408164
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[101],[95],4.0,2.870083572391668,3.1093785388199455,2.7589562868830475,2.821854756993603,2.9296393973741637,2.815095617815346
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[99],[95],3.0,2.4897109990983632,2.478592506454048,2.4685203214032745,2.4844747166990593,2.5218223667098547,2.4974910928494207
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[99],[93],4.0,3.6124155629039163,3.6682764887768564,3.6584548069317653,3.648012048238262,3.481767739769228,3.6302273997175605
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[99],[89],5.0,2.3108720245592838,2.4010764816007293,2.269797455508089,2.266647699620013,2.3017605166711923,2.332866622830752
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[99],[85],6.0,4.431820264759791,4.673766994624677,4.561635313512749,4.2739937973571305,4.415255642683261,4.319604530215651
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[95],[93],3.0,2.46334397289616,2.486320837139114,2.442649247351152,2.456882495750453,2.4598892917802178,2.4725276353260957
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[95],[89],4.0,3.2398698666266013,3.27881353813771,3.2563972872241105,3.2016907139557076,3.230343294511902,3.2357258091016567
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[93],[89],3.0,2.8785751527716013,2.7818068083995517,2.959871268843184,2.939327987281728,2.891406183022249,2.846179351375922
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[93],[85],4.0,2.715247318167596,2.5126370667814775,2.8013214764309424,2.884206934928271,2.781388617961698,2.7078120346740575
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[89],[85],3.0,2.50219752721603,2.5476411556892513,2.507614359716576,2.4897147580355496,2.4824975289511455,2.487401352916286
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[89],[81],4.0,2.978670731972495,3.071248167970078,3.057485709240138,3.0442284920213867,2.7934945309473305,2.996158816795158
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[85],[81],3.0,2.7862361694235065,2.7505684317859593,2.704103210548171,2.7868502640052224,2.86771390257925,2.84456170964646
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[85],[77],4.0,3.0095973180457802,2.995606418077512,3.083110735740455,2.9874387151479613,2.9751142571232925,3.014884826847455
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[81],[77],3.0,2.5667306942974957,2.55112475135589,2.6085105112961964,2.5796978648134465,2.56032639431661,2.5380505423647106
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[81],[76],4.0,2.9961235747569526,3.0657963928479277,2.878745128300419,2.9866228183357517,3.035457695819807,3.0414255986545187
