,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,17,19,6.49,6.21,9.05e-05,0.99,2.2,[107],[105],4.0,2.418060350537262,2.422200580554213,2.4155498279406205,2.416191828179901,2.4183372138269337,2.418061323701993
1,2,18,20,6.95,2.39,3.8e-06,0.98,3.74,[106],[101],4.0,3.602863647376126,3.61515718872562,3.6052485028820596,3.5697588826583204,3.6131888319674745,3.612397568960011
2,3,18,21,6.95,3.82,0.0001724,0.99,1.98,[106],[99],5.0,2.1626992008040133,2.160640834463609,2.1645061375202026,2.161476508129038,2.1591545858369394,2.167794686215693
3,4,18,24,6.95,1.39,8.2e-06,0.99,3.29,[106],[89],8.0,3.6902088649869684,3.6829795958280336,3.6964148699962145,3.686908002752234,3.6834882413386305,3.701513439135728
4,5,19,20,6.21,2.39,8.26e-05,0.99,2.24,[105],[101],3.0,2.4356917495346466,2.4367269728849394,2.4349030276300816,2.438251012882662,2.4368156924188957,2.431797557738527
5,6,19,21,6.21,3.82,3.9e-06,0.99,3.72,[105],[99],4.0,3.7757095064989765,3.768389956790781,3.775933067171648,3.7783684087784937,3.779069504569444,3.7768547594581765
6,7,20,21,2.39,3.82,2.21e-05,0.99,2.79,[101],[99],3.0,3.0221112041929477,3.026705324836658,3.0226960792929103,3.0022355610330727,3.0273949820090005,3.0321626280151683
7,8,20,22,2.39,1.87,7.5e-06,0.99,3.33,[101],[95],4.0,3.176278105588581,3.17508074681016,3.17511876982826,3.181349445527737,3.1777798856397506,3.17211461388042
8,9,21,22,3.82,1.87,8.24e-05,0.99,2.24,[99],[95],3.0,2.4951932819349034,2.4937959474922335,2.4942626570317117,2.4964503959681488,2.4930455354338013,2.498439259940852
9,10,21,23,3.82,3.11,8.5e-06,0.99,3.26,[99],[93],4.0,3.7711429301229304,3.7697167441689627,3.7722699923023333,3.7716866374030684,3.769898679497972,3.7721483147351793
10,11,21,24,3.82,1.39,0.0002086,0.99,1.92,[99],[89],5.0,2.1489375412587934,2.146111624976256,2.1534912908807975,2.147652819593244,2.149127466784307,2.1483544458310955
11,13,21,25,3.82,5.08,2.9e-06,0.99,3.9,[99],[85],6.0,4.495218496003907,4.490435500715543,4.5028184059384895,4.492447539240747,4.497029047009431,4.493435634362798
12,13,22,23,1.87,3.11,0.0001138,0.99,2.12,[95],[93],3.0,2.4260988721088053,2.425956165330093,2.4260510542254705,2.4253215992383694,2.425085926282158,2.428087696182561
13,14,22,24,1.87,1.39,8.7e-06,0.99,3.25,[95],[89],4.0,3.237956192438779,3.2356783596250023,3.242700362200177,3.2365199169531182,3.23634178332989,3.238575861246865
14,15,23,24,3.11,1.39,1.6e-05,0.98,2.94,[93],[89],3.0,3.0394238907667153,3.0399655292984202,3.0399628831813996,3.0401506455297334,3.0398063709811893,3.0372409708576544
15,16,23,25,3.11,5.08,3.88e-05,0.99,2.54,[93],[85],4.0,2.800593261561222,2.8042793847924634,2.7964670877204583,2.8050862230193556,2.803094841095281,2.7941619850380253
16,17,24,25,1.39,5.08,8.37e-05,0.99,2.23,[89],[85],3.0,2.546692181113061,2.5447578768397365,2.5486041641164214,2.5449205352772446,2.5485103253907084,2.5466870266850594
17,18,24,26,1.39,1.21,2.03e-05,0.99,2.82,[89],[81],4.0,2.7941170701394076,2.7994414195172768,2.7925051909755565,2.79724838122904,2.7969883483157236,2.7845781687756412
18,19,25,26,5.08,1.21,1.71e-05,0.99,2.91,[85],[81],3.0,3.030152144279443,3.0259832394116097,3.0311946924265643,3.0314389324758033,3.0320762701522885,3.03009517297987
19,20,25,27,5.08,3.46,2.21e-05,0.98,2.79,[85],[77],4.0,3.1147585658084633,3.10908618944034,3.11941289863926,3.109446833386925,3.1120840374050003,3.12395769912684
20,21,26,27,1.21,3.46,9.33e-05,0.99,2.19,[81],[77],3.0,2.495315628818256,2.498991359360403,2.4955005678527615,2.4941534536727925,2.4944446283530364,2.493514580006935
21,22,26,28,1.21,5.13,2.27e-05,0.98,2.77,[81],[76],4.0,2.951108660183353,2.9444410716474856,2.960337256880994,2.9471925384166653,2.9481241895332126,2.955654715844834
22,23,17,30,6.49,2.05,5.11e-05,0.99,2.42,[107],"[108, 109, 110]",4.0,2.71149849621837,2.7126631971360293,2.707848153823853,2.714156529674543,2.711464668160317,2.711388056247025
23,24,19,30,6.21,2.05,1.8e-06,0.98,4.22,[105],"[108, 109, 110]",6.0,5.146877483655966,5.153935262547185,5.144889305906791,5.146258251402731,5.146358506103253,5.142993257549397
24,25,18,31,6.95,0.95,7.5e-06,0.99,3.34,[106],"[104, 102, 103]",5.0,3.757875215052585,3.76867722345023,3.765302192066473,3.764999606103931,3.7588061254793987,3.7324126549465264
25,26,19,31,6.21,0.95,1.17e-05,0.99,3.1,[105],"[104, 102, 103]",4.0,2.9200848857563133,2.922763170272828,2.9157658943442595,2.9187929898255693,2.9198156570988627,2.9233324341139033
26,27,21,31,3.82,0.95,2.23e-05,0.99,2.78,[99],"[104, 102, 103]",4.0,2.947634615247616,2.947480527946987,2.9460087111157818,2.9541447958744707,2.945539943824462,2.945065374912837
27,28,24,31,1.39,0.95,2.7e-06,0.99,3.94,[89],"[104, 102, 103]",7.0,4.766442600959538,4.764653983787455,4.772878619566833,4.776304538472224,4.7607818494885406,4.75777671379574
28,29,18,32,6.95,0.97,1.3e-06,0.95,4.47,[106],"[96, 97, 98]",7.0,5.504549761911272,5.508325641787371,5.496994559483662,5.4984933096419075,5.507428444877344,5.511612592965104
29,30,19,32,6.21,0.97,3.1e-06,0.96,3.86,[105],"[96, 97, 98]",6.0,5.072005565011899,5.101451942852634,5.059675336558099,5.005009869056537,5.0935607381986525,5.105303382877027
30,31,20,32,2.39,0.97,3.54e-05,0.99,2.57,[101],"[96, 97, 98]",5.0,2.6471669647809044,2.64589676833146,2.6450644309007876,2.651949810881662,2.6471747671385755,2.645789651796825
31,32,21,32,3.82,0.97,8.3e-06,0.99,3.28,[99],"[96, 97, 98]",4.0,3.9957609489503767,3.9961533044509245,3.996050846581461,3.995908368088557,3.994492242515349,3.996201791839447
32,33,23,32,3.11,0.97,3.3e-05,0.99,2.61,[93],"[96, 97, 98]",4.0,2.8396350841687017,2.8414975328112337,2.8399780637659546,2.838586554892158,2.838330091161791,2.839791079094962
33,34,24,32,1.39,0.97,2e-06,0.99,4.14,[89],"[96, 97, 98]",5.0,4.754065373107761,4.754317431989048,4.755534154967583,4.749980767980748,4.7541327020076976,4.756379694894028
34,35,25,32,5.08,0.97,1.8e-06,0.99,4.25,[85],"[96, 97, 98]",6.0,5.321079157621122,5.323333305821484,5.320670738289332,5.323681817387831,5.323682217721925,5.3140724636588486
35,36,18,33,6.95,0.61,5.8e-06,0.99,3.48,[106],"[90, 91, 92]",9.0,4.586369105218325,4.614793653781913,4.568406354763365,4.507392866616012,4.588480701062665,4.6628953428415105
36,37,20,33,2.39,0.61,7e-07,0.99,4.96,[101],"[90, 91, 92]",7.0,5.26602669486053,5.2717912283126465,5.257373116682112,5.2620345484706235,5.27062053981682,5.268414444684398
37,38,22,33,1.87,0.61,6.67e-05,0.99,2.32,[95],"[90, 91, 92]",5.0,2.554756530171842,2.554752393637219,2.555658677521931,2.554291522773531,2.5540491307449,2.555033127385437
