,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[96],[80],4.0,2.8538780815677494,2.846331111897543,2.8419811875700054,2.8505330089287666,2.8693294068496082,2.861841144179951,macrocycle
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[80],[35],9.0,2.522316414785325,2.4807565081662775,2.5125703349835895,2.592467369623263,2.5303568704721613,2.5049382859127185,macrocycle
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[105],[35],4.0,2.634280726671343,2.683601760908929,2.6445723286376275,2.5891809413709628,2.6094978791681385,2.651837208694441,macrocycle
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[76],[35],8.0,3.8939147079838876,3.830102037165672,3.87938508934233,3.9850005569151694,3.9222545679443406,3.8653222278180746,macrocycle
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[107],[36],4.0,2.51552661143152,2.525288474834746,2.521359416947817,2.510047980769583,2.506569240800218,2.5147018735281095,macrocycle
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[36],[35],3.0,2.9678615463895364,2.9783101622407577,2.9735050581378557,2.959272192110485,2.958088539316332,2.97050624299299,macrocycle
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[107],[105],3.0,2.9578343827903404,2.9968937691179995,2.962769246867393,2.911571931440271,2.9476795018138775,2.975143907530356,macrocycle
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[107],[35],3.0,2.5240706446831442,2.54005955234417,2.527781387181261,2.5046763202100624,2.511705063557446,2.537492067515342,macrocycle
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[80],[76],3.0,2.5174814229789906,2.494946155285663,2.4966488642005618,2.530161437250636,2.540776298114697,2.527304058472202,macrocycle
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[96],"[85, 86, 87]",4.0,3.945544705636259,3.9452384986757805,3.9464185983290405,3.944887766638354,3.945975661123003,3.945204414109604,mixed
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[107],"[104, 102, 103]",4.0,3.2717320560591316,3.235666173331339,3.2686616365483068,3.3201127772706087,3.290067069605876,3.248925868472488,mixed
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[76],"[49, 50, 51]",5.0,2.6554542847236458,2.6200668362794794,2.6232598195436125,2.6700359591695784,2.697932462793876,2.672010812325513,mixed
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[76],"[85, 86, 87]",5.0,2.5347039047963364,2.5149515098189283,2.5144557097739115,2.541907136015017,2.5597674922011175,2.544616649650106,mixed
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[105],"[32, 33, 34]",5.0,2.5982844156754443,2.5805086704920175,2.5977778511510463,2.6245531635136254,2.5978346820016176,2.5921380827099054,mixed
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[36],"[42, 43, 41]",4.0,2.747078272483072,2.7007588775734876,2.7428584424423224,2.8226247875308945,2.7638845107748073,2.7164999707812925,mixed
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[107],"[32, 33, 34]",4.0,3.9643931920357423,3.9661480860355596,3.9626671129126834,3.9624605440489615,3.9650312032747586,3.9656694609275087,mixed
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[76],"[49, 50, 51]",5.0,2.6554542847236458,2.6200668362794794,2.6232598195436125,2.6700359591695784,2.697932462793876,2.672010812325513,mixed
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[35],"[42, 43, 41]",5.0,3.427226808461051,3.782138154422819,3.466785736184597,3.181942820747661,3.3284543438367913,3.5878307929844677,mixed
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[113],[105],5.0,3.8292452378617843,3.8439658890604678,3.80770077377415,3.820618513071341,3.833725782649437,3.8410551492919858,mixed
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[27],"[32, 33, 34]",6.0,2.8460458449700288,2.8286333348320953,2.8312526559411975,2.8804117818445336,2.871012099422512,2.8224285051382965,mixed
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[27],[120],10.0,2.25199734543752,2.2492587410911016,2.2645297664186668,2.2604763410158313,2.2387195041428236,2.24767279889032,mixed
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[27],"[127, 128, 129]",11.0,5.861857781618307,5.939837867581279,5.874540824411767,5.783981211494249,5.803743417151507,5.918477062282747,mixed
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[27],"[42, 43, 41]",6.0,4.238086393352663,4.174149849912674,4.234406615386688,4.248732648180656,4.301323891667058,4.238615314449135,mixed
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[70, 69]",[36],9.0,6.661738313029333,6.659781196329224,6.5777331534077295,6.626950409253972,6.727059134232853,6.725946265343776,mixed
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[113],"[68, 67]",15.0,6.922564955520841,7.082663823906308,6.527067252005104,6.929598864227846,7.065227433865386,7.146421331449701,mixed
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[68, 67]",[35],12.0,6.873120783712695,6.86920529871026,6.948447394015583,6.852308671091281,6.879663943981925,6.8204780869136385,mixed
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[68, 67]",[36],11.0,6.070037028124351,6.045692695700153,6.039394136653275,6.098967012757165,6.110960760687741,6.057579790866882,mixed
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[68, 67]",[105],14.0,8.593963722723378,8.690559312885796,8.647002389310023,8.463187007421183,8.605393463548033,8.575936447776568,mixed
