,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.7402896924982043,2.739751717814727,2.7346249796235638,2.739915257743929,2.741057754236829,2.7461854097932163,macrocycle
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[108],9.0,2.4057214598230123,2.3966964345780934,2.3990889823784682,2.4101667887138536,2.3993183492184977,2.424090682287558,macrocycle
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[125],[108],4.0,2.7865258185264405,2.802393110310373,2.7994518236541444,2.785411448057063,2.7935499099064924,2.7537937140058673,macrocycle
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[108],8.0,3.7442455916796265,3.734004921341932,3.733974363301584,3.742761739591005,3.7458656247390003,3.765229436134855,macrocycle
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[109],[90],4.0,2.445294705045321,2.4397033453554284,2.440309443964547,2.4533519161919752,2.4416023583761275,2.4517583309784547,macrocycle
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[108],3.0,2.932029227423091,2.9299994026601834,2.9297291114714645,2.937632939229009,2.931050885682134,2.931783563981055,macrocycle
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[109],[125],3.0,3.0353937442709293,3.0422089254962534,3.0383785245844064,3.0375771660754025,3.0389015351427098,3.020253550364208,macrocycle
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[109],[108],3.0,2.527006576887981,2.529809500857154,2.5267603606844364,2.530552150857972,2.5286831688189295,2.5193418992587917,macrocycle
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.5223296344636443,2.518036531404393,2.519659403390577,2.5165786886501085,2.522528619049034,2.5351518485826574,macrocycle
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.9058482358651583,3.905500961040476,3.905068807323253,3.9066018600593866,3.9062674317764223,3.90580343978661,mixed
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[109],"[128, 126, 127]",4.0,3.109656000134629,3.102637528784461,3.1016867276441786,3.1127585130880444,3.1021316287647482,3.1297134168875083,mixed
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.6252779382476006,2.621999211592077,2.618276899503289,2.6213846060277195,2.6235874908899177,2.641594934394291,mixed
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.4929077004482134,2.4920205603394026,2.4922562210431436,2.4896000246915118,2.4923822289719793,2.4983381360935355,mixed
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[125],"[129, 130, 131]",5.0,2.5070400768043206,2.5039281831984326,2.5107407641173234,2.502902658703456,2.509539057790188,2.5081567665285123,mixed
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[90],"[89, 87, 88]",4.0,2.644702552475697,2.6384834677900857,2.6456649591825614,2.6407910000356094,2.639010622895492,2.659983208202598,mixed
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[109],"[129, 130, 131]",4.0,3.9391960342799592,3.9394501818935095,3.939389864183238,3.9386882601536817,3.939475127999794,3.938977168855611,mixed
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[70],"[81, 82, 83]",5.0,2.6252779382476006,2.621999211592077,2.618276899503289,2.6213846060277195,2.6235874908899177,2.641594934394291,mixed
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[108],"[89, 87, 88]",5.0,4.228084060636008,4.519069258834543,4.30725055361929,4.312261803952969,4.315899599562519,3.884763444026432,mixed
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[110],[125],5.0,3.715965326785806,3.7209986893903335,3.7197795329755516,3.7125875572982485,3.716072762544255,3.7104649255012174,mixed
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[91],"[129, 130, 131]",6.0,2.7836068426871985,2.7843830218350876,2.793499078295123,2.772229803963076,2.7839975464969524,2.784212596142415,mixed
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[91],[111],10.0,2.3224052091064005,2.3320689489479713,2.337099614926432,2.309570211058111,2.3296036700715765,2.304941232026857,mixed
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[91],"[119, 120, 121]",11.0,5.658802808259481,5.687613631809706,5.680746207850199,5.644062800532842,5.6649573804503355,5.618612261859041,mixed
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[91],"[89, 87, 88]",6.0,4.281846339996719,4.276178922429733,4.245116586346895,4.27954069671215,4.284448550427221,4.326712099076103,mixed
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[71, 72]",[90],9.0,6.468048214651757,6.448279282841388,6.479178419907418,6.473045625240456,6.45904239310224,6.481124864034492,mixed
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[110],"[74, 73]",15.0,7.242935127846762,7.334059701107142,7.153619129568546,7.199272534298125,7.1947824556949165,7.3480221534889045,mixed
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[74, 73]",[108],12.0,6.613706109729217,6.667659515602554,6.5395420348490845,6.649358626988162,6.527713582424125,6.697035253212736,mixed
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[74, 73]",[90],11.0,6.057657850685983,6.110402543269266,5.983075617488842,6.007192224661554,6.085590927045064,6.110444539202692,mixed
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[74, 73]",[125],14.0,8.168621732661197,8.428783908314584,7.373172134852981,8.575752818271978,8.41137622234938,8.595617070278326,mixed
