,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.762199963837635,2.763342812508493,2.759556476755562,2.762926659300961,2.7608054503368553,2.7643881409999995
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[108],9.0,2.418172814005761,2.4176898185488134,2.4129595905204373,2.4076225044227124,2.4243412173878145,2.4286660802426825
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[125],[108],4.0,2.7969778939215324,2.809851135387764,2.8126102312032653,2.813769451550589,2.796625614603605,2.7551646306197193
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[108],8.0,3.7853159231935902,3.7864749117189183,3.774790174259816,3.772253508507062,3.786561312287609,3.80720092970436
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[109],[90],4.0,2.4801794332093547,2.4846358123268715,2.4796635859265974,2.484094591588372,2.4814688217441927,2.471201362124008
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[108],3.0,2.9474073057654455,2.9494276347118693,2.9472095978791257,2.948377761534479,2.948076004313376,2.94396616840367
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[109],[125],3.0,3.038216094972242,3.0417901858723817,3.0438204529874815,3.0418368468616896,3.038337930467077,3.0255477599650615
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[109],[108],3.0,2.5344950797331824,2.537404299637674,2.532520416355375,2.5349522661207544,2.535782822072263,2.5318449436317527
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.5248580270842664,2.5273377924311777,2.522645826767022,2.5247601571051397,2.522789620626973,2.5267831239834426
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.907443034113453,3.907220248467473,3.907223271686488,3.908580952034679,3.907189956983885,3.9070022195503524
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[109],"[128, 126, 127]",4.0,3.1066110161979226,3.1031108144549604,3.10476136248131,3.0956510410856204,3.1077219538999175,3.122237062857096
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.608972612134732,2.6095533668106263,2.603126511143994,2.61037040377492,2.609701391467975,2.6121750063623432
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.485977400020696,2.4845057922560674,2.4852895657884577,2.4850537693056594,2.4868057848467067,2.4882451989417187
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[125],"[129, 130, 131]",5.0,2.5048106426491366,2.50338396478615,2.50081223449261,2.5038208956483166,2.505322531758659,2.5107902513085563
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[90],"[89, 87, 88]",4.0,2.6363183734966267,2.631373798144725,2.6321085857199615,2.631440929716675,2.6325228561505147,2.6546929172597244
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[109],"[129, 130, 131]",4.0,3.9380059628508586,3.9376257041630907,3.9393311996814178,3.9398564357096792,3.937507094494195,3.935718984845338
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[70],"[81, 82, 83]",5.0,2.608972612134732,2.6095533668106263,2.603126511143994,2.61037040377492,2.609701391467975,2.6121750063623432
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[108],"[89, 87, 88]",5.0,4.325523067708321,4.510447757003756,4.499711726640554,4.486231925873873,4.33447610415513,3.9824061343381207
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[110],[125],5.0,3.7343919453292167,3.731806376352379,3.72373661874533,3.73132468130601,3.739490268786121,3.7458708835722825
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[91],"[129, 130, 131]",6.0,2.758945001600497,2.7539350062195327,2.7607027942537816,2.7528067265495046,2.7640488421681564,2.763373287077277
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[91],[111],10.0,2.3366002054170223,2.3281235554839395,2.328000949620173,2.3452443729128354,2.329752884492152,2.3526608195137824
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[91],"[119, 120, 121]",11.0,5.758710640339881,5.765379096290214,5.723406569724343,5.774188918155556,5.773762709374387,5.757894648151342
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[91],"[89, 87, 88]",6.0,4.256563711385983,4.276214383277926,4.253168027153928,4.242897263162435,4.213484287913072,4.300656206952074
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[72, 71]",[90],9.0,6.502211061112606,6.474740816984987,6.576735546233065,6.5100488378495625,6.546890434356431,6.411625432711851
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[110],"[74, 73]",15.0,6.8891205381703955,7.019938838435006,7.101726612043379,6.80796093881877,6.806430608935244,6.755604624439181
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[74, 73]",[108],12.0,6.595085357962929,6.696552233700958,6.689393987082205,6.5292241670658395,6.585894839660725,6.492400675417903
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[74, 73]",[90],11.0,5.965819532610847,5.998302923796841,6.064538918460213,5.957980142591471,5.965070885272166,5.856670638107447
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[74, 73]",[125],14.0,8.42126140856179,8.53634662246802,8.589961308980538,8.32248739912614,8.401538487429205,8.284926071724406
