,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.883783671997155,2.8845417431162512,2.8864891788461975,2.8831095303086416,2.8834377219865615,2.881357601210955,macrocycle
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[108],9.0,2.4443924832666566,2.449233736681277,2.4419449946060197,2.446746963195824,2.4459738570343084,2.4381721199237996,macrocycle
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[125],[108],4.0,2.7756030474938855,2.7762755874317064,2.7709756509825363,2.7718879879797873,2.7783537499326827,2.7806083754460227,macrocycle
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[108],8.0,3.882810847590761,3.904530361361232,3.8802890078410055,3.878134720187216,3.88476597013415,3.867009627391125,macrocycle
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[109],[90],4.0,2.532465746689497,2.53154553115805,2.5320489446042247,2.5339746685234648,2.534275629611523,2.5304983917847763,macrocycle
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[108],3.0,2.9381959717123642,2.9372101077559525,2.9385581159754075,2.939959363971999,2.9388805923730428,2.936381179319702,macrocycle
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[109],[125],3.0,3.025526877383312,3.026453880199112,3.0254734648083037,3.0288384129421746,3.030899307307058,3.016119432999545,macrocycle
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[109],[108],3.0,2.5170531899024278,2.516827747899033,2.5154366239202304,2.5175391739692183,2.5173266110703136,2.518141580853335,macrocycle
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.56028103654221,2.5640518922398536,2.5588928461414344,2.560467221168622,2.5606165958527183,2.5574101300913368,macrocycle
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.921798385104754,3.9206172833972714,3.9217296987587265,3.9219232717280232,3.9219252390565233,3.922798603268278,mixed
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[109],"[128, 126, 127]",4.0,3.1505502811146298,3.148426209853975,3.1544918761488105,3.1531993619592624,3.1489205594796257,3.147755054947352,mixed
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.6300342315132452,2.6279331880619594,2.628094817649065,2.631549167811818,2.6289597964511042,2.633667177055063,mixed
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.5124120787498145,2.5088206299522646,2.5124559994779485,2.513653974532488,2.5127459178039624,2.514409760672036,mixed
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[125],"[129, 130, 131]",5.0,2.5357252264526444,2.5367942344571675,2.535369425670889,2.535014154909933,2.5347935053121615,2.536659664147234,mixed
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[90],"[89, 87, 88]",4.0,2.6750690391568943,2.6752281462324454,2.677430392209173,2.6748764165164896,2.6730498859562104,2.674773174446505,mixed
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[109],"[129, 130, 131]",4.0,3.9261282152642747,3.9285172218880335,3.9270034402570992,3.9293134687699247,3.9334613685268187,3.9125733765232984,mixed
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[70],"[81, 82, 83]",5.0,2.6300342315132452,2.6279331880619594,2.628094817649065,2.631549167811818,2.6289597964511042,2.633667177055063,mixed
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[108],"[89, 87, 88]",5.0,4.596627754687122,4.594474732436467,4.598297505039051,4.597991349300871,4.595562194605106,4.596820955089797,mixed
