,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.7881406295840443,2.8116506395664005,2.7713740941620184,2.772137375607508,2.7815999148710384,2.8057412165955666,macrocycle
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[108],9.0,2.289574513811581,2.318256634228959,2.2886311612026726,2.283658582164721,2.264261315855179,2.2953974349703508,macrocycle
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[125],[108],4.0,2.6981785175022734,2.6333781649772723,2.7059401635217046,2.7044338247278383,2.7682287294746977,2.690874033397743,macrocycle
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[108],8.0,3.762066247079548,3.8058728198936427,3.758924654496678,3.7644257535820524,3.715000294539048,3.7700439140237627,macrocycle
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[109],[90],4.0,2.4178671967571566,2.401270757608415,2.4055964954479068,2.399559751904704,2.434000116249883,2.4520288667175203,macrocycle
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[108],3.0,2.9126375302213603,2.9053418344162267,2.905258405402593,2.902477361186895,2.9189371323973456,2.9319145859064095,macrocycle
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[109],[125],3.0,2.9941168932362845,2.953772930436283,2.9855128014675847,2.990644371228224,3.028298975251219,3.0163202340592923,macrocycle
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[109],[108],3.0,2.4903724698004144,2.489130213152898,2.4901996392766717,2.4920337743148653,2.4887716843433316,2.491739353140851,macrocycle
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.5405709373515077,2.5312110794549665,2.5406703038994536,2.5382117016767713,2.541512107027048,2.551544297194401,macrocycle
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.8697183626472613,3.6918439702514334,3.924876361974237,3.925370414770354,3.9252299836527698,3.9244346989710897,mixed
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[109],"[128, 126, 127]",4.0,3.1572321741858262,3.184510132123204,3.143917255575431,3.1445346505531395,3.1405690855975728,3.174451568478254,mixed
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.64810684883138,2.6332506939028617,2.628265800251319,2.633099644511275,2.65609197429096,2.6936605692440367,mixed
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.514165181125069,2.541504959915091,2.5047997816138308,2.5028590790939163,2.509845199559986,2.513158930345198,mixed
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[125],"[129, 130, 131]",5.0,2.5651359505771016,2.5962853968275024,2.5736066495968215,2.574794389096886,2.5390745160897934,2.5449446307701864,mixed
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[90],"[89, 87, 88]",4.0,2.6789526211125696,2.7353733088431413,2.695650133275316,2.6957560209374676,2.6418441140420406,2.635269770834583,mixed
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[109],"[129, 130, 131]",4.0,3.9836049357888763,3.9821508109878856,3.9838377987936058,3.9839461206192657,3.986837583015669,3.981268340956048,mixed
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[70],"[81, 82, 83]",5.0,2.64810684883138,2.6332506939028617,2.628265800251319,2.633099644511275,2.65609197429096,2.6936605692440367,mixed
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[108],"[89, 87, 88]",5.0,3.7709094894105792,3.4264706033968224,3.639565912775622,3.678823407087415,4.233531799255392,4.543048529177016,mixed
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[110],[125],5.0,3.785199223276747,3.7857635827120637,3.789526936046051,3.792613626302191,3.7735016189487682,3.7847862108559696,mixed
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[91],"[129, 130, 131]",6.0,2.8424116470089067,2.8581406451905123,2.8665379517529708,2.8683388625468464,2.826493113619702,2.797290406590184,mixed
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[91],[111],10.0,2.646531743994956,2.7298860087761234,2.7175725538144038,2.7381709156599454,2.5781433545313663,2.5232539313884716,mixed
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[91],"[119, 120, 121]",11.0,5.848516225933199,5.842635599031753,5.862763475990721,5.875181162484378,5.827163133176766,5.835772873861272,mixed
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[91],"[89, 87, 88]",6.0,4.2910467556057625,4.393461434826959,4.356766734712516,4.3042996165440615,4.247043370237503,4.17804351167692,mixed
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[72, 71]",[90],9.0,6.633578197221919,6.532128397175309,6.518921884985441,6.59208746895403,6.7232674838288204,6.840213963382648,mixed
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[110],"[74, 73]",15.0,6.804145187563365,7.036450222269491,6.92310610797967,6.621909013296541,6.697716714741962,6.798386968915033,mixed
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[74, 73]",[108],12.0,5.7979869601989105,6.335131994500607,6.266860409008791,6.137068636744406,6.012821372886447,5.057443857453895,mixed
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[74, 73]",[90],11.0,5.715895463767425,5.663633283720562,5.756110372291515,5.6999303463254405,5.670252428774523,5.797637850256599,mixed
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[74, 73]",[125],14.0,6.346499302244245,8.397227417100531,8.356018491277178,8.089676665199889,7.92101615555254,5.011661346534085,mixed
