,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.1,3.83,9.1e-06,0.99,2.8875,[58],[68],4.0,2.7322413932745033,2.7373217262942933,2.7322787673767817,2.732486721245666,2.726026398921067,2.733177233110378,macrocycle
1,2,3,5,3.98,3.55,2.5e-05,0.99,2.4375,[108],[90],4.0,2.4669378477061694,2.47156731636699,2.464392139969332,2.465297807434058,2.4646397080922324,2.4688482437800916,macrocycle
2,3,11,4,3.82,2.02,1.3e-06,0.99,3.9875,[68],[107],9.0,2.4371623577280395,2.4350279486393345,2.440505693157304,2.4406830922004374,2.438595406386595,2.4310960781906705,macrocycle
3,4,2,4,2.9,2.03,1.1e-05,0.99,2.8,[124],[107],4.0,2.7968584216033405,2.789836543054329,2.7938969006939045,2.797374165074536,2.795441229445557,2.807972188855288,macrocycle
4,5,3,4,3.98,2.03,1.3e-05,0.99,2.725,[108],[107],3.0,2.536678857079103,2.537264386199825,2.535681296037948,2.536897769132111,2.537164247144112,2.5363889411297658,macrocycle
5,6,11,10,3.82,2.68,1.47e-05,0.99,2.6625,[68],[70],3.0,2.5181154423489778,2.5170774336987236,2.5171214809399562,2.521230356688569,2.517441754696996,2.517723346337335,macrocycle
6,7,10,7B,2.67,1.59,4.9e-06,0.99,3.2625,[70],"[84, 85]",5.0,2.6024277267442537,2.604540150223099,2.601408220263324,2.6087243516393395,2.598689635835925,2.5988725685644214,macrocycle
7,8,8,6Me,3.75,1.49,3.57e-05,0.98,2.3,[80],"[88, 89, 87]",5.0,2.5786928667155085,2.5784540204582207,2.578273416985209,2.576440821632038,2.5793842379876937,2.58092645668422,mixed
8,9,2,4Me,2.9,1.09,3.14e-05,0.99,2.35,[124],"[128, 129, 130]",5.0,2.4959349996384157,2.4951629098475063,2.495872539403145,2.4981526113344845,2.4947794657290094,2.4957171350942207,mixed
9,10,10,8Me,2.67,1.04,3.35e-05,0.99,2.325,[70],"[81, 82, 83]",5.0,2.6141165581327486,2.614748526087962,2.611897914521888,2.6106690385968627,2.6162353169195818,2.617072766671236,mixed
10,11,10,12Me,2.67,1.13,4.75e-05,0.99,2.1875,[70],"[65, 66, 67]",5.0,2.489433469318458,2.490213167940827,2.490882925647231,2.4871658422538028,2.4896097842460594,2.4893067431220137,mixed
11,12,5,4Me,3.54,1.09,2.1e-06,0.98,3.675,[90],"[128, 129, 130]",4.0,3.4551060874624824,3.454495330827714,3.4554409791653775,3.4531251085521903,3.458207905380023,3.454276007804924,mixed
12,13,5,6Me,3.54,1.5,2.57e-05,0.98,2.425,[90],"[88, 89, 87]",4.0,2.6278882163393087,2.627617377060172,2.6281616129818626,2.627614220351308,2.629159224924557,2.626892414498638,mixed
13,14,1'',2''A,4.88,2.35,6.8e-06,0.99,3.0375,[109],"[116, 117]",3.0,2.3867799752721526,2.3824275372236348,2.3859078326126673,2.3892837275739933,2.3890955959752707,2.3872315229081456,extracyclic
14,15,1'',2Me,4.87,1.18,4.35e-05,0.99,2.225,[109],"[125, 126, 127]",6.0,2.337532033738405,2.334637979973425,2.336859996763623,2.3384939995447156,2.341099231138099,2.336603871417893,mixed
15,16,1'',3,4.87,3.98,3.1e-05,0.99,2.35,[109],[108],4.0,2.4138853141629157,2.4164094439990182,2.414684209599771,2.4126505689139925,2.413691608203417,2.4120082641603906,mixed
16,17,1',5',4.43,3.53,2.72e-05,0.98,2.4,[91],[92],4.0,2.4678876597571184,2.46687789932138,2.4666814765209155,2.469581115921276,2.468067630644187,2.4682379696413466,extracyclic
17,18,1',3',4.43,4.01,4.64e-05,0.99,2.2,[91],[98],4.0,2.479454426326122,2.480939108034917,2.4797130774072755,2.4793014362597496,2.477858183204064,2.479467163942318,extracyclic
18,19,4'',5''Me,3.01,1.26,2.35e-05,0.99,2.4625,[111],"[121, 122, 123]",4.0,2.834168960949734,2.836685565951659,2.8352897321271837,2.8329547447691548,2.8307882235810675,2.8351530677690953,extracyclic
19,20,1',4Me,4.43,1.09,1.38e-05,0.99,2.6875,[91],"[128, 129, 130]",6.0,2.698637884101997,2.692333126652392,2.699960853237708,2.701104798105372,2.700161572895948,2.699695542682731,mixed
20,21,5,5'',3.54,1.29,7.1e-06,0.99,3.0125,[90],[110],8.0,2.191473742253746,2.1852186956206006,2.193195913365043,2.1935028129058236,2.1963722045830627,2.1891997139128643,mixed
