,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.1,3.83,9.1e-06,0.99,2.8875,[95],[79],4.0,2.8202718666688935,2.7742933905154428,2.79568765925068,2.8321302834759288,2.8627392964390994,2.8429680492407794
1,2,3,5,3.98,3.55,2.5e-05,0.99,2.4375,[106],[35],4.0,2.5134206987338734,2.509246338638249,2.516394720933884,2.5137683551957273,2.5129290341498356,2.5148048646948915
2,3,11,4,3.82,2.02,1.3e-06,0.99,3.9875,[79],[34],9.0,2.5593369683327163,2.752411153116723,2.6312421024816945,2.5329149890852642,2.455170070694545,2.497019604080683
3,4,2,4,2.9,2.03,1.1e-05,0.99,2.8,[104],[34],4.0,2.6052637524329274,2.526162743910014,2.5638867818847064,2.625727010913676,2.685993580233554,2.6469550464162084
4,5,3,4,3.98,2.03,1.3e-05,0.99,2.725,[106],[34],3.0,2.501269029996127,2.4705642258085994,2.489306436788243,2.50437185378881,2.526493726556801,2.5184618890679604
5,6,11,10,3.82,2.68,1.47e-05,0.99,2.6625,[79],[75],3.0,2.505746046214003,2.5001106655207828,2.504821465673296,2.503185659939677,2.515114414409398,2.5056744146932166
6,7,10,7B,2.67,1.59,4.9e-06,0.99,3.2625,[75],"[44, 45]",5.0,2.60679907361322,2.605114092848872,2.6063863564227048,2.6068290449767635,2.610738886822863,2.604956360195433
7,8,8,6Me,3.75,1.49,3.57e-05,0.98,2.3,[51],"[40, 41, 42]",5.0,2.7787199351927505,2.9672016923835205,2.841761805639717,2.756722548626824,2.683578198149628,2.706913373678421
8,9,2,4Me,2.9,1.09,3.14e-05,0.99,2.35,[104],"[32, 33, 31]",5.0,2.6344184900731964,2.691553443649581,2.66081214685863,2.6209056849307375,2.599892629454458,2.606852806527126
9,10,10,8Me,2.67,1.04,3.35e-05,0.99,2.325,[75],"[48, 49, 50]",5.0,2.602904772163703,2.6083701479687216,2.6057957734802626,2.598568635905619,2.6005108245024773,2.6013659348440097
10,11,10,12Me,2.67,1.13,4.75e-05,0.99,2.1875,[75],"[84, 85, 86]",5.0,2.5088188536990264,2.5074622723014572,2.5096738089436683,2.504963595133419,2.5120563945052,2.509979055991016
11,12,5,4Me,3.54,1.09,2.1e-06,0.98,3.675,[35],"[32, 33, 31]",4.0,3.4763485816038657,3.5071229194486344,3.478436787307857,3.4783627332129674,3.4581210435068965,3.4612119386936415
12,13,5,6Me,3.54,1.5,2.57e-05,0.98,2.425,[35],"[40, 41, 42]",4.0,2.8270336651883987,3.014959253486771,2.89109624152861,2.7996407845542444,2.7305282122458516,2.7602381467389607
13,14,1'',2''A,4.88,2.35,6.8e-06,0.99,3.0375,[112],"[110, 111]",3.0,2.4132526227017896,2.4123397370155035,2.412418007821898,2.413282017457796,2.414202644803535,2.414025101038854
14,15,1'',2Me,4.87,1.18,4.35e-05,0.99,2.225,[112],"[101, 102, 103]",6.0,2.5290947221826303,2.631795493790803,2.567530849263325,2.5097542776498134,2.4695475461627248,2.4899331396255118
15,16,1'',3,4.87,3.98,3.1e-05,0.99,2.35,[112],[106],4.0,2.4101937816565453,2.4320775350468478,2.4209625855624366,2.4103691372050435,2.390261074497532,2.3989207744570122
16,17,1',5',4.43,3.53,2.72e-05,0.98,2.4,[26],[23],4.0,2.487176519359591,2.483039474755685,2.4848575620210815,2.486696328256359,2.4892565802687754,2.4921048284013256
17,18,1',3',4.43,4.01,4.64e-05,0.99,2.2,[26],[14],4.0,2.537622103446093,2.5412985481271684,2.5393555423628795,2.5369524578814047,2.5372350877752665,2.53331807988789
18,19,4'',5''Me,3.01,1.26,2.35e-05,0.99,2.4625,[123],"[116, 117, 118]",4.0,2.895036415528046,2.9089409777237103,2.9012549325350974,2.893822768706504,2.8854822217419223,2.886167433973352
19,20,1',4Me,4.43,1.09,1.38e-05,0.99,2.6875,[26],"[32, 33, 31]",6.0,2.823649008714191,2.9000121656098043,2.839317898115865,2.8174917901014354,2.7804513793200596,2.791765573812532
20,21,5,5'',3.54,1.29,7.1e-06,0.99,3.0125,[35],[119],8.0,2.145618190955751,2.1138589421028606,2.13084385304361,2.1481390816037425,2.175522396846549,2.163742417869807
