,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.1,3.83,9.1e-06,0.99,2.8875,[58],[68],4.0,2.7194032914090807,2.7243492129828244,2.713248961088197,2.7206643408309046,2.718952351706623,2.7198845699005005,macrocycle
1,2,3,5,3.98,3.55,2.5e-05,0.99,2.4375,[108],[90],4.0,2.456570725289398,2.460861066583041,2.4482063424542035,2.4563646373289725,2.45933839255905,2.4582247150537646,macrocycle
2,3,11,4,3.82,2.02,1.3e-06,0.99,3.9875,[68],[107],9.0,2.443711095219926,2.440689861153622,2.4409741386205046,2.44932291646094,2.441407565334277,2.4462465029263623,macrocycle
3,4,2,4,2.9,2.03,1.1e-05,0.99,2.8,[124],[107],4.0,2.791085756311862,2.794834835624977,2.7833967966477635,2.7890995251516078,2.794180579099143,2.794037115834307,macrocycle
4,5,3,4,3.98,2.03,1.3e-05,0.99,2.725,[108],[107],3.0,2.535765724743351,2.536096208959746,2.534364339944153,2.537077710069149,2.5364379950393294,2.5348593659209917,macrocycle
5,6,11,10,3.82,2.68,1.47e-05,0.99,2.6625,[68],[70],3.0,2.5119851194432457,2.513267853232068,2.5102140969477564,2.5121834766068862,2.510709542734288,2.51356308403641,macrocycle
6,7,10,7B,2.67,1.59,4.9e-06,0.99,3.2625,[70],"[84, 85]",5.0,2.587183776894824,2.587346507864706,2.5859587045798937,2.5905844351681924,2.5838773853018413,2.588185706824111,macrocycle
7,8,8,6Me,3.75,1.49,3.57e-05,0.98,2.3,[80],"[88, 89, 87]",5.0,2.5817993779307926,2.580137197406691,2.582378062182147,2.5816313479724617,2.584700166607849,2.580169340461368,mixed
8,9,2,4Me,2.9,1.09,3.14e-05,0.99,2.35,[124],"[128, 129, 130]",5.0,2.4931273343278377,2.4924930435904518,2.4970280243344307,2.4926102954649956,2.492970815070498,2.490565975112834,mixed
9,10,10,8Me,2.67,1.04,3.35e-05,0.99,2.325,[70],"[81, 82, 83]",5.0,2.6200111937954844,2.6231813880308867,2.621807682266814,2.6190513687525376,2.6187744883947186,2.6172720560019354,mixed
10,11,10,12Me,2.67,1.13,4.75e-05,0.99,2.1875,[70],"[65, 66, 67]",5.0,2.4930066276924685,2.4932084645424157,2.493789802913017,2.4935911060071647,2.493289695139151,2.491160374165937,mixed
11,12,5,4Me,3.54,1.09,2.1e-06,0.98,3.675,[90],"[128, 129, 130]",4.0,3.4628180388198864,3.4596351182002305,3.467107124463822,3.4625535569777357,3.463640589995602,3.461186051425464,mixed
12,13,5,6Me,3.54,1.5,2.57e-05,0.98,2.425,[90],"[88, 89, 87]",4.0,2.6260477493935186,2.6230744844240177,2.630617032738796,2.625843871661937,2.6252482727610484,2.6254959155721362,mixed
13,14,1'',2''A,4.88,2.35,6.8e-06,0.99,3.0375,[109],"[116, 117]",3.0,2.386230161602199,2.3843678417337646,2.3933952053016863,2.3847149430699486,2.385382665442243,2.383386279011088,extracyclic
14,15,1'',2Me,4.87,1.18,4.35e-05,0.99,2.225,[109],"[125, 126, 127]",6.0,2.3302387930795603,2.328495589354294,2.338728292776661,2.3270056409702597,2.3270110112972437,2.330096708099535,mixed
15,16,1'',3,4.87,3.98,3.1e-05,0.99,2.35,[109],[108],4.0,2.424635762409813,2.419593810108091,2.4228231292402604,2.4294022434208555,2.424042723377543,2.427402709287443,mixed
16,17,1',5',4.43,3.53,2.72e-05,0.98,2.4,[91],[92],4.0,2.462307083978169,2.4639787848417254,2.4600191927732897,2.4616091951686143,2.4630425506946514,2.4628990793389596,extracyclic
17,18,1',3',4.43,4.01,4.64e-05,0.99,2.2,[91],[98],4.0,2.488513681875567,2.4871213309274594,2.488135161522296,2.4882984166244233,2.48995519680755,2.489064645746188,extracyclic
18,19,4'',5''Me,3.01,1.26,2.35e-05,0.99,2.4625,[111],"[121, 122, 123]",4.0,2.836161719929259,2.8396575688651544,2.830154499581008,2.834278779940508,2.8387315496820227,2.8380629856782544,extracyclic
19,20,1',4Me,4.43,1.09,1.38e-05,0.99,2.6875,[91],"[128, 129, 130]",6.0,2.705417314943478,2.7038550977577454,2.7154047228135596,2.7058661887937863,2.699708410540325,2.702437286882873,mixed
20,21,5,5'',3.54,1.29,7.1e-06,0.99,3.0125,[90],[110],8.0,2.1904097320208793,2.187665471233826,2.208218090923562,2.186977973965671,2.1859583977756647,2.1838566561404016,mixed
