,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.1,3.83,9.1e-06,0.99,2.8875,[58],[68],4.0,2.7339848771963453,2.7297414727089766,2.732984320262692,2.7376844909649023,2.7370837457860206,2.732487376983184,macrocycle
1,2,3,5,3.98,3.55,2.5e-05,0.99,2.4375,[108],[90],4.0,2.467285539789272,2.467107705407593,2.46242813239377,2.469775875770361,2.468040577662403,2.469123463603262,macrocycle
2,3,11,4,3.82,2.02,1.3e-06,0.99,3.9875,[68],[107],9.0,2.4401016806660265,2.44654887050412,2.434436241168781,2.4450067556476824,2.431339439319106,2.4434441078231037,macrocycle
3,4,2,4,2.9,2.03,1.1e-05,0.99,2.8,[124],[107],4.0,2.7955312698419887,2.7985934913905735,2.8019107285654865,2.7890496012974335,2.7934981756856656,2.7947256272985443,macrocycle
4,5,3,4,3.98,2.03,1.3e-05,0.99,2.725,[108],[107],3.0,2.5358565262794457,2.5378210442738887,2.5368524473823983,2.5364205027318363,2.532348274213596,2.5358645350286984,macrocycle
5,6,11,10,3.82,2.68,1.47e-05,0.99,2.6625,[68],[70],3.0,2.518107613879787,2.5186561009165773,2.516965630593254,2.520903177662716,2.516292103971815,2.5177388986718237,macrocycle
6,7,10,7B,2.67,1.59,4.9e-06,0.99,3.2625,[70],"[84, 85]",5.0,2.6036606651031584,2.6000425165551833,2.5993640598003216,2.609201753572159,2.6055973881744867,2.6041866408356453,macrocycle
7,8,8,6Me,3.75,1.49,3.57e-05,0.98,2.3,[80],"[88, 89, 87]",5.0,2.577089168747343,2.576703051932969,2.578027533161133,2.5748640700406957,2.578534964150614,2.5773272730216505,mixed
8,9,2,4Me,2.9,1.09,3.14e-05,0.99,2.35,[124],"[128, 129, 130]",5.0,2.495622610365143,2.4972747684058225,2.4967660568885837,2.495272042130367,2.4951158513631353,2.4936957365128767,mixed
9,10,10,8Me,2.67,1.04,3.35e-05,0.99,2.325,[70],"[81, 82, 83]",5.0,2.613690133585909,2.612404543312656,2.616863413140535,2.610129508244337,2.61513244110529,2.6139563345798615,mixed
10,11,10,12Me,2.67,1.13,4.75e-05,0.99,2.1875,[70],"[65, 66, 67]",5.0,2.488296662545978,2.488752924307425,2.488072481972396,2.4860403686366523,2.4906438189564515,2.4879891230212143,mixed
11,12,5,4Me,3.54,1.09,2.1e-06,0.98,3.675,[90],"[128, 129, 130]",4.0,3.453647748863591,3.4517781178622786,3.4562695979967466,3.4466899941151503,3.459287847893901,3.454305547182872,mixed
12,13,5,6Me,3.54,1.5,2.57e-05,0.98,2.425,[90],"[88, 89, 87]",4.0,2.627774218075704,2.627358508932292,2.6298663707034726,2.6267258777495694,2.6301235945656614,2.6248232196070127,mixed
13,14,1'',2''A,4.88,2.35,6.8e-06,0.99,3.0375,[109],"[116, 117]",3.0,2.385582387939557,2.384627379481295,2.38753456942054,2.3852995338011658,2.384899627250372,2.385558551111923,extracyclic
14,15,1'',2Me,4.87,1.18,4.35e-05,0.99,2.225,[109],"[125, 126, 127]",6.0,2.3375373699403266,2.337699988401676,2.3367669670163074,2.3395390374773686,2.335641655058006,2.3380519050642317,mixed
15,16,1'',3,4.87,3.98,3.1e-05,0.99,2.35,[109],[108],4.0,2.410947740021701,2.4088958487999337,2.4170785408736335,2.4011513976424834,2.4164983279915724,2.411360449515726,mixed
16,17,1',5',4.43,3.53,2.72e-05,0.98,2.4,[91],[92],4.0,2.4685575440685885,2.468430322649983,2.468268359138637,2.465813537988699,2.469478731881877,2.4708160340258725,extracyclic
17,18,1',3',4.43,4.01,4.64e-05,0.99,2.2,[91],[98],4.0,2.4801029509039485,2.482758853427656,2.481630315818664,2.479547547674266,2.4782157930330553,2.4783851015347653,extracyclic
18,19,4'',5''Me,3.01,1.26,2.35e-05,0.99,2.4625,[111],"[121, 122, 123]",4.0,2.8367361711490413,2.837646157110153,2.8350330137281468,2.835820366060073,2.839405787460228,2.835791046874581,extracyclic
19,20,1',4Me,4.43,1.09,1.38e-05,0.99,2.6875,[91],"[128, 129, 130]",6.0,2.6979207715168614,2.6964579511161157,2.704353426256947,2.6943980932721345,2.6983749129072994,2.6960963434463685,mixed
20,21,5,5'',3.54,1.29,7.1e-06,0.99,3.0125,[90],[110],8.0,2.1908559001966714,2.1925346592422374,2.193159146178486,2.1909410907966596,2.1872619906122974,2.190416603331848,mixed
