,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.1,3.83,9.1e-06,0.99,2.8875,[58],[68],4.0,2.7320205027864115,2.725261471121269,2.729399858434091,2.7342383463008098,2.7367365216090054,2.7345770546461923
1,2,3,5,3.98,3.55,2.5e-05,0.99,2.4375,[108],[90],4.0,2.513202557895356,2.5123781088074297,2.506428047143749,2.5161351512079078,2.5150778957483584,2.5160872918519477
2,3,11,4,3.82,2.02,1.3e-06,0.99,3.9875,[68],[107],9.0,2.568523350085207,2.574988467467749,2.5624087007868006,2.557484305198929,2.561425951365857,2.5871164234618913
3,4,2,4,2.9,2.03,1.1e-05,0.99,2.8,[124],[107],4.0,2.624839902346918,2.6164988005087086,2.623088305108716,2.631614562253878,2.647049014521804,2.6071741226794165
4,5,3,4,3.98,2.03,1.3e-05,0.99,2.725,[108],[107],3.0,2.508636245849593,2.5102867455737394,2.5057382524176037,2.5090113864955663,2.5090916893663158,2.5090694500747093
5,6,11,10,3.82,2.68,1.47e-05,0.99,2.6625,[68],[70],3.0,2.539083442845771,2.534055959944324,2.5369869516435903,2.537464485495037,2.5445612072488233,2.542450019850327
6,7,10,7B,2.67,1.59,4.9e-06,0.99,3.2625,[70],"[84, 85]",5.0,2.603153520425866,2.59007036125966,2.603951200303214,2.6001882628225212,2.6041302149771846,2.6179653745543483
7,8,8,6Me,3.75,1.49,3.57e-05,0.98,2.3,[80],"[88, 89, 87]",5.0,2.610387177248008,2.616045418905442,2.611738504845038,2.6110728179441067,2.608276081004852,2.604895471381894
8,9,2,4Me,2.9,1.09,3.14e-05,0.99,2.35,[124],"[128, 129, 130]",5.0,2.5422451579232987,2.5444838093049382,2.541585331145782,2.5420202263147185,2.541280150451562,2.5418653073948425
9,10,10,8Me,2.67,1.04,3.35e-05,0.99,2.325,[70],"[81, 82, 83]",5.0,2.6764701080593607,2.6809337802584636,2.6794089332442086,2.6766303303076224,2.6761790323570005,2.6693034559340294
10,11,10,12Me,2.67,1.13,4.75e-05,0.99,2.1875,[70],"[65, 66, 67]",5.0,2.5182662792233774,2.523333251302316,2.517842005719688,2.518639316947122,2.5162576818485456,2.515312856945566
11,12,5,4Me,3.54,1.09,2.1e-06,0.98,3.675,[90],"[128, 129, 130]",4.0,3.4232432449443735,3.419186501628342,3.4300177155580913,3.424767317134887,3.4242463015478792,3.418092577665809
12,13,5,6Me,3.54,1.5,2.57e-05,0.98,2.425,[90],"[88, 89, 87]",4.0,2.6704273909528564,2.6742940451112784,2.6713252200148525,2.6704158876397472,2.6697790291176755,2.6663656113013445
13,14,1'',2''A,4.88,2.35,6.8e-06,0.99,3.0375,[109],"[116, 117]",3.0,2.3769034906226842,2.375940634766523,2.3799553057084326,2.376134388212664,2.37696679369256,2.3755389882863867
14,15,1'',2Me,4.87,1.18,4.35e-05,0.99,2.225,[109],"[125, 126, 127]",6.0,2.508644510214718,2.511523341233,2.5063461437988184,2.506893414603695,2.5076501319442928,2.510840816355533
15,16,1'',3,4.87,3.98,3.1e-05,0.99,2.35,[109],[108],4.0,2.3420566807889878,2.341646571229296,2.348521217774661,2.3407424481248382,2.340420948071645,2.33903475038261
16,17,1',5',4.43,3.53,2.72e-05,0.98,2.4,[91],[92],4.0,2.3985949588174256,2.3995676908911516,2.3928826713372535,2.3973907397314593,2.4012278601569252,2.401984030470379
17,18,1',3',4.43,4.01,4.64e-05,0.99,2.2,[91],[98],4.0,2.509435466317859,2.508290922635134,2.5097646010828867,2.5107862360996274,2.512036984690358,2.506326051605656
18,19,4'',5''Me,3.01,1.26,2.35e-05,0.99,2.4625,[111],"[121, 122, 123]",4.0,2.8974596225418967,2.8996296186896435,2.8974805335737983,2.895831116416785,2.89776228669045,2.8966044377333717
19,20,1',4Me,4.43,1.09,1.38e-05,0.99,2.6875,[91],"[128, 129, 130]",6.0,2.7401252839559396,2.7364096433796496,2.746670289563638,2.7475003125886066,2.7425387306674187,2.7278506830656504
20,21,5,5'',3.54,1.29,7.1e-06,0.99,3.0125,[90],[110],8.0,2.267465611534488,2.262383232856771,2.272055324511876,2.2679567372015437,2.2755399430663927,2.2596602398423613
