,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,5.1,3.83,9.1e-06,0.99,2.8875,[58],[68],4.0,2.7174057311306483,2.7335361248882135,2.727496668246377,2.7118425566190703,2.7102221602722936,2.704708190012166,macrocycle
1,2,3,5,3.98,3.55,2.5e-05,0.99,2.4375,[108],[90],4.0,2.350086397340221,2.3664522794874348,2.3590997458518803,2.3410936071453543,2.3566536367520734,2.32853830379351,macrocycle
2,3,11,4,3.82,2.02,1.3e-06,0.99,3.9875,[68],[107],9.0,2.299778765943017,2.4395052164863333,2.4115451170778996,2.279021724227392,2.23798745708456,2.1979023379397167,macrocycle
3,4,2,4,2.9,2.03,1.1e-05,0.99,2.8,[124],[107],4.0,2.6507642118152903,2.506021140149654,2.5265671741589735,2.6656705834627954,2.8089995895403934,2.8922709380294735,macrocycle
4,5,3,4,3.98,2.03,1.3e-05,0.99,2.725,[108],[107],3.0,2.484891557322472,2.4795192223204725,2.4835989129434037,2.4894357046491495,2.487230246234619,2.48475360006195,macrocycle
5,6,11,10,3.82,2.68,1.47e-05,0.99,2.6625,[68],[70],3.0,2.523503548199555,2.5187464292588446,2.5207956617035734,2.5236306296194178,2.5263053247981104,2.528121755427719,macrocycle
6,7,10,7B,2.67,1.59,4.9e-06,0.99,3.2625,[70],"[84, 85]",5.0,2.6117099967138917,2.651389326246888,2.64947575731859,2.6047732718505214,2.5763653536747277,2.5833266259498804,macrocycle
7,8,8,6Me,3.75,1.49,3.57e-05,0.98,2.3,[80],"[88, 89, 87]",5.0,2.717179743664194,2.9027545852808485,2.8665095603492223,2.6863806306202225,2.611121437868646,2.6140896268571723,mixed
8,9,2,4Me,2.9,1.09,3.14e-05,0.99,2.35,[124],"[128, 129, 130]",5.0,2.6054900467997273,2.660613548718174,2.654268822709529,2.598206723623078,2.5584464856570603,2.5679788544902222,mixed
9,10,10,8Me,2.67,1.04,3.35e-05,0.99,2.325,[70],"[81, 82, 83]",5.0,2.6345190225690622,2.624750558476091,2.6247355946583415,2.636771505307221,2.6448269065377628,2.6419869704255605,mixed
10,11,10,12Me,2.67,1.13,4.75e-05,0.99,2.1875,[70],"[65, 66, 67]",5.0,2.5014833262738594,2.5035508229638315,2.501195754568262,2.5026303606102025,2.4997239879706106,2.500329830182389,mixed
11,12,5,4Me,3.54,1.09,2.1e-06,0.98,3.675,[90],"[128, 129, 130]",4.0,3.7186343276660057,3.699557042333235,3.705303281041567,3.7226212376835868,3.7008812536601217,3.767841242787367,mixed
12,13,5,6Me,3.54,1.5,2.57e-05,0.98,2.425,[90],"[88, 89, 87]",4.0,2.7693031389844065,2.953330975762865,2.9156378485308125,2.7401720257593176,2.6595141873470665,2.669690358799296,mixed
13,14,1'',2''A,4.88,2.35,6.8e-06,0.99,3.0375,[109],"[116, 117]",3.0,2.5555448884560388,2.503153071261025,2.5143048527374696,2.560008286107622,2.5686750754778256,2.6491746805662473,extracyclic
14,15,1'',2Me,4.87,1.18,4.35e-05,0.99,2.225,[109],"[125, 126, 127]",6.0,2.46816041028496,2.5366909647092855,2.527960568744605,2.449699286469811,2.418721583713299,2.425538448013443,mixed
15,16,1'',3,4.87,3.98,3.1e-05,0.99,2.35,[109],[108],4.0,2.3460863521966644,2.3953177534393784,2.3764553105766546,2.3450206346623323,2.312294770618949,2.3099046935556267,mixed
16,17,1',5',4.43,3.53,2.72e-05,0.98,2.4,[91],[92],4.0,2.288523293221386,2.3021751322109116,2.2972584732303223,2.2833914325182185,2.2857099707681154,2.2748219487712205,extracyclic
17,18,1',3',4.43,4.01,4.64e-05,0.99,2.2,[91],[98],4.0,2.5778005794963956,2.598265005540459,2.592088330320445,2.567846733314068,2.5698191199193934,2.562365463903229,extracyclic
18,19,4'',5''Me,3.01,1.26,2.35e-05,0.99,2.4625,[111],"[121, 122, 123]",4.0,2.8382764141076287,2.859372998991656,2.857529875267899,2.8347791254616785,2.829192274253691,2.812455212218936,extracyclic
19,20,1',4Me,4.43,1.09,1.38e-05,0.99,2.6875,[91],"[128, 129, 130]",6.0,3.1124949443454293,3.125880390930691,3.1445450046534793,3.085478255019341,3.061097919944262,3.152481048360776,mixed
20,21,5,5'',3.54,1.29,7.1e-06,0.99,3.0125,[90],[110],8.0,2.471329052717712,2.308074627367444,2.334153030745039,2.4949863912676746,2.5333888397061926,3.0585890421548276,mixed
