,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.757404762301769,2.757317120276373,2.7553719817979108,2.7577882428652414,2.759767565619999,2.7567918998819128
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[107],9.0,2.4329853101978394,2.4272335117168784,2.4405553869767256,2.432028070767922,2.4359631345156445,2.4293096485613845
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[124],[107],4.0,2.8094077487793583,2.806389852781097,2.805096906701485,2.8125486137418747,2.806680342502059,2.8164404053057885
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[107],8.0,3.7733964860219302,3.7708912035409985,3.7793451151145034,3.770827281650461,3.7791531996505583,3.7668804591021647
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[108],[90],4.0,2.4929470289269426,2.4883708054265057,2.4954380976540085,2.49486294207005,2.49794256979341,2.4882303500481555
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[107],3.0,2.9555816481337027,2.9529272224514806,2.956830885156767,2.9573202030662604,2.9585483816957314,2.952318374489442
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[108],[124],3.0,3.0433596823925364,3.0404172271904066,3.043427287347269,3.045416514736394,3.0434373091242,3.04411558187458
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[108],[107],3.0,2.5404857605745206,2.5377154772972683,2.5400070454604986,2.541338196549652,2.5440392018033693,2.53935988145079
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.5266307586168684,2.5266270702620277,2.526353260615606,2.527708006922078,2.5245910726938607,2.527884043456191
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.9079531135737504,3.9068277450664706,3.907118395380898,3.9092582277349424,3.908065609091327,3.9084991525128627
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[108],"[125, 126, 127]",4.0,3.1012335395638226,3.0995539753330696,3.107301250978084,3.1010463562190886,3.1022075765620176,3.0961336540578914
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.609488805489837,2.612063070344142,2.6092842993307124,2.6077385218784017,2.6083799359788093,2.6099932294682167
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.483548339465086,2.483655935345,2.485240469181447,2.483073456295764,2.482744487100939,2.4830329974543646
