,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[95],[79],4.0,2.8405245600426845,2.8425532612059206,2.835239817190395,2.8414355744743607,2.836608167394892,2.846895328038374
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[79],[34],9.0,2.5435179034821576,2.5356121823313256,2.5671259298771303,2.541908336963626,2.5574425610319915,2.517555454751128
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[104],[34],4.0,2.620600539007218,2.62500418632749,2.5976219099250426,2.6256789254397805,2.6117020343995483,2.6446376114316617
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[75],[34],8.0,3.9225580934438713,3.9079033071971487,3.9546625491643455,3.914914889542513,3.9481863825782693,3.8898230666559535
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[106],[35],4.0,2.5249205442186584,2.5241203386548596,2.519992683409024,2.524697495150308,2.527229540565515,2.528623766605014
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[35],[34],3.0,2.96850205986714,2.968181102238188,2.965970370800952,2.967235973455561,2.9688159812200072,2.972333827517406
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[106],[104],3.0,2.9205793123335377,2.931008409853151,2.901702007439776,2.921511991622987,2.90896926021265,2.940919570239951
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[106],[34],3.0,2.506777371333495,2.511197255139578,2.500103139704657,2.506275513104839,2.5015887689287313,2.514942395101448
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[79],[75],3.0,2.4984295717510085,2.4989653222525825,2.498139734140586,2.4977750457123933,2.4983369166741074,2.4989323260460985
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[95],"[84, 85, 86]",4.0,3.9462544469071323,3.945824869813806,3.9449710376421514,3.9468123022553554,3.946955045813856,3.9467115011228247
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[106],"[101, 102, 103]",4.0,3.3144735495601294,3.3048126309544723,3.3425039646959154,3.3110175626185705,3.329505259053552,3.286530770571093
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[75],"[48, 49, 50]",5.0,2.615394519753429,2.613079951900688,2.609822083657352,2.6165006707493954,2.6162807190701267,2.621388626513948
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[75],"[84, 85, 86]",5.0,2.509142909989323,2.510641440477288,2.5082486540726268,2.5085364342749097,2.5068092667034896,2.511498850078098
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[104],"[32, 33, 31]",5.0,2.607815218280933,2.6036204643515415,2.6185523890720708,2.6062626396619737,2.6157023105803923,2.5954102870942677
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[35],"[40, 41, 42]",4.0,2.7966792418700006,2.778581234814857,2.8331284631225855,2.7998093748499224,2.8135260887655034,2.7622683399957433
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[106],"[32, 33, 31]",4.0,3.9639131502074747,3.9651326400542315,3.962518809100166,3.963513332973076,3.963344173485437,3.9650614161620164
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[75],"[48, 49, 50]",5.0,2.615394519753429,2.613079951900688,2.609822083657352,2.6165006707493954,2.6162807190701267,2.621388626513948
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[34],"[40, 41, 42]",5.0,3.2507431804014555,3.310484458359897,3.158254654768477,3.2450357147404043,3.2035010564314677,3.3655454752541454
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[112],[104],5.0,3.837961418420858,3.840911767249558,3.83221248984916,3.839514580400187,3.835834074890241,3.8413893836054944
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[26],"[32, 33, 31]",6.0,2.844074091649416,2.8456774958407105,2.84922004968543,2.8513708057270755,2.844306547991715,2.8301384402036875
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[26],[119],10.0,2.2877960798128525,2.281685106871378,2.2933832466466026,2.28648070286994,2.294942117678804,2.282714087303272
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[26],"[128, 126, 127]",11.0,5.781357927087,5.796520574936058,5.743822841289407,5.783031737687723,5.767891548437455,5.817415417635208
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[26],"[40, 41, 42]",6.0,4.256848583508706,4.2118311130168875,4.328369769752211,4.228970233951824,4.327374449318166,4.200688917080045
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[68, 69]",[35],9.0,6.604178729555742,6.592430716286096,6.594843711297862,6.556121435943158,6.647987403865432,6.632291873279613
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[112],"[66, 67]",15.0,6.891318880691507,6.900375018602089,6.88808795621174,6.861386836300324,6.805728134063748,7.012491978296228
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[66, 67]",[34],12.0,6.983439314008834,7.039760633490059,6.864241044641817,7.037289418314599,7.0265081430095915,6.961004520786155
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[66, 67]",[35],11.0,5.956764039800707,5.889584840096285,5.888561599982008,5.935891253350914,6.006015462351773,6.079336979604579
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[66, 67]",[104],14.0,8.786936222917843,8.838333186141346,8.706377396390359,8.827688882503526,8.758845687708327,8.808272063701683
