,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.764646728796069,2.7711855175899816,2.7685638224255147,2.7626185432946344,2.7602305636371667,2.760757571289934
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[107],9.0,2.4351623388401453,2.4284356861206744,2.435708430363907,2.4378574397076505,2.4444549206131727,2.4295991842074787
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[124],[107],4.0,2.7985761646654463,2.8146178989088915,2.7897582752442758,2.8021139079294297,2.767009969288476,2.8217532874388396
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[107],8.0,3.7806330494364553,3.7835459888396272,3.783584565312625,3.775423398512636,3.790359046858681,3.770476515783135
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[108],[90],4.0,2.49530891317921,2.504208980621225,2.4896907208126233,2.4967343763971206,2.486415609108693,2.499792379116878
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[107],3.0,2.9562760050446375,2.959656383218849,2.9544583780529403,2.9570008505109695,2.953001951775041,2.9572944439902815
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[108],[124],3.0,3.036303426210687,3.043542728994792,3.0275196688153794,3.0399350836001875,3.0259849248170694,3.0449080954058654
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[108],[107],3.0,2.539474788474453,2.5406209327348197,2.5374374956748373,2.5409915770187146,2.5373725577342574,2.5409712721553523
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.529991226042461,2.5259995714610244,2.5337558869495806,2.5255069402922894,2.535133767914886,2.529666112497601
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.9084385474230836,3.9097938271549877,3.9079625399887967,3.9084107233184673,3.9076806227117276,3.9083473930480532
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[108],"[125, 126, 127]",4.0,3.106360706437619,3.099324182726862,3.110713752380156,3.1064499912917984,3.1159351838608726,3.0996118883132855
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.616131522391779,2.605770433817307,2.62182861056359,2.6149451799867456,2.6253990065728146,2.6130313152007165
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.4870930799636364,2.4838814120017765,2.489530524446248,2.4863984041087477,2.4914456799301927,2.4842707442860275
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[124],"[128, 129, 130]",5.0,2.503588984905623,2.5014684145423436,2.508194730840133,2.5010643171670295,2.5069504183856983,2.5003423167045424
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[90],"[88, 89, 87]",4.0,2.633043646263399,2.626079091599366,2.640004959643047,2.630236883838216,2.6411893590759963,2.6279692186273573
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[108],"[128, 129, 130]",4.0,3.935909968738358,3.936497626879347,3.9363737802220014,3.934544049297912,3.934859375622226,3.9372798198393744
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[70],"[81, 82, 83]",5.0,2.616131522391779,2.605770433817307,2.62182861056359,2.6149451799867456,2.6253990065728146,2.6130313152007165
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[107],"[88, 89, 87]",5.0,4.2824875838825225,4.532896720565548,4.069054600705799,4.400825273438013,4.073166621971274,4.513081951450836
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[109],[124],5.0,3.7552151375668172,3.7581331716279753,3.755417207579044,3.7523239955092076,3.759477486321506,3.7507749068835485
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[91],"[128, 129, 130]",6.0,2.7458274048095808,2.7358810688158854,2.7492745452565757,2.7470265351625485,2.7512955664690955,2.745841476979629
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[91],[110],10.0,2.3457932966703092,2.3520518529497747,2.3440907738312124,2.3387244184393476,2.350601229536635,2.3436767319899596
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[91],"[120, 118, 119]",11.0,5.861767266367423,5.884922382575445,5.839842069481977,5.86830210913837,5.85826717658731,5.858149878453566
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[91],"[88, 89, 87]",6.0,4.22714785249315,4.2034360942702,4.250165051296683,4.231219867192689,4.249729565208948,4.2030133164205905
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[71, 72]",[90],9.0,6.594478747017151,6.615116980496932,6.609788148678579,6.566044967095084,6.598687283798169,6.583610606733855
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[109],"[73, 74]",15.0,6.734048373285908,6.7044445547574405,6.937908302769481,6.646064151946324,6.647565417338898,6.7633212202158415
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[73, 74]",[107],12.0,6.597206953672093,6.545308913341724,6.754075501750445,6.54039722000105,6.606100037773015,6.556567006956035
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[73, 74]",[90],11.0,5.986088566812451,5.99734992843437,6.04663906368452,5.9535401247607975,5.952220534492859,5.984165698723645
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[73, 74]",[124],14.0,8.364573909753373,8.301174125377873,8.579006293342795,8.261612924827164,8.36789507859126,8.337787406119562
