,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.8070072636176384,2.806396040167842,2.8086640744580076,2.8073590797257775,2.8081828969203357,2.8044481715798772
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[107],9.0,2.5256995727485183,2.5319042799616405,2.5189472492925864,2.5161640019192295,2.529665411135441,2.5321396290859615
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[124],[107],4.0,2.7184071092006805,2.7197695508070385,2.720001561950858,2.7321955224427774,2.707510953094458,2.7129975119996703
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[107],8.0,3.7999148696569622,3.8069198716151664,3.7968470737607163,3.7925416880437686,3.80228843315102,3.8010877245876755
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[108],[90],4.0,2.548093016703974,2.5517672378965175,2.5449905577269365,2.5437074827457913,2.5518800317038686,2.5481976855187147
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[107],3.0,2.9459340115408663,2.9466710306207626,2.9432031496754973,2.944458567093867,2.9477172999307695,2.9476393492628055
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[108],[124],3.0,3.0210343738564287,3.021396750826304,3.0204988463029787,3.023974891482761,3.018914519572429,3.0204030152390797
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[108],[107],3.0,2.5171266042241207,2.518596215375703,2.515243246092433,2.515019657734454,2.519108467943126,2.5176854447730497
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.5597348655126857,2.5591389777161346,2.5603378914734916,2.5596755064035253,2.5573646488620536,2.5621741060428715
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.9204219400114675,3.9205613772545203,3.920873640242404,3.9206920109097543,3.9205249035194645,3.919458870733336
