,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,5.14,3.68,1.93e-05,0.99,2.93,[58],[68],4.0,2.7445427859525817,2.7514987025288447,2.742607517001327,2.748100562817055,2.7437688875133484,2.736896304241508
1,2,11,4,3.69,2.03,6.23e-05,0.99,2.41,[68],[107],9.0,2.1963044929116946,2.228721561908946,2.1946590480841155,2.1949594724920725,2.180117983052725,2.185303790393246
2,3,2,4,3.07,2.03,3.14e-05,0.99,2.7,[124],[107],4.0,2.865513542495562,2.79500522033238,2.8691924509598876,2.8601682981323737,2.911527066508312,2.9022968633818107
3,4,10,4,2.94,2.02,3.5e-06,0.98,3.9,[70],[107],8.0,3.691147613993671,3.7206562052429044,3.6854923661312644,3.696593728227857,3.683366653047411,3.670946362829231
4,5,3,5,3.84,3.53,2.35e-05,0.99,2.84,[108],[90],4.0,2.32978506497449,2.355844761940917,2.326388633915384,2.3290191622342067,2.320407028829809,2.318598529465948
5,6,5,4,3.53,2.02,1.1e-05,0.99,3.22,[90],[107],3.0,2.8546442231150086,2.8708587578698457,2.8534134888912104,2.8531159759416402,2.847473845320174,2.848787057286018
6,7,3,2,3.85,3.06,8.4e-06,0.99,3.37,[108],[124],3.0,3.0350630154264007,3.0129297702089164,3.035524228227588,3.0300625541003545,3.0497174163085794,3.0481254320085336
7,8,3,4,3.85,2.02,1.67e-05,0.99,3.0,[108],[107],3.0,2.4879787030581415,2.4832025539307483,2.4887019647413027,2.4894625840209783,2.4882148620476525,2.490355640257885
8,9,11,10,3.69,2.94,4.26e-05,0.99,2.57,[68],[70],3.0,2.5385431277397537,2.5442159855119746,2.5359604465018477,2.5389537051629505,2.5385222757436896,2.535132879078732
9,10,13,12Me,5.14,1.23,3.6e-06,0.98,3.89,[58],"[65, 66, 67]",4.0,3.9215067724895283,3.920792650199397,3.9238123574862054,3.921321494722396,3.9202541347039475,3.9213598691849096
10,11,3,2Me,3.84,1.23,6e-06,0.99,3.56,[108],"[125, 126, 127]",4.0,3.052601201106244,3.0939460210829877,3.0499842038569964,3.047614962320748,3.035596039838297,3.0383643806014957
11,12,10,8Me,2.94,1.14,7.3e-06,0.99,3.45,[70],"[81, 82, 83]",5.0,2.6199803165584523,2.6196754323879152,2.617296426159472,2.6198881737664252,2.623115812294187,2.6199486159485685
12,13,10,12Me,2.94,1.23,2.43e-05,0.99,2.82,[70],"[65, 66, 67]",5.0,2.499804297750781,2.4969334157522454,2.499570195913145,2.502513353017579,2.4997561171408957,2.50027061207041
13,14,2,4Me,3.06,1.07,1.31e-05,0.98,3.13,[124],"[128, 129, 130]",5.0,2.5766557236155805,2.573140004487804,2.5800705100639405,2.5805126480907252,2.575515008064201,2.574103846776576
14,15,5,6Me,3.53,1.45,2.28e-05,0.98,2.85,[90],"[88, 89, 87]",4.0,2.6839201142840166,2.6983890094097047,2.6853535834089377,2.6887563854424763,2.6728602317136336,2.6748139250107434
15,16,3,4Me,3.85,1.07,1.8e-06,0.99,4.35,[108],"[128, 129, 130]",4.0,3.9841356865564457,3.9825674848970993,3.984607202198002,3.984740386101529,3.984376182167649,3.9843899640446185
16,17,10,8Me,2.94,1.19,3.64e-05,0.98,2.64,[70],"[81, 82, 83]",5.0,2.6199803165584523,2.6196754323879152,2.617296426159472,2.6198881737664252,2.623115812294187,2.6199486159485685
17,18,4,6Me,2.03,1.45,2.9e-06,0.98,4.02,[107],"[88, 89, 87]",5.0,4.0206985332206955,3.7703498761305325,4.03096742766907,3.9544378296673504,4.258626493400047,4.2358641556202405
18,19,1'',2,4.95,3.06,1.8e-06,0.98,4.35,[109],[124],5.0,3.7970976064990847,3.783568416225192,3.7975754919858735,3.798913886071682,3.803856173386275,3.8018099518710358
19,20,1',4Me,4.61,1.07,1.85e-05,0.99,2.95,[91],"[128, 129, 130]",6.0,3.0095779099751447,2.9686791736051528,3.018732805531965,3.0116764104646716,3.0274127776063695,3.0241149461465118
20,21,1',5'',4.6,4.13,6.6e-05,0.99,2.39,[91],[110],10.0,3.364680340632726,2.913709779249576,3.5585636777129626,3.486930179335765,3.677437583997315,3.7517820456076945
21,22,1',3''Me,4.6,3.32,8e-06,0.99,3.4,[91],"[120, 118, 119]",11.0,6.055012620649881,5.936019427673798,6.071113429820098,6.063155491103193,6.111450878596938,6.105374649855587
22,23,1',6Me,4.6,1.45,2.8e-06,0.98,4.04,[91],"[88, 89, 87]",6.0,4.296719601375954,4.2705870602438285,4.305576125353532,4.343300507590495,4.282887108028197,4.283886190992373
23,24,16B,5,5.19,3.53,4.8e-07,0.99,5.39,"[71, 72]",[90],9.0,6.450428432529178,6.405313528295247,6.495212115860744,6.44266030927794,6.446987019496983,6.464306073134345
24,25,1'',17,4.95,3.84,4.62e-05,0.99,2.52,[109],"[73, 74]",15.0,7.620869677659564,7.230281787660915,7.6849458222097144,7.780647726592017,7.762354010197754,7.7567848399832435
25,26,17,4,3.84,2.02,1.99e-05,0.98,2.9,"[73, 74]",[107],12.0,6.199542568152253,6.358085103054845,6.189646240762241,6.116835727744303,6.168770345131257,6.1824187162787245
26,27,17,5,3.84,3.53,1.25e-05,0.99,3.14,"[73, 74]",[90],11.0,5.73191767774254,5.856940867864999,5.6562959217339515,5.7349415689906555,5.74335314108283,5.682313575279983
27,28,17,2,3.84,3.06,7.02e-06,0.99,3.45,"[73, 74]",[124],14.0,8.50977648399907,8.670503733885802,8.617461101668871,8.162334391944093,8.548271807507776,8.626652413636327
