,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.546736042716737,3.5991066897066197,4.0973047676242045,3.816633062841161,3.6022061577369593,3.13211227425562,macrocycle
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,2.532150912295314,2.5401695079978905,2.52647353230597,2.4905932717283434,2.5212331551258007,2.5893423244234444,macrocycle
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,2.753230811529903,2.7458140969263614,2.7414373205450504,2.697720987347592,2.731798931221088,2.8698812906045816,macrocycle
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.378740391430575,2.3737062763514665,2.3619797327478573,2.3634453851469335,2.368836734707334,2.4303983578535195,macrocycle
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,3.3243397202233864,3.355466346623382,3.2828372602055094,3.3301703203181896,3.294931035549922,3.363714538408837,macrocycle
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,3.0612214201250754,3.0401934399973873,3.0586273643413,3.060375306796238,3.0733779039643805,3.074420689399277,macrocycle
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,4.15357349043611,4.013598683869915,3.932786308856757,4.289424810335873,4.294542218543676,4.366444857101739,macrocycle
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.452774538326364,2.4847609611767005,2.4640686210989537,2.446817454200687,2.4316211493956743,2.439167568411495,macrocycle
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.8594111112221023,2.922565507075668,2.9502489401825556,2.942346005637393,2.8230894458263407,2.712637142137757,macrocycle
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,3.0369394351904355,3.043432855267878,3.056672511350129,3.064903169719662,3.0588417764823355,2.9684982740635615,macrocycle
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,3.8707625979176044,3.7210310892334526,3.735982589135673,3.9679744054137385,4.0390772190564626,3.9695622063517315,macrocycle
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.5958639824776046,3.737746891479781,3.7871350406293547,3.784809453834208,3.743804887961316,3.21603231101115,macrocycle
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,4.887934144403595,4.857147626644898,4.850040586068458,4.836459009300704,4.899590051401924,5.010260022028662,macrocycle
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[65],[76],8.0,3.816027479974432,3.7500140384942164,3.6918466058639625,3.8312807869951797,3.897528032319274,3.9501668228833893,macrocycle
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[65],[62],4.0,2.7430504646001506,2.7641723306253785,2.7524669265846247,2.7015033317935098,2.7304354045940316,2.770801040184226,macrocycle
