,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[50],[45],5.0,3.9373914025065178,3.6786277949731634,3.7917792041492113,4.059395372787745,4.060489863391627,4.313260155367585,macrocycle
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[50],[54],4.0,2.841691932278802,3.3065988411790954,2.87631038610848,2.6723963102956407,2.676956369091421,2.9551483586761873,macrocycle
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[50],[38],7.0,2.89439392189075,3.1741080996661046,2.962356054702714,2.873546755609647,2.7743508494843865,2.799518085690151,macrocycle
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[50],[46],4.0,2.4714707268459506,2.474624210606619,2.5196759980733257,2.5070453475566685,2.4404625099316717,2.425034079836044,macrocycle
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[50],[73],10.0,3.2206471271172514,3.002287587864295,3.2900703294295885,3.2871931484367565,3.319877222432794,3.291129686497583,macrocycle
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[50],[48],3.0,2.8527381210111766,2.9281979113530343,2.770897847663168,2.759481573501088,2.9075421612161327,2.9360531110581563,macrocycle
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[52],[63],5.0,3.5315797202049524,3.839578050997017,3.6606082879493815,3.576156550066028,3.4602283632740467,3.289781278410418,macrocycle
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[52],[48],4.0,2.6488947375976704,2.4858447515042585,2.632937718410613,2.680407911275233,2.70152759263575,2.825498381560667,macrocycle
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[52],[54],3.0,2.6703822666171413,2.4182189875870157,2.5803937941680988,2.793126811789286,3.0030705171515084,2.833712065293537,macrocycle
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[48],[46],3.0,3.0259480939609724,3.0321403020822797,3.0335459637736766,3.016141675940194,3.0302788894443693,3.017952357834581,macrocycle
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[48],[73],9.0,3.7027990574591136,4.311956301932645,3.8863074517553415,3.6735262983342096,3.523711848874343,3.478165999046348,macrocycle
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[48],[45],4.0,3.7332245231685524,3.6471669589535582,3.70752689900816,3.786874889563181,3.7478906625629254,3.790432122716585,macrocycle
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[54],[46],6.0,4.9938172789857385,5.7095159333527,5.037026790640623,4.7923499534586504,4.800568225345471,4.949296072253614,macrocycle
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[54],[73],8.0,3.941243616068462,5.22117222269073,4.136082284138915,3.8184360846071796,3.6967354272537962,3.731367554414801,macrocycle
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[54],[63],4.0,3.1961753001764275,3.613821341831544,3.2246302706298384,2.961073744829923,3.05968038628593,3.398229415057618,macrocycle
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[46],[45],3.0,2.4318667244411727,2.4731434210478302,2.4385174096107702,2.4180404391780126,2.415788665529431,2.4172237714450313,macrocycle
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[46],[39],4.0,3.253519778599921,3.119423602779008,3.268896461584378,3.2649851053213013,3.338082914157887,3.308597552083989,macrocycle
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[46],[40],4.0,3.8365699002309297,3.830686724505663,3.835218816607849,3.8330309314880093,3.8423237526813736,3.841687995646258,macrocycle
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[73],[39],6.0,2.741073884664407,2.883053617015483,2.8927035166743402,2.787192536306927,2.6465151747186026,2.5921246162786336,macrocycle
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[73],[40],6.0,4.243317114553592,4.344656852031116,4.416444144927453,4.249215212748949,4.155016479540014,4.105449231463554,macrocycle
18,19,12,14A,6.19,2.56,2.42e-05,0.98,2.9824,[52],"[56, 57]",4.0,2.910130988110606,3.54903155984073,3.0079839780267648,2.8340261417401784,2.736364648664194,2.801350588484749,macrocycle
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[50],[39],6.0,3.7794627304761814,3.6122635390361273,3.732829046381292,3.833253333888544,3.8856599183596923,3.886879085021713,macrocycle
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[50],[40],6.0,5.153397501772341,5.109546991451099,5.147280078471818,5.177566650747717,5.145442573888676,5.18983271480481,macrocycle
20,21,10,20,5.77,0.96,5.38e-05,0.99,2.6112,[48],"[42, 43, 44]",5.0,2.7773451307250188,2.7608144096394356,2.817085347137237,2.7592379846403836,2.7793657445252853,2.7729388955661562,mixed
21,22,13,16,5.68,1.33,3.12e-06,0.98,4.1984,[54],"[60, 61, 62]",5.0,3.19920166977618,2.9398854832509387,3.1321226433697653,3.6150476914856693,3.445352375715264,3.1572259400373386,mixed
22,23,9,20,4.22,0.96,8.04e-06,0.99,3.584,[46],"[42, 43, 44]",4.0,3.593706753192534,3.47937275633677,3.410293661713433,3.760685578710402,3.6761046729933424,3.7438156974212626,mixed
23,24,11,20,6.38,0.96,9.42e-06,0.98,3.4944,[50],"[42, 43, 44]",6.0,4.925161579604922,5.012447112325553,5.051255629738326,4.763883472826166,5.07556545010511,4.787917029418046,mixed
24,25,12,16,6.19,1.33,1.95e-06,0.98,4.544,[52],"[60, 61, 62]",6.0,4.268521251576605,5.009533919130513,4.408552006127275,3.9885852615735535,4.029647831007991,4.361819537912682,mixed
25,26,12,20,6.19,0.96,3.26e-06,0.98,4.16,[52],"[42, 43, 44]",7.0,5.202296913194661,4.955418080152874,4.953052240504658,5.405990725385528,5.431575872861385,5.454726211336526,mixed
26,27,19,9,9.77,4.22,3.68e-06,0.98,4.0832,[35],[46],7.0,4.499419755248006,4.540070508329441,4.617813507158072,4.330366549379903,4.461195508816803,4.591114499837659,mixed
27,28,1''',9,4.65,4.22,3.37e-05,0.97,2.816,[26],[46],4.0,2.473328698814438,2.4142623672230172,2.4443910098607904,2.4919406649173528,2.496433579692204,2.5318872593169113,mixed
28,29,1''',8,4.65,2.06,5.14e-05,0.98,2.6368,[26],[45],5.0,2.325918667145563,2.3840576595384593,2.361335298087121,2.314054267476373,2.3136705818285,2.2687560639960664,mixed
29,30,1',3,4.5,3.86,6.19e-05,0.99,2.5472,[92],[73],6.0,3.4387516243520673,3.440596774806842,3.1857344695903214,3.4995286649775856,3.58915692131008,3.609469991497995,mixed
30,31,11,1''',6.38,4.65,4.15e-06,0.99,4.0064,[50],[26],6.0,3.9216960556756653,3.6490463647618343,3.932335816675134,4.058169461651698,3.9775991326206706,4.121464465243408,mixed
31,32,19,2',9.77,3.64,2.63e-06,0.98,4.3136,[35],[96],8.0,3.0560630209665396,3.3625640589486934,3.311138128171595,2.956149796515976,2.9536886452247026,2.89960223558068,mixed
32,33,1'',3',5.23,2.65,1.43e-05,0.99,3.2512,[113],[108],5.0,3.7675784166760176,4.119478326710148,3.341128181650861,3.7043074446279096,4.034085153984464,4.115922374627763,extracyclic
33,34,1'',5',5.23,3.45,9.64e-06,0.99,3.4816,[113],[91],5.0,4.037582431798251,4.218296487136718,3.6807528946710066,4.026887932700223,4.229054082495623,4.269312959142241,extracyclic
