,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.9842180058966283,4.308018643704478,4.18702602491776,4.094098042893483,3.6244103498005393,3.9724293172616236,macrocycle
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,2.4704714575513544,2.4602123367775635,2.467623438914714,2.4801826457406992,2.4462220298760604,2.5005042793053542,macrocycle
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,2.6950357759683423,2.6810288164054867,2.679929646139433,2.718082577389805,2.6902549650712784,2.7073405367205954,macrocycle
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.3601903386832843,2.3477298839252994,2.347721682562747,2.354484663034422,2.375988764344106,2.3762834486300157,macrocycle
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,3.333660997378595,3.308677385012302,3.3060504516432725,3.2564482476089394,3.459350443814358,3.3617951711528793,macrocycle
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,3.0270799857980224,3.067362327123699,3.0734684081484875,3.058074520045357,2.986781017529288,2.9621156037973555,macrocycle
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,3.9887965597199293,4.13022143965314,4.091472062252021,4.045479730738838,3.860972950938673,3.871872480544652,macrocycle
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.4672418078173224,2.455601496131124,2.4585862248605093,2.4500874203223124,2.4751076731429307,2.499025754708221,macrocycle
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,3.0253121802931155,3.0675186211402035,3.0782092518138,2.956470616874533,3.065084824282648,2.9750182623400945,macrocycle
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,3.058552531023939,3.06582503663551,3.0648375176791847,3.0548793070252196,3.0504072837221448,3.0570132747628853,macrocycle
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,3.964395726238819,3.9227663699652964,3.901693657239864,3.961008995444337,4.177188701666159,3.9028888520508955,macrocycle
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.7834660958225634,3.844445726183503,3.8043262463959095,3.7761283637923784,3.7281722018443935,3.7710872754406832,macrocycle
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,4.788007737555303,4.7782452617310796,4.783370094750005,4.823527078912675,4.788183805106319,4.767998533903345,macrocycle
