,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.6842951099677315,3.6386489082778484,3.590554208258159,3.7872011672227703,3.7578570914260427,3.6725747730013243,macrocycle
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,2.648008232489107,2.8570330124746617,2.7746787087541502,2.520205058618342,2.559727260114628,2.631000510628032,macrocycle
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,2.773727004332715,2.784595248394084,2.8222716552668485,2.7474172167457347,2.757299357519491,2.761472917948314,macrocycle
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.392366148890079,2.3817646439456914,2.3987229048164855,2.3885649398746946,2.406571866179096,2.386789118566969,macrocycle
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,3.3783280940015654,3.2925475915215605,3.350422909025766,3.3471302770491693,3.5249041373711965,3.4074369668322295,macrocycle
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,2.9741975498672306,3.01701918024706,2.998423037383283,3.0037862289241684,2.8844002179783965,2.981486564979019,macrocycle
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,4.041637593458849,4.494507531149198,4.225606054957785,3.967966173950365,3.9004747750173854,3.843904499292545,macrocycle
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.460125300628686,2.42752353021156,2.438255246885736,2.4561695030030952,2.49022630508197,2.493517171725021,macrocycle
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.632737128901539,2.475683457863055,2.524595139990314,2.83727174616289,2.7458681446322126,2.7038244654702375,macrocycle
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,3.0374958740565985,3.05797102057286,3.0311313292252313,3.025284047315455,3.04419221650986,3.029717462900173,macrocycle
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,4.102940688960292,4.456739410467259,4.1189613691767155,4.0263136087989775,4.175386532900757,3.8818475217082513,macrocycle
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.5939731810784856,3.6993037605345953,3.464036895814386,3.5018737513897613,3.683457747955324,3.671003214659257,macrocycle
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,5.048262437489414,5.3574659316906335,5.2295271490639355,4.894994637944677,4.922983796544015,4.950254710015598,macrocycle
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[65],[76],8.0,4.097198247712331,4.407413613661889,4.16669137137762,3.9970292523891153,4.092907835871646,3.929905012779064,macrocycle
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[65],[62],4.0,2.872732452270426,3.1036125589735186,3.0007315417257785,2.7297654245783702,2.8023726043683372,2.8350383766611813,macrocycle
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[69],[70],3.0,2.4319353627284688,2.4450689504467196,2.441832342324029,2.426445212830563,2.424390102524055,2.422577951537605,macrocycle
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[71],4.0,3.2541030408796203,3.2012708563205083,3.2573868070990986,3.2805982620771457,3.254905351078569,3.28100365858202,macrocycle
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[72],4.0,3.808555411695433,3.8013208523423057,3.8150235130917016,3.811644773431743,3.803031236594589,3.811890401947226,macrocycle
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[71],6.0,3.018892338717788,3.0433126398420303,3.0324615005208955,2.973411298026356,3.0835259716194385,2.972335390554827,macrocycle
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[72],6.0,4.489163095337518,4.512763440405836,4.484301552070129,4.443109081963562,4.557654536926451,4.4545980367462334,macrocycle
18,19,12,14A,6.19,2.56,2.42e-05,0.98,2.9824,[66],"[64, 63]",4.0,2.8096012843754297,3.034395225526509,2.9383959868693665,2.687202533530615,2.731068829428895,2.759552120785265,macrocycle
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[71],6.0,3.749178360203178,3.694193021729511,3.7458449321395513,3.7562268193962463,3.7606246858466106,3.7939283127116874,macrocycle
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[72],6.0,5.08435161376134,5.063879917220714,5.095052705569849,5.061160917668795,5.090413852374601,5.112560446843094,macrocycle
20,21,10,20,5.77,0.96,5.38e-05,0.99,2.6112,[68],"[115, 116, 117]",5.0,2.740084909025144,2.715197673187853,2.7516180911031194,2.7493130646709982,2.733117186191856,2.752522730300406,mixed
21,22,13,16,5.68,1.33,3.12e-06,0.98,4.1984,[65],"[59, 60, 61]",5.0,3.199815858687299,2.945779407679299,3.0597103195688953,3.7017431279761883,3.3312825275343556,3.289866824595982,mixed
22,23,9,20,4.22,0.96,8.04e-06,0.99,3.584,[69],"[115, 116, 117]",4.0,3.5258585475131325,3.589577562021736,3.415127944695265,3.5064901224634575,3.585010222750418,3.554708048196342,mixed
23,24,11,20,6.38,0.96,9.42e-06,0.98,3.4944,[67],"[115, 116, 117]",6.0,5.06337736408924,5.0995839028615,5.116827971294567,5.085838730023516,5.135407180324012,4.90478490323947,mixed
24,25,12,16,6.19,1.33,1.95e-06,0.98,4.544,[66],"[59, 60, 61]",6.0,4.958665148339449,4.960153072447994,4.918091759567048,4.9352716307821085,4.963100074731517,5.020952839968421,mixed
25,26,12,20,6.19,0.96,3.26e-06,0.98,4.16,[66],"[115, 116, 117]",7.0,5.109626419570916,5.05543012359766,5.011830274514175,5.113422615653704,5.173084452713754,5.212950475581576,mixed
26,27,19,9,9.77,4.22,3.68e-06,0.98,4.0832,[114],[69],7.0,4.222781464583369,4.239421635975276,4.293825407652057,4.20295620536093,4.102527932119125,4.297060096267799,mixed
27,28,1''',9,4.65,4.22,3.37e-05,0.97,2.816,[118],[69],4.0,2.517667589341754,2.525794085340043,2.5161273992828317,2.5195076655287356,2.506192129484395,2.521016542005123,mixed
28,29,1''',8,4.65,2.06,5.14e-05,0.98,2.6368,[118],[70],5.0,2.363180384857851,2.341248148986263,2.3671407937679425,2.370564817714484,2.374618999835988,2.3633541667612668,mixed
29,30,1',3,4.5,3.86,6.19e-05,0.99,2.5472,[83],[76],6.0,3.197523428603958,3.11968758428058,3.236017288137536,3.302790094321369,3.14886210609735,3.2027875865005466,mixed
30,31,11,1''',6.38,4.65,4.15e-06,0.99,4.0064,[67],[118],6.0,4.016456476511424,4.104347937206519,4.08171346756984,3.954326768463029,3.9045773286664547,4.0644541621220185,mixed
31,32,19,2',9.77,3.64,2.63e-06,0.98,4.3136,[114],[84],8.0,3.5893469857907294,3.9128780964672636,3.8307170688284398,3.708882033657757,3.637274950669049,3.2024571012456042,mixed
32,33,1'',3',5.23,2.65,1.43e-05,0.99,3.2512,[91],[85],5.0,4.1729231191415375,3.9464757130515737,4.262077096799959,4.233831595672077,4.215993001650945,4.2753965628039,extracyclic
33,34,1'',5',5.23,3.45,9.64e-06,0.99,3.4816,[91],[87],5.0,3.8032650607107534,3.6755078323879893,3.722142983064076,3.8727531501451518,4.044023445282309,3.7752386213702875,extracyclic
