,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.636511669958743,3.9722210462128227,3.5078234179517658,3.4942060108023867,3.479501610122378,3.963938262411669
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,3.1682030223485564,3.4952188255575,2.9435590736159627,3.247062789743096,3.010449484081942,3.3875517791863077
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,3.201584725865056,3.0177668144080205,3.1711003478304485,3.374785136401848,3.2689949024861615,3.256131423661766
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.6006163351165834,2.4059834726796567,2.6036406626800055,2.7483865588578094,2.570514763289862,2.814754430740718
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,2.7493259731094897,2.652831576801261,2.80577236028316,2.7874973047139866,2.825240058922693,2.7035913710784087
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,2.983618875276382,3.029252134812586,2.9945867103436608,3.0007407132849213,2.934539795672606,2.9651606514151423
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,4.422266153848986,5.050069770893453,4.261290752940788,4.499125440855172,4.2077339210672875,4.386113818952182
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.4823920674094992,2.4409151017383817,2.4885614381522942,2.4893600400902134,2.497057070327361,2.4994260126328505
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.3818365352031527,2.331007958702213,2.4507183170807147,2.367991726493746,2.417521922472164,2.355563489927744
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,2.6607937778243116,3.0244553838022004,2.656218373060335,2.5665295528071046,2.7134202396008726,2.5171196719826
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,4.015622634234608,4.513504374269931,3.907217088207789,3.993541874109307,4.096375131603257,3.7945697829502967
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.0200166395834898,3.7444919143284974,3.001631913145632,2.854491143537032,3.088110989831872,2.851855412715147
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,5.720596987907914,5.895451517470258,5.517997667168216,5.843979016582011,5.499134771046293,5.966800052874821
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[65],[76],8.0,4.573825934864829,5.147561919599316,4.316571335893143,4.5212904972309085,4.644507074349022,4.495818960818513
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[65],[62],4.0,3.0416957269241287,3.6574217362164587,2.907404302777276,2.9464509241336216,3.086238039853339,2.9380728047058966
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[69],[70],3.0,2.4369293047158296,2.4985744626828357,2.4252698167736924,2.404410200476738,2.447672253748649,2.416385586491624
