,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.8669610896052067,4.015215718961614,4.064203656062804,4.089670693733313,3.9183399654822315,3.499127216900828
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,3.2414495005163246,3.0326430708115995,3.4915622798666384,3.5604766704780455,3.153237563250237,3.1811312291080096
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,3.3841318426168003,3.2717107102960767,3.4251682858554533,3.396601476852302,3.3610041093134466,3.4944799647046763
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.706222571346891,2.6832323252048207,2.595490933980193,2.7385711760945326,2.869269748813938,2.6940410068330127
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,2.9035345739802088,3.1022883877602245,2.8060369918114225,2.7760533177193754,2.8784532383383574,3.054478713689396
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,2.83324509372782,2.5780840243656646,2.848765771582138,3.0077514144503397,3.0322671333932965,2.879969915626281
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,3.504818376631337,3.513249589004408,3.5824921122330498,4.063942322029988,3.4802667588074825,3.2135390544921947
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.5506720413979695,2.7147467488466672,2.520291981720237,2.487377377790623,2.511351559829946,2.560542008832747
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.3543780749750804,2.3967795757606254,2.3099347185416628,2.309747166063292,2.380987116876256,2.385622334815396
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,2.704653584431498,2.831792578020616,2.7705668338479357,2.669745745321153,2.5992102527940633,2.693595894037244
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,3.9273542750420507,3.9067087603019774,4.058399988842909,3.882525008960802,3.799868305880744,4.030176657165612
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,2.6755046859557217,3.11930973130631,2.8065588910141672,2.5536373462969393,2.506097890151286,2.6547358798635976
