,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,6,6.25,2.31,9.84e-06,0.99,2.82,[67],[73],7.0,2.587351116662573,2.5525964279095508,2.726408683013015,2.5920811994611475,2.573366021610145,2.5230915385352013,macrocycle
1,2,11,9,6.25,4.05,4.68e-06,0.99,3.19,[67],[69],4.0,2.3580750536968815,2.3537088431514968,2.4150279069039366,2.3521162587339046,2.3419023922455975,2.3335363181819493,macrocycle
2,3,11,3,6.25,3.81,7e-06,0.99,2.98,[67],[76],10.0,3.325696373214658,3.408812533777171,3.1610448342687603,3.3042769361229167,3.327510936486413,3.4927435142446,macrocycle
3,4,12,3,6.01,3.81,1.34e-06,0.98,3.93,[66],[76],9.0,4.055669272709453,4.147910309448667,3.816952880341005,4.040351310824947,4.1023672960733135,4.273487409358293,macrocycle
4,5,12,10,6.01,5.69,3.81e-06,0.98,3.3,[66],[68],4.0,2.4767462812661374,2.4822122711368197,2.4896626921322222,2.469297877784631,2.4661454421320244,2.4769273308929147,macrocycle
5,6,13,3,5.56,3.81,1.57e-06,0.99,3.83,[65],[76],8.0,3.9576350629253163,4.014198149556221,3.766901861419087,3.983874368818788,3.986277304813962,4.092487436919144,macrocycle
6,7,5,6,4.12,2.31,2.2e-05,0.99,2.47,[74],[73],3.0,2.453052868597966,2.460293019098725,2.4728747348737197,2.453210358924766,2.443640332386692,2.4363995569246333,macrocycle
7,8,3,4,3.81,3.07,8.89e-06,0.99,2.87,[76],[75],3.0,2.4825050370175124,2.487783236464514,2.447482008914292,2.4835809175532604,2.492129140048684,2.504162570116092,macrocycle
8,9,11,8,6.25,1.95,3.3e-07,0.97,4.96,[67],[70],5.0,3.9029732805212873,4.03892765663674,3.43103928871862,4.036707089589698,4.325413449923325,4.180560448722554,macrocycle
9,10,5,3,4.12,3.81,2.83e-06,0.98,3.47,[74],[76],4.0,2.3758575873848367,2.3448302813153212,2.4973221360445765,2.377855119382976,2.36283302453015,2.3218308651125152,macrocycle
10,11,12,14B,6.01,2.1,3.77e-06,0.99,3.31,[66],"[63, 64]",4.0,2.6553577264762165,2.6252272948583317,2.6326003912020517,2.700295628117288,2.6978342431917683,2.628562168000759,macrocycle
11,12,12,2B,6.01,2.25,8.7e-07,0.99,4.22,[66],"[77, 78]",8.0,4.698654304299445,4.792146791081288,4.4515520959616035,4.713426793001897,4.771540468167866,4.841495823920935,macrocycle
12,13,4,2B,3.07,2.25,3.09e-06,0.97,3.42,[75],"[77, 78]",4.0,2.993890700991999,3.036740872041535,2.9105755421670536,2.985570525552844,2.9912157075315102,3.0612691182557503,macrocycle
13,14,10,20,5.69,0.99,3.35e-06,0.99,3.37,[68],"[114, 115, 116]",5.0,2.728018153517186,2.727208956512267,2.738966679399149,2.7228317800843427,2.7170963180429726,2.734381033532729,mixed
14,16,9,18A,4.05,2.78,2.07e-06,0.98,3.66,[69],"[111, 112]",6.0,2.827235556387891,2.835995370483599,2.8789060910474884,2.8392330145411653,2.800046384772108,2.7883043356040855,mixed
15,17,19,5,9.82,4.12,2.79e-06,0.99,3.48,[113],[74],5.0,2.536457078274193,2.500385620814238,2.4633408275968165,2.5013687105784883,2.6056634330821487,2.643476458216468,mixed
16,18,18A,8,2.78,1.95,3.55e-06,0.99,3.34,"[111, 112]",[70],5.0,2.442977741645129,2.4105398508482674,2.425144522315323,2.434399712544884,2.4702569707489745,2.4795595818339455,mixed
17,19,11,1''',6.25,4.38,1.94e-06,0.99,3.69,[67],[117],6.0,4.304040247216782,4.33822139217711,4.230381366989159,4.335428276678287,4.2892722409022115,4.334137656839997,mixed
18,20,1',5,4.48,4.12,9.52e-06,0.99,2.83,[83],[74],4.0,2.3383550249480165,2.319096950351675,2.360717787904655,2.345029080522346,2.33930674471982,2.3291185133732433,mixed
19,21,1',4,4.48,3.07,1.01e-06,0.98,4.12,[83],[75],5.0,3.8880290469834917,3.9701689936657383,3.7004930811054217,3.9044596853912976,3.9313817514113976,3.9855046965983902,mixed
20,22,1''',8,4.38,1.95,8.24e-06,0.98,2.9,[117],[70],5.0,2.3441269716440942,2.3399671979892003,2.388069913075965,2.3311950017434233,2.3302931924213373,2.3345621903188687,mixed
21,23,1''',9,4.38,4.05,1.6e-05,0.99,2.6,[117],[69],4.0,2.591313094483288,2.587949920034667,2.553225948855355,2.606345757832567,2.6115531619451247,2.60050022857881,mixed
