,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,6,6.25,2.31,9.84e-06,0.99,2.82,[49],[37],7.0,2.776144141897835,3.332008690737454,2.885069832486721,2.6951264730303457,2.594587287410519,2.7018763084201876
1,2,11,9,6.25,4.05,4.68e-06,0.99,3.19,[49],[45],4.0,2.516581404832418,2.6838288322182526,2.5903672526868537,2.4655987434794997,2.4169385681863016,2.4866232322045985
2,3,11,3,6.25,3.81,7e-06,0.99,2.98,[49],[72],10.0,3.681430153588601,4.207473829650311,3.677937763491955,3.6714320640157494,3.4469898816275575,3.6545004602988747
3,4,12,3,6.01,3.81,1.34e-06,0.98,3.93,[51],[72],9.0,3.95721804509117,4.28504736069297,3.8062483707978934,3.9017794321880688,3.816488960415682,4.119420015948647
4,5,12,10,6.01,5.69,3.81e-06,0.98,3.3,[51],[47],4.0,2.6253205473449617,2.65194643972775,2.6531391326335467,2.6427802179429727,2.5650197634434004,2.621222998289525
5,6,13,3,5.56,3.81,1.57e-06,0.99,3.83,[53],[72],8.0,4.055833301806922,4.433363380745809,4.152166501477762,4.050762181282871,3.8658644153631467,3.932223211558343
6,7,5,6,4.12,2.31,2.2e-05,0.99,2.47,[81],[37],3.0,2.4539460089290372,2.4704740674585173,2.4643498605096785,2.442875021927014,2.4445829115693885,2.4483320525724923
7,8,3,4,3.81,3.07,8.89e-06,0.99,2.87,[72],[79],3.0,2.537295800960211,2.5498835338379426,2.5295709352285085,2.5417494590775274,2.5261007701560767,2.5396830157373502
8,9,11,8,6.25,1.95,3.3e-07,0.97,4.96,[49],[44],5.0,3.027394434094643,2.636050757852249,2.921385940747843,3.191803867016162,3.6992494599468753,3.473295008190727
9,10,5,3,4.12,3.81,2.83e-06,0.98,3.47,[81],[72],4.0,2.4276061103807853,2.3763017781596343,2.4754707104783775,2.4142923023713,2.460630350818212,2.4203446011651417
10,11,12,14B,6.01,2.1,3.77e-06,0.99,3.31,[51],"[55, 56]",4.0,2.7868783916261104,2.8577092222666094,2.8214370861582867,2.7985182657860745,2.7271252383566607,2.744250888563096
11,12,12,2B,6.01,2.25,8.7e-07,0.99,4.22,[51],"[67, 68]",8.0,4.517993193468779,4.371780391595983,4.5175551260526765,4.6260630693942195,4.546078113486802,4.556834718684746
12,13,4,2B,3.07,2.25,3.09e-06,0.97,3.42,[79],"[67, 68]",4.0,2.9450759526212353,2.953303777334133,2.9464676242842973,2.950642296548142,2.9233668517367164,2.9523517886960664
13,14,10,20,5.69,0.99,3.35e-06,0.99,3.37,[47],"[41, 42, 43]",5.0,3.0361674972943127,3.793284935639762,3.15108436655894,2.9456103624907364,2.84068828908576,2.926552191792695
14,16,9,18A,4.05,2.78,2.07e-06,0.98,3.66,[45],"[35, 36]",6.0,2.97137211374977,3.8121797870154124,3.1354446656047474,2.8766956299220316,2.7784524988136146,2.829561920336745
15,17,19,5,9.82,4.12,2.79e-06,0.99,3.48,[34],[81],5.0,2.7291051371278225,2.664294072674256,2.537950954664741,2.7656281515591763,2.806429465154991,3.033869624798253
16,18,18A,8,2.78,1.95,3.55e-06,0.99,3.34,"[35, 36]",[44],5.0,2.755844518002351,2.9224802523169076,2.759210565900851,2.720583418762264,2.668537067283542,2.7509207040746118
17,19,11,1''',6.25,4.38,1.94e-06,0.99,3.69,[49],[25],6.0,4.349776233417441,4.416952034635553,4.324389437010951,4.267632871035537,4.42264790001164,4.331352185808905
18,20,1',5,4.48,4.12,9.52e-06,0.99,2.83,[91],[81],4.0,2.3645600521308827,2.3359107600428612,2.368924479457333,2.3663080779614862,2.3746276169210914,2.378759215209783
19,21,1',4,4.48,3.07,1.01e-06,0.98,4.12,[91],[79],5.0,3.8972589015255727,4.004651892486129,3.9075147801968564,3.943481998109728,3.7203997732675957,3.9567675207126483
20,22,1''',8,4.38,1.95,8.24e-06,0.98,2.9,[25],[44],5.0,2.5044939316000283,3.168184839230011,2.6656198467963415,2.4331221523080924,2.3271297928995622,2.3897922336782975
21,23,1''',9,4.38,4.05,1.6e-05,0.99,2.6,[25],[45],4.0,2.440413900021277,2.324553686696868,2.3784899918064517,2.4776328593158845,2.5601020615564103,2.516941492453466
