,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,6,6.25,2.31,9.84e-06,0.99,2.82,[67],[73],7.0,2.602133498518602,2.567748871590993,2.5903936519246518,2.640543946307557,2.6214295235063108,2.5948587665671106,macrocycle
1,2,11,9,6.25,4.05,4.68e-06,0.99,3.19,[67],[69],4.0,2.372383528930343,2.3829000893723458,2.3713292649089937,2.392771760217954,2.376509596466466,2.340726994281643,macrocycle
2,3,11,3,6.25,3.81,7e-06,0.99,2.98,[67],[76],10.0,3.4633110506510842,4.309614760747057,3.51345407336983,3.4094225267794704,3.337614412720704,3.2492906376197483,macrocycle
3,4,12,3,6.01,3.81,1.34e-06,0.98,3.93,[66],[76],9.0,4.250643648097032,5.126640065536257,4.451607833492034,4.1590793627616565,4.1346059663339405,3.93163096821518,macrocycle
4,5,12,10,6.01,5.69,3.81e-06,0.98,3.3,[66],[68],4.0,2.4760448196127034,2.462945281608514,2.4647902999603044,2.486534678931803,2.494710256631133,2.472327004458639,macrocycle
5,6,13,3,5.56,3.81,1.57e-06,0.99,3.83,[65],[76],8.0,4.1727055289667625,5.505878485287411,4.361787664662334,4.08590490795193,3.9953061359349733,3.853596523480545,macrocycle
6,7,5,6,4.12,2.31,2.2e-05,0.99,2.47,[74],[73],3.0,2.432328398108851,2.4194280086747795,2.4355836637751986,2.437972608601516,2.4419332219307703,2.4271975941970667,macrocycle
7,8,3,4,3.81,3.07,8.89e-06,0.99,2.87,[76],[75],3.0,2.5252277282110844,2.6167032980030296,2.537614061312856,2.51810856154042,2.5027909451696346,2.467410955260256,macrocycle
8,9,11,8,6.25,1.95,3.3e-07,0.97,4.96,[67],[70],5.0,3.76021478976781,3.5541592066298855,3.364196267740722,3.9829410036540462,4.276000174409066,4.253361686111323,macrocycle
9,10,5,3,4.12,3.81,2.83e-06,0.98,3.47,[74],[76],4.0,2.3146765390813453,2.196922061672653,2.291938512048969,2.329171237369796,2.360963088304045,2.4450219596011493,macrocycle
10,11,12,14B,6.01,2.1,3.77e-06,0.99,3.31,[66],"[64, 63]",4.0,2.815033048703655,3.357673301077476,2.941215038973863,2.7894798452424037,2.699835628462722,2.618749971955433,macrocycle
11,12,12,2B,6.01,2.25,8.7e-07,0.99,4.22,[66],"[77, 78]",8.0,4.784949340342025,5.096646002601793,4.785247028223474,4.775599170530808,4.7075785465836,4.641076242839099,macrocycle
12,13,4,2B,3.07,2.25,3.09e-06,0.97,3.42,[75],"[77, 78]",4.0,2.980691735409413,3.0505261606458682,2.9796736157342414,2.968180935325466,2.967400681342733,2.9450054819210445,macrocycle
13,14,10,20,5.69,0.99,3.35e-06,0.99,3.37,[68],"[114, 115, 116]",5.0,2.7442741143461142,2.775353300565328,2.782960559577033,2.72880600681636,2.7158019235500825,2.723422605275287,mixed
14,16,9,18A,4.05,2.78,2.07e-06,0.98,3.66,[69],"[112, 111]",6.0,2.8162287322753228,2.896862109399421,2.9124074974065266,2.812014784607088,2.789942973229886,2.7057517772061717,mixed
15,17,19,5,9.82,4.12,2.79e-06,0.99,3.48,[113],[74],5.0,2.884225751620344,3.1114577572014808,2.753823255210607,2.789825347355915,2.809236943553186,3.09624955019582,mixed
16,18,18A,8,2.78,1.95,3.55e-06,0.99,3.34,"[112, 111]",[70],5.0,2.5368193637733505,2.558948009832862,2.5101470396941155,2.5139958772220554,2.512980524758073,2.5957442122603163,mixed
17,19,11,1''',6.25,4.38,1.94e-06,0.99,3.69,[67],[117],6.0,4.607623809327606,4.7890414065890035,4.571422342728023,4.5710887336214014,4.6742892874774125,4.474696436686939,mixed
18,20,1',5,4.48,4.12,9.52e-06,0.99,2.83,[83],[74],4.0,2.355862074387893,2.3305929541661135,2.346042783499095,2.358076546493065,2.367317154739597,2.379403849748885,mixed
19,21,1',4,4.48,3.07,1.01e-06,0.98,4.12,[83],[75],5.0,3.9351652230687084,4.033435993785183,3.9325833720197503,3.921518498079726,3.9143092106050386,3.884916820721011,mixed
20,22,1''',8,4.38,1.95,8.24e-06,0.98,2.9,[117],[70],5.0,2.3156553885270603,2.322572556366058,2.351712340021774,2.306300304361653,2.2951978750285975,2.3053943510712216,mixed
21,23,1''',9,4.38,4.05,1.6e-05,0.99,2.6,[117],[69],4.0,2.654539757280399,2.631301228153313,2.6202070770936254,2.6543143047645037,2.6965741075704326,2.6754391520784604,mixed
