,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,6,6.25,2.31,9.84e-06,0.99,2.82,[67],[73],7.0,2.9110510126118365,3.5680511281287863,3.318798564276793,3.2643898209343174,2.5418929115516176,2.7236623973700387,macrocycle
1,2,11,9,6.25,4.05,4.68e-06,0.99,3.19,[67],[69],4.0,2.584331302234574,2.749585375965187,2.948227398652973,2.9131702519994613,2.360478354958496,2.378042927892285,macrocycle
2,3,11,3,6.25,3.81,7e-06,0.99,2.98,[67],[76],10.0,3.5560242111994316,3.8373900385994175,4.0588704136385125,4.038646905057295,3.6398895756397556,3.0366012548306234,macrocycle
3,4,12,3,6.01,3.81,1.34e-06,0.98,3.93,[66],[76],9.0,3.937612749881935,3.8103425390480465,4.044768904074735,4.037158341928148,4.25016430389822,3.706446338861844,macrocycle
4,5,12,10,6.01,5.69,3.81e-06,0.98,3.3,[66],[68],4.0,2.5981607932874407,2.6190306444679234,2.739863045353009,2.828019362089948,2.4771779667038842,2.460239653014634,macrocycle
5,6,13,3,5.56,3.81,1.57e-06,0.99,3.83,[65],[76],8.0,4.133637345805126,4.22650924500172,4.436589303932024,4.680369328329862,4.242313944770256,3.641292714192871,macrocycle
6,7,5,6,4.12,2.31,2.2e-05,0.99,2.47,[74],[73],3.0,2.4659662188096423,2.479884354593725,2.4575443141522477,2.4571975935785675,2.455706782587825,2.480423831388267,macrocycle
7,8,3,4,3.81,3.07,8.89e-06,0.99,2.87,[76],[75],3.0,2.495091215039079,2.4734349731451752,2.5344841349198717,2.5619060686306545,2.503378268057266,2.419629304013866,macrocycle
8,9,11,8,6.25,1.95,3.3e-07,0.97,4.96,[67],[70],5.0,2.986337429135256,2.6751957592456743,2.7416589743822732,3.134866439963904,3.539361143069285,3.6777956617909444,macrocycle
9,10,5,3,4.12,3.81,2.83e-06,0.98,3.47,[74],[76],4.0,2.3754197969002204,2.4589534855960733,2.3190242284249116,2.2696920546814976,2.314315457437389,2.625238475368815,macrocycle
10,11,12,14B,6.01,2.1,3.77e-06,0.99,3.31,[66],"[64, 63]",4.0,2.6847183408470823,2.841219996309329,2.7122196038179345,2.6478038286357606,2.6446774561872393,2.616669295435579,macrocycle
11,12,12,2B,6.01,2.25,8.7e-07,0.99,4.22,[66],"[77, 78]",8.0,4.480597504261936,4.196028947701863,4.461406848637669,4.736391615247212,4.7596821901402295,4.424273632170561,macrocycle
12,13,4,2B,3.07,2.25,3.09e-06,0.97,3.42,[75],"[77, 78]",4.0,2.9619981659240926,2.926442085838528,2.9682795988209727,3.0029634639793557,3.0694513148741667,2.869736037587589,macrocycle
13,14,10,20,5.69,0.99,3.35e-06,0.99,3.37,[68],"[114, 115, 116]",5.0,2.888943534101507,3.417796166973854,3.0101211135857557,2.821955604543773,2.7779608770681588,2.7193358945517754,mixed
14,16,9,18A,4.05,2.78,2.07e-06,0.98,3.66,[69],"[112, 111]",6.0,3.0812008826203217,3.724783117230567,3.3422668252497365,3.1164625858304777,2.8844671772951442,2.8356134666148285,mixed
15,17,19,5,9.82,4.12,2.79e-06,0.99,3.48,[113],[74],5.0,2.5710371033463315,2.58977779662001,2.73793447202824,2.717807517582627,2.5060401768180363,2.4099886730307056,mixed
16,18,18A,8,2.78,1.95,3.55e-06,0.99,3.34,"[112, 111]",[70],5.0,2.5140143364134944,2.6644168620570285,2.6063548477810636,2.507889929785261,2.4405386404043132,2.412860292555014,mixed
17,19,11,1''',6.25,4.38,1.94e-06,0.99,3.69,[67],[117],6.0,4.444359511201875,4.353707583787464,4.760273036251833,4.6413130139080065,4.247447876071625,4.359461242927165,mixed
18,20,1',5,4.48,4.12,9.52e-06,0.99,2.83,[83],[74],4.0,2.352629492053824,2.3742118860431596,2.3480022942786105,2.3269050080663387,2.315727584637518,2.4061526202245522,mixed
19,21,1',4,4.48,3.07,1.01e-06,0.98,4.12,[83],[75],5.0,3.891265571817521,3.829209633974187,3.9036961246036728,3.962327895740239,3.987020976906292,3.798205862915193,mixed
20,22,1''',8,4.38,1.95,8.24e-06,0.98,2.9,[117],[70],5.0,2.478241875907889,2.9772556521912383,2.588547134446385,2.3906240739697266,2.373039743870349,2.354736417499876,mixed
21,23,1''',9,4.38,4.05,1.6e-05,0.99,2.6,[117],[69],4.0,2.5024415852774347,2.395526062284685,2.4397430650621112,2.542813624835034,2.56774403114603,2.613395308371641,mixed
