,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,6,6.25,2.31,9.84e-06,0.99,2.82,[67],[73],7.0,2.9803730821215026,2.855760240984211,3.0613851103375227,3.0146467550710736,2.908902001635499,3.1157246898888364,macrocycle
1,2,11,9,6.25,4.05,4.68e-06,0.99,3.19,[67],[69],4.0,2.456141735903636,2.430019875044934,2.521761654345771,2.480836134954365,2.4211836497393997,2.4368304427183456,macrocycle
2,3,11,3,6.25,3.81,7e-06,0.99,2.98,[67],[76],10.0,2.916974987683111,2.8075715881796977,3.035467056610421,2.8838215468392776,2.8650752241195185,3.0468534864360555,macrocycle
3,4,12,3,6.01,3.81,1.34e-06,0.98,3.93,[66],[76],9.0,4.503192706243973,4.374242960198161,4.266335892790842,4.354872166530581,4.695817803227987,5.190767285972512,macrocycle
4,5,12,10,6.01,5.69,3.81e-06,0.98,3.3,[66],[68],4.0,2.540963006068724,2.5369402917897776,2.5577102083333476,2.537127321151967,2.5139141460155474,2.5611311478554133,macrocycle
5,6,13,3,5.56,3.81,1.57e-06,0.99,3.83,[65],[76],8.0,4.8973747182376215,4.57498384957026,5.0224172422791025,4.702781046747323,4.952617206576542,5.647201009955914,macrocycle
6,7,5,6,4.12,2.31,2.2e-05,0.99,2.47,[74],[73],3.0,2.445512207941695,2.434421852230858,2.452170842541637,2.4406064581370157,2.441083576040102,2.459872917779375,macrocycle
7,8,3,4,3.81,3.07,8.89e-06,0.99,2.87,[76],[75],3.0,2.5381185653468497,2.525194370755197,2.547405156296419,2.533024544064306,2.5354203830423474,2.550142564609199,macrocycle
8,9,11,8,6.25,1.95,3.3e-07,0.97,4.96,[67],[70],5.0,3.8816511920351164,4.16803655252577,3.876611301814675,3.7974312088697095,4.028360201640757,3.670545413929807,macrocycle
9,10,5,3,4.12,3.81,2.83e-06,0.98,3.47,[74],[76],4.0,2.6691109732881957,2.697346025036733,2.609243439003756,2.73483037178126,2.6849510741003173,2.6326411922384594,macrocycle
10,11,12,14B,6.01,2.1,3.77e-06,0.99,3.31,[66],"[63, 64]",4.0,3.4666757848060055,3.3401818063810325,3.6769137706873027,3.392829986279785,3.4680393317727507,3.5201757600364485,macrocycle
11,12,12,2B,6.01,2.25,8.7e-07,0.99,4.22,[66],"[77, 78]",8.0,5.307611473095621,5.074382059466736,5.511304105536313,5.2041760294665345,5.360542600016467,5.480275298065109,macrocycle
12,13,4,2B,3.07,2.25,3.09e-06,0.97,3.42,[75],"[77, 78]",4.0,2.8573929536933806,2.832541695849567,2.8778568290428397,2.8388843474414385,2.8304251800458458,2.91354322154981,macrocycle
13,14,10,20,5.69,0.99,3.35e-06,0.99,3.37,[68],"[114, 115, 116]",5.0,2.93018836304429,2.8439888067132295,3.0233462632969754,2.9757755714419796,2.868453557905406,2.967342626121361,mixed
14,16,9,18A,4.05,2.78,2.07e-06,0.98,3.66,[69],"[111, 112]",6.0,3.0761371066054584,2.9299237435317376,3.3095027883881216,3.0740208161634452,2.987851245003878,3.179101896347207,mixed
15,17,19,5,9.82,4.12,2.79e-06,0.99,3.48,[113],[74],5.0,3.095355160656056,3.10871041449307,3.109700577284891,3.1520448697455814,3.122422873538996,2.999829273433254,mixed
16,18,18A,8,2.78,1.95,3.55e-06,0.99,3.34,"[111, 112]",[70],5.0,2.597852732518448,2.577878748606119,2.573284139291172,2.6080429933905256,2.6026609929822113,2.630323591419602,mixed
17,19,11,1''',6.25,4.38,1.94e-06,0.99,3.69,[67],[117],6.0,4.066782497413504,4.487378507591269,3.711124957694463,3.9052999314650316,4.276059191161433,4.3168652319540675,mixed
18,20,1',5,4.48,4.12,9.52e-06,0.99,2.83,[83],[74],4.0,2.415987180391076,2.423113105689088,2.3983836780136785,2.419427779626454,2.425299458411114,2.4143878022621714,mixed
19,21,1',4,4.48,3.07,1.01e-06,0.98,4.12,[83],[75],5.0,3.8174743062718166,3.7914425129266647,3.8688525821000948,3.7977173199048098,3.7975254328845276,3.8358405769904547,mixed
20,22,1''',8,4.38,1.95,8.24e-06,0.98,2.9,[117],[70],5.0,2.3837965409620727,2.3153913045646397,2.469599125163648,2.4224087377988277,2.3227139309828293,2.4155546275093935,mixed
21,23,1''',9,4.38,4.05,1.6e-05,0.99,2.6,[117],[69],4.0,2.5122158261931373,2.5751991129132437,2.445549197791491,2.4834032620620823,2.572085515878289,2.5026900134996763,mixed
