,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,11,6,6.25,2.31,9.84e-06,0.99,2.82,[67],[73],7.0,3.1513926531151535,3.3069431379800553,2.9784067792898306,3.18939739677704,3.6949807759062314,2.935000329472875,macrocycle
1,2,11,9,6.25,4.05,4.68e-06,0.99,3.19,[67],[69],4.0,2.39327491091678,2.4038599832540406,2.3888037277532694,2.391322060336057,2.411339642358801,2.37236825182473,macrocycle
2,3,11,3,6.25,3.81,7e-06,0.99,2.98,[67],[76],10.0,3.27136261358749,3.2378053493254093,3.3112936436524674,3.33279215454769,3.3236641144530847,3.1722245163709166,macrocycle
3,4,12,3,6.01,3.81,1.34e-06,0.98,3.93,[66],[76],9.0,4.52471346058695,4.3599433306212685,4.438956180462873,4.619057712704315,4.80412889017813,4.489845348323672,macrocycle
4,5,12,10,6.01,5.69,3.81e-06,0.98,3.3,[66],[68],4.0,2.5211610065880876,2.5118874634158646,2.510863690993474,2.5292495242267217,2.5230599621363354,2.5312486046736957,macrocycle
5,6,13,3,5.56,3.81,1.57e-06,0.99,3.83,[65],[76],8.0,4.589984019955063,4.553975012477821,4.382576644789232,4.6264920713157105,5.150851863527663,4.466631116720437,macrocycle
6,7,5,6,4.12,2.31,2.2e-05,0.99,2.47,[74],[73],3.0,2.4756758610803935,2.476116691666156,2.4691824488203746,2.4693232202257756,2.489406576333321,2.474732024891309,macrocycle
7,8,3,4,3.81,3.07,8.89e-06,0.99,2.87,[76],[75],3.0,2.5040073329607977,2.50321914651576,2.5025017694918428,2.5068053916111337,2.506007576720627,2.5015319019423696,macrocycle
8,9,11,8,6.25,1.95,3.3e-07,0.97,4.96,[67],[70],5.0,3.2368964144546606,3.189981713604981,3.237947341819278,3.178410791071448,3.093127165391829,3.656299422787282,macrocycle
9,10,5,3,4.12,3.81,2.83e-06,0.98,3.47,[74],[76],4.0,2.6309106892752743,2.682662384769621,2.581100202785918,2.6531708678064154,2.7522839043883316,2.526456048313475,macrocycle
10,11,12,14B,6.01,2.1,3.77e-06,0.99,3.31,[66],"[63, 64]",4.0,3.0153834772670396,3.13632934004956,2.885827523002646,3.0356178463800365,3.2538283042192386,2.880988519913945,macrocycle
11,12,12,2B,6.01,2.25,8.7e-07,0.99,4.22,[66],"[77, 78]",8.0,4.369698717883263,4.46164258094138,4.406540476321636,4.332590807579649,4.247560653458652,4.4239382065886375,macrocycle
12,13,4,2B,3.07,2.25,3.09e-06,0.97,3.42,[75],"[77, 78]",4.0,2.8911870271684053,2.8656776976812366,2.904618851475949,2.9250983588398616,2.897338403870471,2.8663817242515046,macrocycle
13,14,10,20,5.69,0.99,3.35e-06,0.99,3.37,[68],"[114, 115, 116]",5.0,2.9701877872999964,2.950412563466305,2.9717941499527756,3.0305288641667287,3.1328440473107246,2.8253524052815973,mixed
14,16,9,18A,4.05,2.78,2.07e-06,0.98,3.66,[69],"[111, 112]",6.0,3.4889232662082144,3.4525610710204653,3.31679597068043,3.420907175614313,4.09226708669208,3.4492486602418264,mixed
15,17,19,5,9.82,4.12,2.79e-06,0.99,3.48,[113],[74],5.0,2.60086049826044,2.625364522196509,2.5912128222684223,2.6279424964599727,2.525883497648516,2.6466552814238224,mixed
16,18,18A,8,2.78,1.95,3.55e-06,0.99,3.34,"[111, 112]",[70],5.0,2.8144710026781357,2.8301038669033924,2.7705211850552773,2.876217794617601,2.9493260030765933,2.693855407101335,mixed
17,19,11,1''',6.25,4.38,1.94e-06,0.99,3.69,[67],[117],6.0,3.696356344440208,3.6600041634869003,3.7014759818970315,3.7714272449537405,3.6637561088261243,3.692532090132654,mixed
18,20,1',5,4.48,4.12,9.52e-06,0.99,2.83,[83],[74],4.0,2.1003663091124656,2.1085003224412975,2.1090465723833898,2.1023305969971466,2.07474025060175,2.1086989175271285,mixed
19,21,1',4,4.48,3.07,1.01e-06,0.98,4.12,[83],[75],5.0,4.068280818434341,4.020029420475405,4.048571834953815,4.073392037440673,4.094132651984184,4.109709937232421,mixed
20,22,1''',8,4.38,1.95,8.24e-06,0.98,2.9,[117],[70],5.0,2.6719093644044554,2.645773968541916,2.611898123651888,2.7053574058019274,3.047384069767392,2.522954632809498,mixed
21,23,1''',9,4.38,4.05,1.6e-05,0.99,2.6,[117],[69],4.0,2.347457814762201,2.332995583499737,2.377698361531733,2.3563007682908568,2.3101543280588963,2.3644802109357075,mixed
