,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.617812835035501,3.034497870973749,3.8510004869524024,4.027697830854062,4.144944528518975,4.098035885469717
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,2.4577930937498107,2.4644906488562763,2.451068314695139,2.460105369141393,2.440714646684134,2.473490553550835
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,2.695069900921287,2.779343132910268,2.717157565427077,2.673884062175584,2.656982068910798,2.6612012629049375
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.383395239450721,2.462362803611717,2.4049730472163287,2.3633778733463346,2.3480183841181814,2.35139106779234
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,3.4337768647846127,3.7022070047764815,3.4519612360158956,3.341835918422734,3.3551704143497845,3.3959753896778095
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,2.9852533622388586,2.893992605497366,2.9121603905969424,3.016271998354249,3.0779511963662203,3.0596853413079206
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,3.6773947203918675,3.3861851643191594,3.443815013301594,3.8674462329570165,4.247305929337756,3.8874029897242215
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.4868113967288594,2.5189358074833685,2.4945168742682347,2.4818671932533314,2.4534138387821782,2.4884762501264044
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,3.060465137687618,3.0468276765585802,3.0453996649625803,3.078120711199948,3.0670119569076597,3.065877082484301
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,3.033396537679219,2.9811184048124773,3.0260879458654717,3.0522605682413886,3.058298342396004,3.054176863315706
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,3.9924417543768715,4.105830346210602,4.07475573443295,3.917810954854577,4.030396632031924,3.8701423960955244
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.6416055941120624,3.481428807557243,3.5669145526581323,3.7528526363434334,3.756089440663897,3.7113185165710454
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,4.787850272087643,4.853440436304167,4.764809033231071,4.778869004214988,4.76915154478698,4.776815031352253
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[65],[76],8.0,3.866206430208724,4.088879886553636,3.9262789941088605,3.7669781517786793,3.830430065125143,3.7785432250097095
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[65],[62],4.0,2.6777389315984217,2.7043064208394574,2.689603380424805,2.680452460396845,2.6423809362435313,2.67474671386013
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[69],[70],3.0,2.4195085563611185,2.421497151185471,2.4192344266976047,2.4199967244323632,2.4196156109525844,2.417212690607043
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[71],4.0,3.814265395363347,3.846400542096695,3.815754843610616,3.8025110255081462,3.8072418449034107,3.8006914541209733
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[72],4.0,3.339934907883166,3.429425876257863,3.3470804663649094,3.3061475553438036,3.3025188411849546,3.325348995150234
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[71],6.0,4.459645230218879,4.624221358376537,4.500835702992254,4.366724187937462,4.434435149656498,4.402926552857948
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[72],6.0,2.9953123492518468,3.194707936232234,3.0530967563435647,2.896448197859354,2.9760178891050213,2.919453820920241
18,19,12,14A,6.19,2.56,2.42e-05,0.98,2.9824,[66],"[63, 64]",4.0,2.635131324766597,2.6515574236383155,2.6462455025028464,2.6259370544683684,2.624909604203415,2.627846344143252
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[71],6.0,5.081955964104232,4.996966882374495,5.099215685077788,5.100350796640118,5.101288935755081,5.118767134603797
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[72],6.0,3.807141219587209,3.735349000852203,3.8065879068886845,3.814857291044934,3.82280912163655,3.8642501171599237
20,21,10,20,5.77,0.96,5.38e-05,0.99,2.6112,[68],"[114, 115, 116]",5.0,2.7620644207162326,2.940053451533815,2.7734750580619356,2.7140405502175895,2.707795600274693,2.718733514470833
21,22,13,16,5.68,1.33,3.12e-06,0.98,4.1984,[65],"[59, 60, 61]",5.0,4.247054786358242,4.069151313159866,4.307152034009947,4.197145337395009,4.633884439823451,4.166411327639331
22,23,9,20,4.22,0.96,8.04e-06,0.99,3.584,[69],"[114, 115, 116]",4.0,3.4827923952777273,3.107737067903754,3.439206609929599,3.718909876312643,3.7850941980229087,3.7335540374928367
23,24,11,20,6.38,0.96,9.42e-06,0.98,3.4944,[67],"[114, 115, 116]",6.0,5.20598308904312,5.059741733866009,5.274920932770763,5.232717505856444,5.242550081468545,5.240753045249614
24,25,12,16,6.19,1.33,1.95e-06,0.98,4.544,[66],"[59, 60, 61]",6.0,4.909916346247655,4.986341302753909,4.923056351257804,4.821226002430518,4.974804542939255,4.858962892023659
25,26,12,20,6.19,0.96,3.26e-06,0.98,4.16,[66],"[114, 115, 116]",7.0,5.081888015536161,5.068516778717674,4.950242137547991,5.110797653314107,5.12887855520267,5.171242018623338
