,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[49],[44],5.0,4.021654844428324,4.149588939721383,3.6100055986399164,4.542239668560888,3.953447066001682,4.299304322350464
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[49],[53],4.0,2.8101972933530512,3.3434239899011837,2.9590969962255516,2.9104665447742137,2.6160434511311372,2.6075245547163455
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[49],[37],7.0,2.8550491340595485,3.0009004164819384,3.0162528365775754,2.775432068765689,2.849263934603776,2.7184626601959554
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[49],[45],4.0,2.4913780713879468,2.556493806039585,2.533500139308993,2.4526274263616283,2.5181165311086544,2.4159602731270677
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[49],[72],10.0,3.254110618339319,3.0884595379659325,3.217488512872176,3.292535578683582,3.455315658774061,3.292606576933812
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[49],[47],3.0,2.8106395074920716,2.7457781672310584,2.777746484284984,2.8414603933184903,2.750981895022912,2.9810808965256146
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[51],[62],5.0,3.6817102157355066,4.258784995478378,3.464728887743003,3.5556462407356855,3.5898236578148186,3.865471800888286
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[51],[47],4.0,2.607762147363805,2.5870250179736285,2.565964273748917,2.627531593265079,2.724541856971508,2.5572322579665663
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[51],[53],3.0,2.6050757730765532,2.4238338083502717,2.490061546139126,2.587529061634645,2.9199091599496665,2.835200498236052
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[47],[45],3.0,3.015836615348885,2.985030826021023,3.013104655644959,3.0449433876779035,3.016792758923534,3.0214480555770793
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[47],[72],9.0,3.919305436422586,4.128762050872619,4.374405261151076,3.9012507385761497,3.7498310293942683,3.6971679467811946
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[47],[44],4.0,3.5724486411263645,3.2802997600535333,3.489806393641681,3.798189493271255,3.749431075129008,3.7561068409112073
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[53],[45],6.0,4.775359519426362,5.172220609973021,5.239167496052971,5.032898690215277,4.514173498882965,4.381498475316725
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[53],[72],8.0,4.094550229999977,4.5928530998680355,4.63323918938606,4.125501537132101,3.8268790744725942,3.7998231641776847
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[53],[62],4.0,3.0825981703093372,3.14181340836519,3.2633799008290176,3.1615402544912645,3.03919925969599,2.897666928683787
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[45],[44],3.0,2.442143853047935,2.464364928069059,2.4620099441190173,2.429560268617568,2.429062340981712,2.4277468684554733
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[45],[38],4.0,3.823299705738972,3.8443758941647053,3.8272060857893346,3.825745920480416,3.803103647900082,3.816903452850846
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[45],[39],4.0,3.227988931898576,3.199866744225534,3.1792936742652445,3.250422906977399,3.257148023475222,3.259237072488891
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[72],[38],6.0,4.382214628666661,4.420527010977127,4.498480110105655,4.396982634914732,4.334040821432325,4.282750943847481
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[72],[39],6.0,2.87606686084927,2.9653960952118075,3.0387407177616104,2.869247670917548,2.8065439547302526,2.761455724880336
18,19,12,14A,6.19,2.56,2.42e-05,0.98,2.9824,[51],"[55, 56]",4.0,2.9716001843803452,3.458005408962794,3.2516836512042007,2.987801863913705,2.7591419594687263,2.7816806349078353
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[49],[38],6.0,5.112277573764954,5.114814133164465,5.051374085472045,5.136766452946761,5.1405390307075844,5.1215233804423175
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[49],[39],6.0,3.744584278319942,3.640523921390969,3.626808215703031,3.7730137455368133,3.8969766655534395,3.838699187606685
20,21,10,20,5.77,0.96,5.38e-05,0.99,2.6112,[47],"[41, 42, 43]",5.0,2.773925145688512,2.767061018771011,2.8321868135552015,2.744809879814274,2.7730787187583394,2.7580280021545747
21,22,13,16,5.68,1.33,3.12e-06,0.98,4.1984,[53],"[59, 60, 61]",5.0,3.1712191149531965,3.072099527672505,3.0579060037797583,3.0883173885014354,3.306924456528434,3.4567255845859997
22,23,9,20,4.22,0.96,8.04e-06,0.99,3.584,[45],"[41, 42, 43]",4.0,3.590006300212818,3.4951584050357325,3.3171944971114216,3.8354235355741917,3.6679539097233906,3.8402852571995245
23,24,11,20,6.38,0.96,9.42e-06,0.98,3.4944,[49],"[41, 42, 43]",6.0,4.922549531267038,4.998237842755389,5.075337238289304,4.99478102589734,4.769628500853034,4.823095032069233
24,25,12,16,6.19,1.33,1.95e-06,0.98,4.544,[51],"[59, 60, 61]",6.0,4.429252778825062,5.059934922733699,4.577312506810325,4.597912124808454,4.1600798262446546,4.15223216915016
25,26,12,20,6.19,0.96,3.26e-06,0.98,4.16,[51],"[41, 42, 43]",7.0,5.145261041313203,5.17327356784162,4.815107643767731,5.2129220837865535,5.4401823803985305,5.23351893826309
26,27,19,9,9.77,4.22,3.68e-06,0.98,4.0832,[34],[45],7.0,3.876736617160071,4.040337497562508,4.06310332206192,3.8895925086275995,3.864243588479719,3.637585327273904
27,28,1''',9,4.65,4.22,3.37e-05,0.97,2.816,[25],[45],4.0,2.4712387610362545,2.4617269889118925,2.4204999605005333,2.4902812875331164,2.483764906548377,2.5063057166831832
28,29,1''',8,4.65,2.06,5.14e-05,0.98,2.6368,[25],[44],5.0,2.303364976780338,2.313590809741223,2.37826741540713,2.2740506299124537,2.2866663109685934,2.2752665466403474
29,30,1',3,4.5,3.86,6.19e-05,0.99,2.5472,[91],[72],6.0,3.233998400737628,3.2631530220995844,3.214504101782377,3.1386234604117025,3.202972308832908,3.3859604600829254
30,31,11,1''',6.38,4.65,4.15e-06,0.99,4.0064,[49],[25],6.0,3.9611078524515086,3.8720017988388955,3.9199182151024896,4.097509743921046,4.073381753220704,3.8828275788950917
31,32,19,2',9.77,3.64,2.63e-06,0.98,4.3136,[34],[95],8.0,3.334011815048793,3.2121093519650463,3.2294256672941253,3.212460039412765,3.530808427550242,3.65049400060709
32,33,1'',3',5.23,2.65,1.43e-05,0.99,3.2512,[111],[106],5.0,2.286662334876886,2.3714060791274028,2.395342744280855,2.3017053333506627,2.226793861676957,2.1873352212949277
33,34,1'',5',5.23,3.45,9.64e-06,0.99,3.4816,[111],[90],5.0,2.559949038908721,2.611637264088049,2.633621090081644,2.582170951307075,2.525935583895735,2.470948567887221
