,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,2.9366509361006257,2.639807228646675,2.918832715898914,3.134810116036659,3.1227832566618847,3.1164857112569844
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,2.5541489342345116,2.6639336555040796,2.5337819773559134,2.5482782139807036,2.511049843928967,2.5324455103520487
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,2.9406030512639916,3.3380646926447417,2.823905106542019,2.798240301414148,2.9463395819816354,2.980444032155515
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.501021057145307,2.704856096326443,2.4557578646315656,2.41126238312621,2.486833048394258,2.5097428791668426
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,3.4957507461144726,3.5483959783403876,3.6683852321780845,3.442023381575385,3.3974404054966403,3.465861404673513
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,2.9211838023485095,2.9630562077189415,3.0154457152232417,3.069734030991814,2.8376549566866913,2.788171701779596
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,3.6654801323767563,3.44910983548652,3.9360955832191777,3.607070283742929,3.756902723713147,3.7012386258463286
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.509706651413553,2.4922177973754214,2.4841953800392242,2.4995539311497046,2.5143384523739547,2.5635994763738172
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.8177367936064264,2.6480742029448563,2.835695574213088,2.9053212654955325,2.8833721535927506,2.8769409200664615
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,2.9343426284191834,2.8138511143178073,2.942175027373382,2.9715806277840766,2.9854151898045336,2.9857500505010606
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,3.9887098735779354,4.091995474338536,4.218793928529783,3.8102765167513524,3.9476467749773643,3.9577432997995294
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.2133542369354178,2.8719479355512494,3.274521398871409,3.381397212828261,3.415940688594434,3.397686115057435
