,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,4.000913181946238,3.946743687758596,4.070510987664246,4.109756837661948,3.9787626856845444,3.921427116411146
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,3.2357436195451594,2.988135247088484,3.1430430524740083,3.5380996166642515,3.464932857340934,3.2641922000385533
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,2.9647836421229834,2.8466922087915556,2.9367219678038596,3.0723493273566804,2.978366545905085,3.0259633464352573
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.474121159094617,2.465392964198305,2.5219302196909563,2.5067467537178487,2.4360144778597053,2.4482721644591807
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,2.706317176695094,2.723630436996295,2.704910979270259,2.6989781507046695,2.6885731879249115,2.71649401095291
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,2.9962846977821616,3.0026653474837657,3.0038480197473003,2.997052085509873,3.0176057015400213,2.962280398392034
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,4.600969302018878,4.622405621288214,4.425533564932499,4.504987932092462,4.867880358319703,4.667883882889577
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.469182870963772,2.477225355064128,2.493024784962951,2.4600402071472187,2.4526610561686586,2.4643856759881904
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.3636918489162264,2.4188008307464837,2.3899066103417392,2.3262409059182367,2.334494650323566,2.3577611844983077
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,2.813830371924579,2.8104132207242176,2.7156577008904232,2.7503301808796348,2.914880159615694,2.9209262635332625
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,4.376328485916829,4.421554529292051,4.171706826186084,4.393024003891495,4.517240528248546,4.435374455024172
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,3.294532362881284,3.257710663399304,3.1372243182035877,3.2060778472456986,3.4883827337679656,3.494605844855819
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,5.61950521621905,5.487514825799615,5.60118738920898,5.783459111065703,5.520216815027,5.7486745726946555
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[65],[76],8.0,4.602246960944398,4.18421142789567,4.319885390972159,4.984920189053101,5.067581831021524,5.029740674094848
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[65],[62],4.0,3.232613241233774,3.0888147138517135,3.030371500121047,3.292224500069638,3.4564661378191808,3.475683118825286
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[69],[70],3.0,2.479605037071019,2.457532320339882,2.4580827998144033,2.4975461546489437,2.4989744904681968,2.488334024636854
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[71],4.0,3.83996376388278,3.8637425193614523,3.8801920459806643,3.8240055511996633,3.822472941992221,3.812562113276765
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[72],4.0,3.143844351657541,3.212750708719278,3.2101433696708104,3.134696721212724,3.112501650631458,3.066996934032569
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[71],6.0,4.133692479133221,4.2284921738748,4.062828848529118,4.0958372309916955,4.1653722315246915,4.129642964070422
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[72],6.0,2.75591267680737,2.8367819290429352,2.762971596233632,2.675878595816404,2.770848237884584,2.749974923313536
18,19,12,14A,6.19,2.56,2.42e-05,0.98,2.9824,[66],"[63, 64]",4.0,3.3855080336274703,3.13998317177219,3.2845947308461616,3.693194887184083,3.591986018842635,3.423342379124934
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[71],6.0,4.636751217786589,4.814687763477835,4.562953499149898,4.429784218938592,4.773971457107621,4.679409750832597
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[72],6.0,3.198767474937991,3.3188485416419855,3.178990575708947,3.073767100398453,3.245147090378348,3.213385622303822
20,21,10,20,5.77,0.96,5.38e-05,0.99,2.6112,[68],"[114, 115, 116]",5.0,2.8905419870957805,2.9123439919888257,2.983910892493874,2.895068737513185,2.836382703105013,2.842021285223359
21,22,13,16,5.68,1.33,3.12e-06,0.98,4.1984,[65],"[59, 60, 61]",5.0,3.028415428694874,3.1540917993778357,3.2146041905194696,2.9901915442317417,2.9249924346430705,2.935171399912319
22,23,9,20,4.22,0.96,8.04e-06,0.99,3.584,[69],"[114, 115, 116]",4.0,3.300637260526152,3.2745703662240415,3.165294192776531,3.2593883952820195,3.4322398459368966,3.4282679776364593
23,24,11,20,6.38,0.96,9.42e-06,0.98,3.4944,[67],"[114, 115, 116]",6.0,4.967292387583994,5.035656152899817,4.921102475683376,4.996928775183995,4.942068333935644,4.94678658564048
