,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,11,8,6.38,2.06,2.68e-06,0.97,4.3008,[67],[70],5.0,3.3695035408467033,3.5907714569605247,3.298413041403898,3.415432795708096,3.4030860239306433,3.2185505162778822
1,2,11,13,6.38,5.68,5.18e-05,0.99,2.624,[67],[65],4.0,2.85475864264682,3.1500101856920777,2.937805694726091,2.868725224237614,2.705663680809158,2.749361094424522
2,3,11,6,6.38,2.24,2.56e-06,0.97,4.3392,[67],[73],7.0,3.5866067591770685,3.466822560368697,3.6617031446909634,3.522147677791123,3.8757440771127665,3.505106606655236
3,4,11,9,6.38,4.22,0.000103,0.99,2.3424,[67],[69],4.0,2.5072580246667195,2.519786975452879,2.520909048489777,2.525184823851702,2.577021528993222,2.4140567782094884
4,5,11,3,6.38,3.86,1.89e-05,0.99,3.1104,[67],[76],10.0,3.1611076146221597,2.8846040326796225,3.084760713827418,3.436534879596535,3.469028316912302,3.198525569964122
5,6,11,10,6.38,5.77,2.75e-05,0.99,2.9184,[67],[68],3.0,3.0028784785802736,3.0187951846521486,2.9389103593739963,3.0161028067202915,3.0131258458575765,3.0342411845634585
6,7,12,15,6.19,5.14,2.65e-06,0.98,4.3136,[66],[62],5.0,3.134866492166857,3.5255572742215087,3.46163096073018,3.1869587519975062,2.6616323682887355,3.685365638664919
7,8,12,10,6.19,5.77,8.79e-05,0.99,2.4064,[66],[68],4.0,2.54121870042562,2.491164354191538,2.5287797378366634,2.6033397971003627,2.5829364874498966,2.512207327220372
8,9,12,13,6.19,5.68,2.61e-05,0.99,2.944,[66],[65],3.0,2.5003733978439318,2.3626095066237482,2.416624885038063,2.573242718516563,2.7190510468517086,2.534518736184835
9,10,10,9,5.77,4.22,1.5e-05,0.99,3.2256,[68],[69],3.0,2.759762560563383,2.7813054845147613,2.803850210670935,2.711571934464731,2.636998685651167,2.9212712479461462
10,11,10,3,5.77,3.86,4.45e-06,0.99,3.9552,[68],[76],9.0,4.225714466378034,4.0767093671535575,4.0781943313151885,4.317707593780269,4.28789965104857,4.456175095426957
11,12,10,8,5.77,2.06,4.78e-06,0.96,3.904,[68],[70],4.0,2.86713785324444,2.762973650393308,2.8608825645996445,2.821896673300474,2.8487488341688283,3.1230655190713463
12,13,13,9,5.68,4.22,1.84e-06,0.98,4.5824,[65],[69],6.0,5.2318676323487265,5.694646264474645,5.328353382855572,5.0492670809498685,5.082708887568764,5.168868026827363
13,14,13,3,5.68,3.86,4.59e-06,0.99,3.9296,[65],[76],8.0,4.384371765634964,4.180041580405774,4.266933768904212,4.656327429470401,4.685212803451329,4.30038017958181
14,15,13,15,5.68,5.14,4.51e-05,0.99,2.688,[65],[62],4.0,2.901462667157788,3.043390493433604,2.9419158765776316,2.787716750644025,2.8921514235028036,2.883389416146956
15,16,9,8,4.22,2.06,8.86e-05,0.99,2.4064,[69],[70],3.0,2.4679055872897067,2.4875021011097314,2.464118818089686,2.466940709804476,2.4710327623714496,2.4509192364747325
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[71],4.0,3.873814745039183,3.9320650882156634,3.9029374007378337,3.86879956055042,3.826021818941125,3.8458258465619455
16,17,9,7B,4.22,1.15,9.48e-06,0.98,3.4816,[69],[72],4.0,3.4074540734055523,3.318089438066293,3.383971600162562,3.4647595117425927,3.5249752121065137,3.3723675963574236
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[71],6.0,4.669570518088869,4.414478911641099,4.535250623420794,4.8779888977231005,4.950046059942265,4.723380240060616
17,18,3,7B,3.86,1.15,2.51e-05,0.99,2.9696,[76],[72],6.0,3.3122305317184333,3.0873089354478367,3.2297820293384256,3.6044566719001354,3.5127695565151207,3.3084346053837455
18,19,12,14A,6.19,2.56,2.42e-05,0.98,2.9824,[66],"[63, 64]",4.0,3.011765245076502,3.3577532024668417,3.1559003214074095,2.8988721505139625,2.900378673700793,2.9165880647730233
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[71],6.0,4.5220583387944275,5.072599064964188,4.910973645533814,4.313750350740541,4.066633760325924,4.833169601048344
19,20,11,7B,6.38,1.15,3.29e-06,0.97,4.16,[67],[72],6.0,3.1992537690398186,3.564903413533895,3.4913335114821615,3.0706992294156237,2.843312923086612,3.506043536789416
20,21,10,20,5.77,0.96,5.38e-05,0.99,2.6112,[68],"[114, 115, 116]",5.0,3.1991883697604906,3.0449640992524794,3.195279855470184,3.3054027278805793,3.42642574908973,3.1196704376881708
