,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[83],[93],4.0,2.4327763206160196,2.4246020031093494,2.437650936991487,2.43478776111906,2.4332171624471584,2.433762227895916
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[57],[54],5.0,4.875648769925908,4.909409325610755,4.881394199550569,4.903555544540342,4.907187238763799,4.784983253941587
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[93],[54],5.0,3.855920904674484,3.651771785544007,3.788734100775888,4.1278789169116745,3.880937888016941,3.9415604271236946
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[93],[63],9.0,2.7437070034593374,2.750887696059709,2.7411538319107787,2.7266639774103614,2.7504277297738393,2.7499589967114146
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[93],[49],3.0,2.6381900808265772,2.6395787673591222,2.635555553954818,2.6361771468058843,2.6420950065806776,2.637581744650154
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[49],[54],4.0,3.6239803784341253,3.6227167572897385,3.6217521992909134,3.627092750579294,3.6256731005667753,3.6226871454858407
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[63],[55],5.0,3.46902517914872,3.4789811456427326,3.4626809700892967,3.4690454525866903,3.465535411443223,3.4690352898475805
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[63],[56],5.0,2.2729660378704217,2.2708409756937518,2.2718609943013632,2.2721002078526036,2.2762116723796466,2.273843692729631
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[57],[56],4.0,3.7710538855542697,3.7717605743792353,3.769103012205521,3.7666184772064435,3.7755555288659464,3.7722742814749206
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[57],[55],4.0,3.759112554362731,3.7615843924587344,3.7589357284571054,3.7589473751470335,3.7589795992551234,3.757125109208368
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[49],[56],5.0,2.252066819841302,2.252068495243418,2.2519526364210796,2.251880394497107,2.2535869988155364,2.2508515322074567
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[49],[55],5.0,3.635746112682321,3.6376500088650054,3.6341605571575393,3.6346870441582317,3.640518744420656,3.6317584009926613
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[93],[56],6.0,3.174312287792272,3.184575994543639,3.162137164465558,3.1687935015186985,3.179736833090031,3.176670386685872
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[93],[55],6.0,4.656313995438927,4.655642553052425,4.642000226281344,4.6580974916236695,4.663147481417003,4.66290774923728
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[57],"[38, 39, 37]",4.0,2.726471303911964,2.7280020114075483,2.7248226855110396,2.7299580820482587,2.7258851286997094,2.723720842535826
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[57],"[33, 34, 35]",5.0,2.6278191572677043,2.6270671079201073,2.626034657557968,2.6225222981260545,2.6324803635359144,2.631076822504075
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[93],"[89, 90, 91]",4.0,3.5692469577799883,3.5683655500549474,3.5690311465946536,3.5682928179976154,3.569597640807907,3.5709523035029984
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[93],"[38, 39, 37]",8.0,5.076019020599519,5.069807062373871,5.080590201351267,5.083329903760857,5.0717035152317855,5.074756171819156
14,15,11,10Me,3.48,0.99,2.3e-06,0.97,3.82,[93],"[47, 48, 46]",4.0,3.970821218836844,3.9658587560779317,3.9748443353411123,3.9796736036421603,3.9580782508086685,3.975923046505894
15,16,10,12Me,3.3,1.58,1.3e-06,0.93,3.87,[49],"[89, 90, 91]",5.0,2.4957712959752385,2.499601697853681,2.4966180414612813,2.493815434991239,2.495724886902659,2.4931330820878888
16,17,8,10Me,2.53,0.99,1.6e-06,0.96,4.19,[54],"[47, 48, 46]",5.0,4.461106279277188,4.402286329309294,4.487062455970085,4.565715789802589,4.335596742356967,4.544867328866316
17,18,25,6OMe,8.87,2.12,2e-07,0.99,5.58,[123],"[33, 34, 35]",19.0,4.167398807160467,4.19221722647526,4.200465391949062,4.148358269678389,4.214755158859703,4.0900295067890555
18,19,21,15,7.77,0.83,2e-07,0.99,5.52,[110],"[80, 78, 79]",13.0,4.904159324860452,4.869829704089626,4.822637034638808,4.968310720352899,4.92648255587451,4.943632572036309
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,"[97, 96]",[93],4.0,2.780612559093253,2.785575438628009,2.7670184157662385,2.789821874642006,2.772206535280455,2.788990183797317
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[97],[93],4.0,3.3619797691741153,3.404676651125458,3.3352929725897096,3.4580038212618813,3.2617350887594405,3.3731776455899842
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[96],[93],4.0,2.550309079728661,2.5497888289760446,2.539341567307582,2.547668104657544,2.5572277047372127,2.5578385698779496
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,"[97, 96]",[49],5.0,4.453975601726782,4.453138190154278,4.448057159318756,4.458581525402276,4.452960847007824,4.45719401988047
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[97],[49],5.0,4.848942889087179,4.857378167032076,4.827375800619357,4.885358732762058,4.812230523255958,4.864874907515572
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[96],[49],5.0,4.211391017698468,4.207148197956539,4.211522077292905,4.204408351639308,4.224209718498245,4.209859871213033
21,22,11,18,3.48,1.47,1.19e-05,0.99,2.9,[93],"[99, 100]",5.0,3.0056130576698696,2.98304092975896,3.0314867583793914,2.9822451121682887,3.0408650451478607,2.9940056861620916
22,23,1',5,4.3,4.01,5.59e-05,0.99,2.24,[27],[57],4.0,2.4290879047958227,2.430431203748656,2.4233296935706767,2.4325235195967103,2.427827954599007,2.4314047757713357
23,24,1',4,4.3,3.19,1.1e-06,0.97,4.33,[27],[63],5.0,4.138730686349566,4.133508428783221,4.14229316329606,4.135717753764563,4.138962149364008,4.14323059709155
24,25,5',5,3.69,4.01,3.3e-06,0.99,3.59,[24],[57],6.0,3.713546949772301,3.7138547728757887,3.712450095940965,3.711439865840744,3.7188882150604656,3.7111394719264217
25,26,1',6Me,4.3,1.07,1e-06,0.97,4.47,[27],"[38, 39, 37]",6.0,4.241913244744293,4.253391622639802,4.24470345689142,4.249720124468483,4.2088707086160575,4.2540859206740365
