,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[94],[90],4.0,2.450238830515695,2.447389403381278,2.454599450309796,2.45271789189234,2.4508302209751744,2.445734235071928,macrocycle
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[85],5.0,4.865395409452705,4.868471554898409,4.860732468220972,4.86241643545128,4.868316515636244,4.8670771052692245,macrocycle
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[90],[85],5.0,3.4679337214865287,3.588708073660916,3.343144394045827,3.279027011831329,3.5645398013379874,3.687138184474055,macrocycle
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[90],[58],9.0,3.1142005668721415,3.066635232308485,3.1442339623386557,3.105133381391298,3.1574351280895985,3.1034528750704697,macrocycle
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[90],[86],3.0,2.61357178047237,2.6081059808931646,2.6220915596195127,2.6266977072911555,2.6076641014961313,2.6038389672961597,macrocycle
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[86],[85],4.0,3.7009933496021095,3.7014271781358703,3.7016768320073554,3.7049574980716504,3.698399023478536,3.698533762621692,macrocycle
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,2.933583683852452,2.9462105955747915,2.9290292541895973,2.9473038864383665,2.913820271678077,2.9324651440721574,macrocycle
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[84],5.0,2.176595630663368,2.1766652027650477,2.1764071546835257,2.172184755640235,2.178741631101841,2.179027798994096,macrocycle
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[84],4.0,3.808648697506701,3.8026137703065714,3.816229024442958,3.809739924141557,3.820751953293402,3.794320109583642,macrocycle
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.7023063677215067,3.703571509604819,3.703599657623312,3.7072510666917107,3.699454445752188,3.697709034104864,macrocycle
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[84],5.0,2.415717733028003,2.4020459776749106,2.430661087667171,2.4274114883677838,2.4182000202157985,2.4013708159363274,macrocycle
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[83],5.0,3.8004600227554186,3.7855639575080353,3.815514766295646,3.8255940175358245,3.7998945927571226,3.777223266105513,macrocycle
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[90],[84],6.0,2.9710474161832208,2.97867219300936,2.9602248342556647,2.97235011471827,2.9697616580032857,2.9744532047374035,macrocycle
