,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[94],[90],4.0,2.4494850900883103,2.4435206059293844,2.4531077426386267,2.4520984527589462,2.4496085036870556,2.4491698825683623,macrocycle
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[85],5.0,4.850972640049348,4.863212772191401,4.8577887895445615,4.812151892447116,4.859750966519197,4.863376100979585,macrocycle
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[90],[85],5.0,3.263318663186548,3.422512128029293,3.3109668163899335,3.120206619955126,3.14409516400785,3.4064696863312456,macrocycle
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[90],[58],9.0,3.2719133450906623,3.200555130525549,3.2433857208367574,3.3446121741837014,3.3190372154214316,3.2663032101399097,macrocycle
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[90],[86],3.0,2.6336520553545477,2.6195046025083997,2.6249229730589034,2.650822996593914,2.6497496175379105,2.624469166158445,macrocycle
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[86],[85],4.0,3.700367831024986,3.7003885323786916,3.7004436899367747,3.7012760014261548,3.7008926056400804,3.6988415773134777,macrocycle
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,2.891524496349514,2.907002138082457,2.888866610416381,2.891299823446039,2.887289327154716,2.8835582735427208,macrocycle
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[84],5.0,2.1785726581598484,2.1790458784344193,2.176832931600376,2.1775683927398966,2.1784961018360356,2.1809357961043365,macrocycle
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[84],4.0,3.8246014821883723,3.821953886751645,3.823478127094275,3.8257528569435535,3.8268765145032058,3.8249596666161,macrocycle
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.6982329272115786,3.69700472865502,3.69910787965817,3.698666600516607,3.7002155642852825,3.6961799035358904,macrocycle
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[84],5.0,2.4660851067957728,2.4361171141583053,2.460583396645559,2.4918062201164117,2.490040697164091,2.4551183753022126,macrocycle
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[83],5.0,3.8504135926655927,3.81917227698215,3.836675445229689,3.8835155829654666,3.8853961021957923,3.8308025221932067,macrocycle
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[90],[84],6.0,2.9665873818023125,2.9694244525301245,2.960007303007146,2.9629862664711193,2.9720783024564312,2.9685567566119255,macrocycle
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[90],[83],6.0,4.5036606135363275,4.51484956078602,4.502004768584469,4.492329970358003,4.498466045719375,4.510913696112318,macrocycle
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[59],"[81, 82, 80]",4.0,2.7387044955388746,2.739511192118197,2.739553818714775,2.7362981894308818,2.739085178894864,2.7390836366699256,mixed
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[59],"[77, 78, 79]",5.0,2.670940737683194,2.6647669925034134,2.6654525735946537,2.677668010955561,2.677177543656397,2.6698396636173665,mixed
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[90],"[91, 92, 93]",4.0,3.514694614408989,3.512457079820454,3.512231211232124,3.5157114184353304,3.5161712186436618,3.5169213190568946,mixed
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[90],"[81, 82, 80]",8.0,4.896100094599278,4.909320164642578,4.907543929382216,4.879360154298468,4.88714289745965,4.897611834504925,mixed
14,15,11,10Me,3.48,0.99,2.3e-06,0.97,3.82,[90],"[87, 88, 89]",4.0,3.7764674408612247,3.817578067310588,3.7947634755978568,3.735300525219233,3.7287487314993144,3.812766167636141,mixed
15,16,10,12Me,3.3,1.58,1.3e-06,0.93,3.87,[86],"[91, 92, 93]",5.0,2.4726882832413546,2.4718206834819005,2.4759150159174728,2.4728262354848223,2.4720829075858974,2.470817834715247,mixed
16,17,8,10Me,2.53,0.99,1.6e-06,0.96,4.19,[85],"[87, 88, 89]",5.0,3.5105538947773725,3.6628151627983896,3.5737252407491766,3.3764529805971835,3.378319461902559,3.6405058663483603,mixed
