,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[94],[90],4.0,2.444521567157891,2.448315316791593,2.447712268132429,2.453872321912699,2.4246787305222295,2.4487903113193927
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[85],5.0,3.721772587430955,3.8269469655133417,3.7116507840392354,3.6904422582907626,3.635407679505372,3.7642402652084312
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[90],[85],5.0,2.973251867864861,2.9475281957513544,2.882702535553766,2.8996055725569954,3.404107826303991,2.9106497567221497
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[90],[58],9.0,3.912077813456804,3.9152814832887346,3.986433841451963,3.8725751719299306,3.8583455988994597,3.9371356933803825
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[90],[86],3.0,2.639660670221455,2.6561224962436167,2.658202313018348,2.6562373789903644,2.579993586132692,2.6542033320429885
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[86],[85],4.0,3.529271679010446,3.530041765311368,3.510039545805391,3.531438813691814,3.506714839341678,3.5706613220781986
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,2.5507070586695804,2.5745017782205397,2.5612096866136853,2.635706961544474,2.455673462753583,2.5501815868231725
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[84],5.0,2.272757568683338,2.260192677300411,2.269884985955749,2.245514466606225,2.3210782427612067,2.2719596274876115
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[84],4.0,3.0150370421278594,3.0736812347998166,3.0342949004472173,3.200601654330006,2.8343872554367007,3.0155203425145953
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.48601379602583,3.510817419203715,3.4888271798075854,3.5451719892481846,3.404972106716161,3.491308314401817
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[84],5.0,2.620252393287478,2.639915217854183,2.6639599226637847,2.6204176007112165,2.5457603224777476,2.642835644581748
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[83],5.0,3.378454288290957,3.429138428265928,3.4248453021056897,3.5703852492282717,3.167801619390091,3.392905625178873
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[90],[84],6.0,2.614451676420868,2.6525113361184656,2.625406922234971,2.733877122183132,2.4899462960733225,2.6132296906742445
