,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[94],[90],4.0,2.4918483014017028,2.4944544870445124,2.491484798707337,2.4874768828331653,2.493864813294913,2.4920029237839474,macrocycle
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[85],5.0,4.850094390982295,4.809823672381957,4.86674375657059,4.838722041222562,4.867908906158074,4.8692512754012744,macrocycle
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[90],[85],5.0,4.344098727650031,4.3453478740484055,4.34101296732165,4.321271857490775,4.3546284572844876,4.358931614393928,macrocycle
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[90],[58],9.0,2.7647038610375505,2.775736630128569,2.7636400499334277,2.7756123383249003,2.7469484120541754,2.762298229315241,macrocycle
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[90],[86],3.0,2.602141708803985,2.6011360859928456,2.6042727164602955,2.6037458324189227,2.600550663285518,2.6010192646778356,macrocycle
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[86],[85],4.0,3.6045041746264954,3.6043564141099864,3.6036905882277064,3.6049332415753494,3.604708515422053,3.604833102392602,macrocycle
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,3.464676141256181,3.4654826961045027,3.4624816781939804,3.4643272895816035,3.4695326983852564,3.461595345423503,macrocycle
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[84],5.0,2.2404750717492,2.2395751485914075,2.240789609202132,2.2405012181322954,2.242613397342903,2.238908373882386,macrocycle
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[84],4.0,3.757823533085887,3.754551877052977,3.758347141291345,3.7566828781679797,3.7598557127190544,3.7596986280790468,macrocycle
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.705226874420984,3.7030788021866017,3.702806474010034,3.7040976533975267,3.7096454900964693,3.7065370710655827,macrocycle
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[84],5.0,2.258083683102143,2.2557647352135923,2.2572400306126643,2.2633496048534476,2.255764885760476,2.258359811492806,macrocycle
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[86],[83],5.0,3.6241608370882847,3.620909226185654,3.6228623852090407,3.6289684825408997,3.6225335273734127,3.6255691458989707,macrocycle
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[90],[84],6.0,3.209433610598429,3.2125025037721784,3.207424681936044,3.215277821504758,3.2007225696509005,3.2113796744169805,macrocycle
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[90],[83],6.0,4.6693540674951795,4.67155768239034,4.667967562631851,4.674701986399434,4.663172318769065,4.6694259865073455,macrocycle
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[59],"[81, 82, 80]",4.0,2.658514956383958,2.656340557914922,2.658227543089538,2.6573530217346875,2.6618587466489823,2.6588178304315986,mixed
