,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.92,3.56,5.9e-06,0.99,2.76,[93],[89],4.0,2.4666694874588666,2.458488535558837,2.4757213286883153,2.4688784559310104,2.4612727885955903,2.4692552066432953
1,2,2,4,3.86,3.06,1.08e-05,0.99,2.5,[94],[58],4.0,2.445323724196376,2.463429581947762,2.4350751181521537,2.445371884736568,2.4495183419953874,2.4340452291937087
2,3,11,10,3.56,3.13,5e-06,0.99,2.83,[89],[85],3.0,2.6105754396867997,2.5985770153391883,2.6145998025665866,2.608180018572246,2.6094047858584317,2.622531484751793
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[83],4.0,3.6889105511242413,3.689574972677251,3.688289826245041,3.6881377856003454,3.688774256718345,3.6897779967694615
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[82],4.0,3.8366372018562576,3.8339484623873,3.8401459863783565,3.835908092769404,3.836773868539332,3.8364279527218907
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[82],5.0,2.1807176836937154,2.182882989651321,2.1793635631143524,2.1818061685708945,2.181505817766924,2.178054646638104
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[83],5.0,2.9403872060998406,2.962690763493541,2.9319899692383626,2.936736186556451,2.9439548867437044,2.9274613990501495
5,6,5,6Me,4.22,1.33,1.84e-05,0.99,2.29,[59],"[80, 81, 79]",4.0,2.7176295400273447,2.713312587431347,2.7153344376852786,2.720473145545595,2.718836123223449,2.7202433427049515
6,7,11,12Me,3.56,1.46,3.5e-06,0.99,3.01,[89],"[90, 91, 92]",4.0,3.5195766214792816,3.517654429083832,3.5188952114850203,3.5192502407379274,3.52045850623397,3.5216339427737156
7,8,11,10Me,3.56,1.0,3e-07,0.99,4.46,[89],"[88, 86, 87]",4.0,3.8422836715956588,3.8907437652153343,3.8185136532035613,3.8520170460672105,3.847448570055098,3.806587821613527
8,9,10,8Me,3.13,1.16,1.9e-05,0.99,2.27,[85],"[117, 118, 119]",5.0,2.6825471449849396,2.6687194505695517,2.689851760880639,2.676608708522188,2.6820948885708367,2.696064763182478
9,10,10,12Me,3.13,1.46,5.08e-05,0.99,1.93,[85],"[90, 91, 92]",5.0,2.4687963935173003,2.46504996818779,2.472105027504135,2.4682264355498025,2.4686392781559823,2.4699992459852567
10,11,4,12Me,3.06,1.46,3.5e-06,0.99,3.02,[58],"[90, 91, 92]",9.0,4.125022992595143,4.071076006939844,4.166839036533785,4.12230421313973,4.104883393011502,4.165740197304492
11,12,8,6Me,2.59,1.33,2.61e-05,0.99,2.16,[84],"[80, 81, 79]",5.0,2.5114978418199256,2.507794468592348,2.512768035214062,2.509875763352966,2.5130244990350095,2.514063944246362
12,13,11,6OMe,3.56,2.61,3.6e-06,0.99,3.0,[89],"[76, 77, 78]",9.0,3.4103838441346923,3.3977599832062966,3.425390166474054,3.4064452723649725,3.4061181481623413,3.416674367317735
13,14,13,18,4.92,1.66,2.3e-06,0.99,3.23,[93],"[105, 106]",7.0,2.749860388061478,2.775208983847352,2.737382151630589,2.696548219559819,2.7744386544365613,2.771891421754394
14,15,13,19,4.92,1.88,7.8e-06,0.99,2.64,[93],"[107, 108]",8.0,3.6417816757571497,3.6397321034086993,3.626594066315478,3.9541860826823916,3.564202897261665,3.5216151118187575
15,16,13,20,4.92,4.0,6e-07,0.99,4.07,[93],"[109, 110]",9.0,4.7229533029019235,4.792492380621118,4.797449393205663,4.80097012831929,4.700066854772229,4.558072947926407
16,17,11,18,3.5,1.66,2.9e-06,0.98,3.11,[89],"[105, 106]",5.0,2.968329990438706,2.985815944500321,2.9616064594082516,2.942263575379483,2.9813421705165815,2.972064382241651
17,18,1',4Me,4.27,1.3,1.67e-05,0.99,2.32,[60],"[120, 121, 122]",6.0,2.60302390438037,2.6145389482258716,2.604901910530166,2.602552277762517,2.5978457648132256,2.59557331613904
