,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,4.92,3.56,5.9e-06,0.99,2.76,[82],[92],4.0,2.4355159869712213,2.4357851765428236,2.438028771033636,2.441501260508515,2.42432237843276,2.4381952219311804,macrocycle
1,2,2,4,3.86,3.06,1.08e-05,0.99,2.5,[70],[62],4.0,2.677498278340762,2.667782145473972,2.6885163744131457,2.6614527812163074,2.71495242309387,2.657701260931618,macrocycle
2,3,11,10,3.56,3.13,5e-06,0.99,2.83,[92],[48],3.0,2.6382623339973765,2.639905581549962,2.6370507304539945,2.6381390949443,2.637620020988031,2.638602489494974,macrocycle
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[56],[55],4.0,3.7315931562348514,3.7292765277948394,3.733604076184414,3.7293492313297123,3.7375826662792315,3.728211097971048,macrocycle
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[56],[54],4.0,3.7850566491352704,3.787284126110035,3.780904787316317,3.7861519930052445,3.7819235488378995,3.7890643737555187,macrocycle
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[62],[54],5.0,2.282493825214291,2.2874591204865333,2.284975000327555,2.282801607280081,2.2734255007770585,2.283985896971166,macrocycle
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[62],[55],5.0,3.481698887252844,3.488043151750091,3.4945756627518696,3.480152090175494,3.4649151824731215,3.4813030861332557,macrocycle
5,6,5,6Me,4.22,1.33,1.84e-05,0.99,2.29,[56],"[36, 37, 38]",4.0,2.6996940248356127,2.694679832626204,2.7024585980667624,2.6965221216165296,2.7063744924192292,2.6985499804795015,mixed
6,7,11,12Me,3.56,1.46,3.5e-06,0.99,3.01,[92],"[88, 89, 90]",4.0,3.5791556513104963,3.576102691170546,3.58027148600669,3.5787434598075283,3.5815352808617313,3.57914138444671,mixed
7,8,11,10Me,3.56,1.0,3e-07,0.99,4.46,[92],"[45, 46, 47]",4.0,3.9690122372958534,3.9689517134222836,3.9717586690865163,3.970685576713663,3.9692895591837436,3.9644036323988034,mixed
8,9,10,8Me,3.13,1.16,1.9e-05,0.99,2.27,[48],"[50, 51, 52]",5.0,2.764379498023994,2.762084439629822,2.7658089495050797,2.755305282522658,2.7760727121667363,2.7629144493770292,mixed
9,10,10,12Me,3.13,1.46,5.08e-05,0.99,1.93,[48],"[88, 89, 90]",5.0,2.488035406528233,2.484482257179843,2.4902685487952922,2.4861944145039496,2.4920493506175156,2.487235533471954,mixed
10,11,4,12Me,3.06,1.46,3.5e-06,0.99,3.02,[62],"[88, 89, 90]",9.0,3.391239408705917,3.4173375799116985,3.3596047859162708,3.409073661194031,3.3578534632685484,3.4162115568576796,mixed
11,12,8,6Me,2.59,1.33,2.61e-05,0.99,2.16,[53],"[36, 37, 38]",5.0,2.6098676837019537,2.609004702761472,2.6095848622932136,2.607134631118238,2.6163753471761204,2.6073152054799036,mixed
12,13,11,6OMe,3.56,2.61,3.6e-06,0.99,3.0,[92],"[32, 33, 34]",9.0,3.156362789755856,3.177366080916367,3.162221631898317,3.1660111594592784,3.1191648630070956,3.1592642630992502,mixed
13,14,13,18,4.92,1.66,2.3e-06,0.99,3.23,[82],"[98, 99]",7.0,2.9771079841290042,2.939568153830585,2.980373324808826,2.993732568782734,2.96232369752159,3.013344229916262,mixed
14,15,13,19,4.92,1.88,7.8e-06,0.99,2.64,[82],"[101, 102]",8.0,2.9025267804647825,2.916250869451142,2.8586746321424688,2.8341028340203973,3.064937896026112,2.8758080691505192,mixed
15,16,13,20,4.92,4.0,6e-07,0.99,4.07,[82],"[104, 105]",9.0,4.160997655667436,4.046997485016964,4.0443728935973535,4.177920131429921,4.368019912470808,4.227356937868155,mixed
16,17,11,18,3.5,1.66,2.9e-06,0.98,3.11,[92],"[98, 99]",5.0,3.0524842410521336,3.0258558162120197,3.0185720281798103,3.0564947194945318,3.081864860982189,3.0839100817900293,mixed
17,18,1',4Me,4.27,1.3,1.67e-05,0.99,2.32,[26],"[59, 60, 61]",6.0,2.9060987692752005,2.9141454379956526,2.9023597327522266,2.899742482985915,2.910090519345772,2.904321851310131,mixed
